name,entry,size,num_params,has_body
_DT_INIT,00010d68,12,0,Y
__libc_start_main,00010d88,12,0,Y
abort,00010d94,12,0,Y
__cxa_finalize,00010dac,12,0,Y
mifi_dbg_get_level_name,00010db8,12,0,Y
mifi_dbg_syslog,00010dc4,12,0,Y
mifi_dbg_log,00010dd0,12,0,Y
memset,00010ddc,12,3,Y
strcmp,00010de8,12,2,Y
memcpy,00010df4,12,3,Y
msgq_send_async,00010e00,12,0,Y
MsgBus_Disconnect,00010e0c,12,0,Y
MsgBus_Release,00010e18,12,0,Y
MsgBus_Create,00010e24,12,0,Y
MsgBus_Connect,00010e30,12,0,Y
MsgBus_SetCallback,00010e3c,12,0,Y
MsgBus_Subscribe,00010e48,12,0,Y
write,00010e54,12,3,Y
fork,00010e60,12,0,Y
exit,00010e6c,12,1,Y
umask,00010e78,12,1,Y
setsid,00010e84,12,0,Y
chdir,00010e90,12,1,Y
open,00010e9c,12,2,Y
dup2,00010ea8,12,2,Y
close,00010eb4,12,1,Y
ccm2_dm_call_start,00010ec0,12,0,Y
pthread_self,00010ecc,12,0,Y
getpid,00010ed8,12,0,Y
access,00010ee4,12,2,Y
fopen,00010ef0,12,2,Y
fprintf,00010efc,12,2,Y
fclose,00010f08,12,1,Y
signal,00010f14,12,2,Y
mifi_dbg_start,00010f20,12,0,Y
pipe,00010f2c,12,1,Y
__errno_location,00010f38,12,0,Y
msgq_create,00010f44,12,0,Y
select,00010f50,12,5,Y
ccm2_dm_get_call_state,00010f5c,12,0,Y
msgq_receive,00010f68,12,0,Y
msgq_resp_handler,00010f74,12,0,Y
mq_close,00010f80,12,1,Y
mq_unlink,00010f8c,12,1,Y
unlink,00010f98,12,1,Y
entry,00010fa4,56,0,Y
FUN_00010fec,00010fec,40,0,Y
FUN_00011010,00011010,26,0,Y
FUN_0001103c,0001103c,36,0,Y
_FINI_0,00011070,48,0,Y
_INIT_0,000110b4,2,0,Y
FUN_000110b8,000110b8,468,0,Y
FUN_000112d0,000112d0,104,0,Y
FUN_00011348,00011348,912,0,Y
FUN_00011794,00011794,120,0,Y
FUN_00011814,00011814,316,0,Y
FUN_00011960,00011960,452,0,Y
main,00011b74,2244,0,Y
FUN_00012554,00012554,54,0,Y
_DT_FINI,00012598,8,0,Y
abort,00015000,1,0,Y
__libc_start_main,00015004,1,0,Y
__gmon_start__,00015008,1,0,Y
_ITM_deregisterTMCloneTable,0001500c,1,0,Y
_ITM_registerTMCloneTable,00015010,1,0,Y
__cxa_finalize,00015014,1,0,Y
mifi_dbg_get_level_name,00015018,1,0,Y
mifi_dbg_syslog,0001501c,1,0,Y
mifi_dbg_log,00015020,1,0,Y
memset,00015024,1,3,Y
strcmp,00015028,1,2,Y
memcpy,0001502c,1,3,Y
msgq_send_async,00015030,1,0,Y
MsgBus_Disconnect,00015034,1,0,Y
MsgBus_Release,00015038,1,0,Y
MsgBus_Create,0001503c,1,0,Y
MsgBus_Connect,00015040,1,0,Y
MsgBus_SetCallback,00015044,1,0,Y
MsgBus_Subscribe,00015048,1,0,Y
write,0001504c,1,3,Y
fork,00015050,1,0,Y
exit,00015054,1,1,Y
umask,00015058,1,1,Y
setsid,0001505c,1,0,Y
chdir,00015060,1,1,Y
open,00015064,1,2,Y
dup2,00015068,1,2,Y
close,0001506c,1,1,Y
ccm2_dm_call_start,00015070,1,0,Y
pthread_self,00015074,1,0,Y
getpid,00015078,1,0,Y
access,0001507c,1,2,Y
fopen,00015080,1,2,Y
fprintf,00015084,1,2,Y
fclose,00015088,1,1,Y
signal,0001508c,1,2,Y
mifi_dbg_start,00015090,1,0,Y
pipe,00015094,1,1,Y
__errno_location,00015098,1,0,Y
msgq_create,0001509c,1,0,Y
select,000150a0,1,5,Y
ccm2_dm_get_call_state,000150a4,1,0,Y
msgq_receive,000150a8,1,0,Y
msgq_resp_handler,000150ac,1,0,Y
mq_close,000150b0,1,1,Y
mq_unlink,000150b4,1,1,Y
unlink,000150b8,1,1,Y
