name,entry,size,num_params,has_body
_DT_INIT,00011d8c,12,0,Y
__libc_start_main,00011dac,12,0,Y
abort,00011db8,12,0,Y
__cxa_finalize,00011dd0,12,0,Y
clock_gettime,00011ddc,12,2,Y
watchdog_application_send_keep_alive,00011de8,12,0,Y
nanosleep,00011df4,12,2,Y
__errno_location,00011e00,12,0,Y
mifi_dbg_get_level_name,00011e0c,12,0,Y
mifi_dbg_syslog,00011e18,12,0,Y
mifi_dbg_log,00011e24,12,0,Y
system,00011e30,12,1,Y
strcmp,00011e3c,12,2,Y
sync,00011e48,12,0,Y
syscall,00011e54,12,1,Y
strerror,00011e60,12,1,Y
exit,00011e6c,12,1,Y
fopen,00011e78,12,2,Y
fclose,00011e84,12,1,Y
MsgBusPublishBinary,00011e90,12,0,Y
dsm_get_string,00011e9c,12,0,Y
setutent,00011ea8,12,0,Y
endutent,00011eb4,12,0,Y
getutent,00011ec0,12,0,Y
alarm,00011ecc,12,1,Y
memset,00011ed8,12,3,Y
settings_get_features,00011ee4,12,0,Y
dsm_modem_power_down,00011ef0,12,0,Y
dsm_shutdown_device,00011efc,12,0,Y
atoi,00011f08,12,1,Y
timer_create,00011f14,12,3,Y
timer_settime,00011f20,12,4,Y
timer_delete,00011f2c,12,1,Y
sprintf,00011f38,12,2,Y
dsm_modem_set_state,00011f44,12,0,Y
open,00011f50,12,2,Y
close,00011f5c,12,1,Y
sleep,00011f68,12,1,Y
strcpy,00011f74,12,2,Y
snprintf,00011f80,12,3,Y
fgets,00011f8c,12,3,Y
strtoull,00011f98,12,3,Y
msgq_send_async,00011fa4,12,0,Y
memcpy,00011fb0,12,3,Y
dsm_get_settings,00011fbc,12,0,Y
xmldata_initialize,00011fc8,12,0,Y
xmldata_getint32_default,00011fd4,12,0,Y
xmldata_getcount,00011fe0,12,0,Y
xmldata_getstring_default,00011fec,12,0,Y
xmldata_shutdown,00011ff8,12,0,Y
MsgBusGet,00012004,12,0,Y
sigemptyset,00012010,12,1,Y
sigaction,0001201c,12,3,Y
ioctl,00012028,12,2,Y
strstr,00012034,12,2,Y
mifi_init_notify_thread,00012040,12,0,Y
mifi_register_event_handler,0001204c,12,0,Y
mifi_shutdown_notify_thread,00012058,12,0,Y
fork,00012064,12,0,Y
umask,00012070,12,1,Y
setsid,0001207c,12,0,Y
chdir,00012088,12,1,Y
dup2,00012094,12,2,Y
write,000120a0,12,3,Y
mifi_dbg_get_level_from_module,000120ac,12,0,Y
pthread_self,000120b8,12,0,Y
getpid,000120c4,12,0,Y
signal,000120d0,12,2,Y
mifi_dbg_start,000120dc,12,0,Y
pipe,000120e8,12,1,Y
msgq_create,000120f4,12,0,Y
dsm_modem_init,00012100,12,0,Y
watchdog_application_register,0001210c,12,0,Y
select,00012118,12,5,Y
msgq_receive,00012124,12,0,Y
msgq_resp_handler,00012130,12,0,Y
read,0001213c,12,3,Y
dsm_modem_deinit,00012148,12,0,Y
mq_close,00012154,12,1,Y
mq_unlink,00012160,12,1,Y
mifi_dbg_stop,0001216c,12,0,Y
dsm_settings_changed,00012178,12,0,Y
MsgBus_Create,00012184,12,0,Y
MsgBus_Connect,00012190,12,0,Y
MsgBus_Release,0001219c,12,0,Y
MsgBus_SetCallback,000121a8,12,0,Y
MsgBus_Disconnect,000121b4,12,0,Y
MsgBus_Subscribe,000121c0,12,0,Y
dsm_send_modem_safe_shutdown_ack,000121cc,12,0,Y
dsm_send_modem_state_changed,000121d8,12,0,Y
dsm_reset_device,000121e4,12,0,Y
settings_factory_reset,000121f0,12,0,Y
unlink,000121fc,12,1,Y
fflush,00012208,12,1,Y
fileno,00012214,12,1,Y
fsync,00012220,12,1,Y
strtoul,0001222c,12,3,Y
fwrite,00012238,12,4,Y
dsm_modem_get_imei,00012244,12,0,Y
strncpy,00012250,12,3,Y
dsm_modem_is_persistent_runlevel,0001225c,12,0,Y
strlen,00012268,12,1,Y
dsm_modem_set_persistent_runlevel,00012274,12,0,Y
dsm_modem_get_default_mode,00012280,12,0,Y
dsm_modem_set_default_mode,0001228c,12,0,Y
dsm_modem_get_wifi1_mac,00012298,12,0,Y
dsm_send_battery_id,000122a4,12,0,Y
dsm_check_battery_insert,000122b0,12,0,Y
dsm_send_battery_capacity,000122bc,12,0,Y
dsm_send_battery_voltage,000122c8,12,0,Y
dsm_send_battery_current,000122d4,12,0,Y
dsm_send_battery_voltage_state,000122e0,12,0,Y
dsm_send_battery_temperature,000122ec,12,0,Y
dsm_send_battery_temperature_state,000122f8,12,0,Y
dsm_get_state,00012304,12,0,Y
pthread_create,00012310,12,4,Y
msgq_does_queue_exist,0001231c,12,0,Y
pthread_join,00012328,12,2,Y
__isoc99_sscanf,00012334,12,0,Y
raise,00012340,12,1,Y
__xstat,0001234c,12,3,Y
__lxstat,00012358,12,3,Y
entry,00012368,56,0,Y
FUN_000123b0,000123b0,40,0,Y
FUN_000123d4,000123d4,26,0,Y
FUN_00012400,00012400,36,0,Y
_FINI_0,00012434,48,0,Y
_INIT_0,00012478,2,0,Y
FUN_0001247c,0001247c,144,0,Y
FUN_0001250c,0001250c,112,0,Y
FUN_00012584,00012584,244,0,Y
FUN_0001267c,0001267c,44,0,Y
FUN_000126a8,000126a8,704,0,Y
FUN_000129e0,000129e0,96,0,Y
FUN_00012a48,00012a48,348,0,Y
FUN_00012bd8,00012bd8,368,0,Y
FUN_00012d74,00012d74,120,0,Y
FUN_00012df4,00012df4,720,0,Y
FUN_0001313c,0001313c,456,0,Y
FUN_00013348,00013348,164,0,Y
FUN_000133f4,000133f4,572,0,Y
FUN_00013684,00013684,140,0,Y
FUN_00013718,00013718,432,0,Y
FUN_00013910,00013910,184,0,Y
FUN_000139d4,000139d4,536,0,Y
FUN_00013c40,00013c40,96,0,Y
FUN_00013ca4,00013ca4,268,0,Y
FUN_00013ddc,00013ddc,96,0,Y
FUN_00013e40,00013e40,204,0,Y
FUN_00013f2c,00013f2c,68,0,Y
FUN_00013f74,00013f74,168,0,Y
FUN_0001403c,0001403c,68,0,Y
FUN_00014084,00014084,192,0,Y
FUN_0001416c,0001416c,184,0,Y
FUN_00014238,00014238,168,0,Y
FUN_00014300,00014300,208,0,Y
FUN_000143dc,000143dc,340,0,Y
FUN_00014558,00014558,120,0,Y
FUN_000145d4,000145d4,460,0,Y
FUN_000147d0,000147d0,248,0,Y
FUN_000148e0,000148e0,304,0,Y
FUN_00014a38,00014a38,128,0,Y
FUN_00014abc,00014abc,280,0,Y
FUN_00014bfc,00014bfc,120,0,Y
FUN_00014c78,00014c78,256,0,Y
FUN_00014d9c,00014d9c,164,0,Y
FUN_00014e48,00014e48,524,0,Y
FUN_000150b4,000150b4,120,0,Y
FUN_00015130,00015130,248,0,Y
FUN_00015258,00015258,160,0,Y
FUN_0001530c,0001530c,592,0,Y
FUN_000155a8,000155a8,136,0,Y
FUN_00015644,00015644,276,0,Y
FUN_00015774,00015774,128,0,Y
FUN_000157f8,000157f8,352,0,Y
FUN_00015980,00015980,184,0,Y
FUN_00015a44,00015a44,328,0,Y
FUN_00015bc4,00015bc4,360,0,Y
FUN_00015d58,00015d58,32,0,Y
FUN_00015d78,00015d78,692,0,Y
FUN_0001608c,0001608c,144,0,Y
FUN_00016138,00016138,588,0,Y
FUN_00016400,00016400,3768,0,Y
FUN_00017514,00017514,556,0,Y
FUN_000177a0,000177a0,772,0,Y
FUN_00017b30,00017b30,768,0,Y
FUN_00017eb0,00017eb0,456,0,Y
FUN_000180c8,000180c8,132,0,Y
FUN_0001815c,0001815c,152,0,Y
FUN_00018204,00018204,592,0,Y
FUN_000184bc,000184bc,420,0,Y
FUN_00018678,00018678,456,0,Y
FUN_00018890,00018890,768,0,Y
FUN_00018c0c,00018c0c,88,0,Y
FUN_00018c68,00018c68,132,0,Y
FUN_00018cfc,00018cfc,236,0,Y
FUN_00018e00,00018e00,256,0,Y
FUN_00018f1c,00018f1c,280,0,Y
FUN_0001904c,0001904c,512,0,Y
FUN_00019274,00019274,1056,0,Y
FUN_00019714,00019714,1732,0,Y
FUN_00019e68,00019e68,124,0,Y
FUN_00019ee4,00019ee4,2348,0,Y
FUN_0001aa2c,0001aa2c,824,0,Y
FUN_0001ade8,0001ade8,884,0,Y
FUN_0001b208,0001b208,3764,0,Y
FUN_0001c39c,0001c39c,24,0,Y
FUN_0001c3b4,0001c3b4,316,0,Y
FUN_0001c500,0001c500,328,0,Y
FUN_0001c668,0001c668,244,0,Y
FUN_0001c77c,0001c77c,812,0,Y
main,0001cb30,3060,0,Y
FUN_0001d8b4,0001d8b4,164,0,Y
FUN_0001d96c,0001d96c,704,0,Y
FUN_0001dc90,0001dc90,180,0,Y
FUN_0001dd60,0001dd60,344,0,Y
FUN_0001dee0,0001dee0,332,0,Y
FUN_0001e05c,0001e05c,112,0,Y
FUN_0001e0d0,0001e0d0,408,0,Y
FUN_0001e29c,0001e29c,280,0,Y
FUN_0001e3dc,0001e3dc,328,0,Y
FUN_0001e54c,0001e54c,756,0,Y
FUN_0001e8ac,0001e8ac,856,0,Y
FUN_0001ec54,0001ec54,792,0,Y
FUN_0001efe4,0001efe4,800,0,Y
FUN_0001f36c,0001f36c,380,0,Y
FUN_0001f514,0001f514,660,0,Y
FUN_0001f808,0001f808,744,0,Y
FUN_0001fb68,0001fb68,744,0,Y
FUN_0001feb8,0001feb8,144,0,Y
FUN_0001ff48,0001ff48,1972,0,Y
FUN_00020888,00020888,324,0,Y
FUN_000209ec,000209ec,348,0,Y
FUN_00020b6c,00020b6c,668,0,Y
FUN_00020e6c,00020e6c,104,0,Y
FUN_00020ee8,00020ee8,392,0,Y
FUN_00021084,00021084,148,0,Y
FUN_00021128,00021128,1616,0,Y
FUN_00021880,00021880,84,0,Y
FUN_000218d8,000218d8,552,0,Y
FUN_00021b5c,00021b5c,2748,0,Y
FUN_00022908,00022908,1328,0,Y
FUN_00022ed8,00022ed8,260,0,Y
FUN_00023010,00023010,220,0,Y
FUN_0002310c,0002310c,200,0,Y
FUN_000231f0,000231f0,604,0,Y
FUN_000234d0,000234d0,356,0,Y
FUN_0002365c,0002365c,340,0,Y
sysfs_set_event_int,000237d8,216,0,Y
sysfs_get_event_int,000238c0,252,0,Y
sysfs_set_event_str,000239d0,168,0,Y
sysfs_get_event_str,00023a84,200,0,Y
FUN_00023b66,00023b66,108,0,Y
FUN_00023df4,00023df4,56,0,Y
FUN_00023e1c,00023e1c,54,0,Y
FUN_00023e60,00023e60,12,0,Y
FUN_00023e6c,00023e6c,12,0,Y
_DT_FINI,00023e98,8,0,Y
abort,0002a000,1,0,Y
pthread_join,0002a004,1,2,Y
pthread_create,0002a008,1,4,Y
__libc_start_main,0002a00c,1,0,Y
__gmon_start__,0002a010,1,0,Y
_ITM_deregisterTMCloneTable,0002a014,1,0,Y
_ITM_registerTMCloneTable,0002a018,1,0,Y
__cxa_finalize,0002a01c,1,0,Y
clock_gettime,0002a020,1,2,Y
watchdog_application_send_keep_alive,0002a024,1,0,Y
nanosleep,0002a028,1,2,Y
strlen,0002a02c,1,1,Y
__errno_location,0002a030,1,0,Y
mifi_dbg_get_level_name,0002a034,1,0,Y
strncpy,0002a038,1,3,Y
mifi_dbg_syslog,0002a03c,1,0,Y
strtoul,0002a040,1,3,Y
mifi_dbg_log,0002a044,1,0,Y
fwrite,0002a048,1,4,Y
system,0002a04c,1,1,Y
fsync,0002a050,1,1,Y
strcmp,0002a054,1,2,Y
sync,0002a058,1,0,Y
fflush,0002a05c,1,1,Y
syscall,0002a060,1,1,Y
fileno,0002a064,1,1,Y
strerror,0002a068,1,1,Y
exit,0002a06c,1,1,Y
fopen,0002a070,1,2,Y
fclose,0002a074,1,1,Y
MsgBusPublishBinary,0002a078,1,0,Y
dsm_get_string,0002a07c,1,0,Y
setutent,0002a080,1,0,Y
endutent,0002a084,1,0,Y
getutent,0002a088,1,0,Y
alarm,0002a08c,1,1,Y
memset,0002a090,1,3,Y
settings_get_features,0002a094,1,0,Y
dsm_modem_power_down,0002a098,1,0,Y
dsm_shutdown_device,0002a09c,1,0,Y
atoi,0002a0a0,1,1,Y
timer_create,0002a0a4,1,3,Y
timer_settime,0002a0a8,1,4,Y
timer_delete,0002a0ac,1,1,Y
sprintf,0002a0b0,1,2,Y
dsm_modem_set_state,0002a0b4,1,0,Y
open,0002a0b8,1,2,Y
close,0002a0bc,1,1,Y
sleep,0002a0c0,1,1,Y
strcpy,0002a0c4,1,2,Y
snprintf,0002a0c8,1,3,Y
fgets,0002a0cc,1,3,Y
strtoull,0002a0d0,1,3,Y
msgq_send_async,0002a0d4,1,0,Y
memcpy,0002a0d8,1,3,Y
__isoc99_sscanf,0002a0dc,1,0,Y
dsm_get_settings,0002a0e0,1,0,Y
xmldata_initialize,0002a0e4,1,0,Y
xmldata_getint32_default,0002a0e8,1,0,Y
xmldata_getcount,0002a0ec,1,0,Y
xmldata_getstring_default,0002a0f0,1,0,Y
xmldata_shutdown,0002a0f4,1,0,Y
MsgBusGet,0002a0f8,1,0,Y
sigemptyset,0002a0fc,1,1,Y
sigaction,0002a100,1,3,Y
ioctl,0002a104,1,2,Y
strstr,0002a108,1,2,Y
mifi_init_notify_thread,0002a10c,1,0,Y
mifi_register_event_handler,0002a110,1,0,Y
mifi_shutdown_notify_thread,0002a114,1,0,Y
fork,0002a118,1,0,Y
umask,0002a11c,1,1,Y
setsid,0002a120,1,0,Y
chdir,0002a124,1,1,Y
dup2,0002a128,1,2,Y
write,0002a12c,1,3,Y
