name,entry,size,num_params,has_body
_DT_INIT,000108a4,12,0,Y
__libc_start_main,000108c4,12,0,Y
abort,000108d0,12,0,Y
__cxa_finalize,000108e8,12,0,Y
puts,000108f4,12,1,Y
printf,00010900,12,1,Y
factory_reset_get_error_string,0001090c,12,0,Y
factory_reset_api_is_running,00010918,12,0,Y
factory_reset_do_reset,00010924,12,0,Y
factory_reset_do_data_wipe,00010930,12,0,Y
atoi,0001093c,12,1,Y
memset,00010948,12,3,Y
fgets,00010954,12,3,Y
strlen,00010960,12,1,Y
factory_reset_set_hw_reset_enabled,0001096c,12,0,Y
factory_reset_get_hw_reset_enabled,00010978,12,0,Y
exit,00010984,12,1,Y
mifi_dbg_start,00010990,12,0,Y
strcmp,0001099c,12,2,Y
entry,000109a8,56,0,Y
FUN_000109f0,000109f0,40,0,Y
FUN_00010a14,00010a14,26,0,Y
FUN_00010a40,00010a40,36,0,Y
_FINI_0,00010a74,48,0,Y
_INIT_0,00010ab8,2,0,Y
FUN_00010abc,00010abc,232,0,Y
FUN_00010bb8,00010bb8,260,0,Y
FUN_00010ce8,00010ce8,92,0,Y
FUN_00010d4c,00010d4c,92,0,Y
FUN_00010db0,00010db0,92,0,Y
FUN_00010e14,00010e14,332,0,Y
FUN_00010f80,00010f80,172,0,Y
main,00011040,384,0,Y
FUN_000111d4,000111d4,54,0,Y
_DT_FINI,00011218,8,0,Y
abort,00014000,1,0,Y
exit,00014004,1,1,Y
strcmp,00014008,1,2,Y
__libc_start_main,0001400c,1,0,Y
__gmon_start__,00014010,1,0,Y
_ITM_deregisterTMCloneTable,00014014,1,0,Y
_ITM_registerTMCloneTable,00014018,1,0,Y
__cxa_finalize,0001401c,1,0,Y
puts,00014020,1,1,Y
printf,00014024,1,1,Y
factory_reset_get_error_string,00014028,1,0,Y
factory_reset_api_is_running,0001402c,1,0,Y
factory_reset_do_reset,00014030,1,0,Y
factory_reset_do_data_wipe,00014034,1,0,Y
atoi,00014038,1,1,Y
memset,0001403c,1,3,Y
fgets,00014040,1,3,Y
strlen,00014044,1,1,Y
factory_reset_set_hw_reset_enabled,00014048,1,0,Y
factory_reset_get_hw_reset_enabled,00014050,1,0,Y
mifi_dbg_start,00014054,1,0,Y
