name,entry,size,num_params,has_body
_DT_INIT,0001094c,12,0,Y
__libc_start_main,0001096c,12,0,Y
abort,00010978,12,0,Y
__cxa_finalize,00010990,12,0,Y
iw_get_priv_info,0001099c,12,0,Y
fprintf,000109a8,12,2,Y
free,000109b4,12,1,Y
printf,000109c0,12,1,Y
putchar,000109cc,12,1,Y
strcmp,000109d8,12,2,Y
fputs,000109e4,12,2,Y
__isoc99_sscanf,000109f0,12,0,Y
iw_in_addr,000109fc,12,0,Y
strlen,00010a08,12,1,Y
memcpy,00010a14,12,3,Y
strchr,00010a20,12,2,Y
iw_float2freq,00010a2c,12,0,Y
strncpy,00010a38,12,3,Y
iw_get_priv_size,00010a44,12,0,Y
ioctl,00010a50,12,2,Y
__errno_location,00010a5c,12,0,Y
strerror,00010a68,12,1,Y
iw_ether_ntop,00010a74,12,0,Y
puts,00010a80,12,1,Y
iw_freq2float,00010a8c,12,0,Y
iw_sockets_open,00010a98,12,0,Y
perror,00010aa4,12,1,Y
iw_enum_devices,00010ab0,12,0,Y
close,00010abc,12,1,Y
strncmp,00010ac8,12,3,Y
iw_print_version_info,00010ad4,12,0,Y
FUN_00010ae0,00010ae0,580,0,Y
entry,00010d60,56,0,Y
FUN_00010da8,00010da8,40,0,Y
FUN_00010dcc,00010dcc,26,0,Y
FUN_00010df8,00010df8,36,0,Y
_FINI_0,00010e2c,48,0,Y
_INIT_0,00010e70,2,0,Y
FUN_00010e78,00010e78,252,0,Y
FUN_00010f90,00010f90,2020,0,Y
FUN_00011810,00011810,216,0,Y
FUN_000118f8,000118f8,54,0,Y
_DT_FINI,0001193c,8,0,Y
strncmp,00014000,1,3,Y
abort,00014004,1,0,Y
close,00014008,1,1,Y
perror,0001400c,1,1,Y
puts,00014010,1,1,Y
__libc_start_main,00014014,1,0,Y
strerror,00014018,1,1,Y
__errno_location,0001401c,1,0,Y
__gmon_start__,00014020,1,0,Y
ioctl,00014024,1,2,Y
strncpy,00014028,1,3,Y
_ITM_deregisterTMCloneTable,0001402c,1,0,Y
_ITM_registerTMCloneTable,00014030,1,0,Y
__cxa_finalize,00014034,1,0,Y
iw_get_priv_info,00014038,1,0,Y
fprintf,0001403c,1,2,Y
free,00014040,1,1,Y
printf,00014044,1,1,Y
putchar,00014048,1,1,Y
strcmp,00014050,1,2,Y
fputs,00014054,1,2,Y
__isoc99_sscanf,00014058,1,0,Y
iw_in_addr,0001405c,1,0,Y
strlen,00014060,1,1,Y
memcpy,00014064,1,3,Y
strchr,00014068,1,2,Y
iw_float2freq,0001406c,1,0,Y
iw_get_priv_size,00014070,1,0,Y
iw_ether_ntop,00014074,1,0,Y
iw_freq2float,00014078,1,0,Y
iw_sockets_open,0001407c,1,0,Y
iw_enum_devices,00014080,1,0,Y
iw_print_version_info,00014084,1,0,Y
