name,entry,size,num_params,has_body
_init,00012344,12,1,Y
__cxa_finalize,00012370,12,0,Y
tcgetattr,0001237c,12,2,Y
tcsetattr,00012388,12,3,Y
setbuf,00012394,12,2,Y
ioctl,000123a0,12,2,Y
mySleep,000123ac,12,1,Y
CProtocolUBX,000123b8,12,1,Y
CProtocolNMEA,000123c4,12,1,Y
CProtocolUnknown,000123d0,12,1,Y
CParserBuffer,000123dc,12,1,Y
Register,000123e8,12,2,Y
RegisterUnknown,000123f4,12,2,Y
GetPointer,00012400,12,1,Y
GetSpace,0001240c,12,1,Y
readSerial,00012418,12,2,Y
Append,00012424,12,2,Y
Parse,00012430,12,4,Y
mifi_dbg_get_level_name,0001243c,12,0,Y
mifi_dbg_log,00012448,12,0,Y
mgaProcessReceiverMessage,00012454,12,2,Y
Remove,00012460,12,2,Y
Compact,0001246c,12,1,Y
time,00012478,12,1,Y
mgaCheckForTimeOuts,00012484,12,0,Y
~CParserBuffer,00012490,12,2,Y
~CProtocolUnknown,0001249c,12,2,Y
~CProtocolNMEA,000124a8,12,2,Y
~CProtocolUBX,000124b4,12,2,Y
__cxa_end_cleanup,000124c0,12,0,Y
__assert_fail,000124cc,12,4,Y
writeSerial,000124d8,12,2,Y
memset,000124e4,12,3,Y
strstr,000124f0,12,2,Y
mgaConfigure,000124fc,12,3,Y
mgaGetOnlineData,00012508,12,3,Y
mgaSessionStart,00012514,12,0,Y
mgaSessionSendOnlineData,00012520,12,3,Y
mgaSessionStop,0001252c,12,0,Y
free,00012538,12,1,Y
mgaGetOfflineData,00012544,12,3,Y
gmtime,00012550,12,1,Y
mgaGetTodaysOfflineData,0001255c,12,5,Y
mgaSessionSendOfflineData,00012568,12,3,Y
mgaSessionSendOfflineToFlash,00012574,12,2,Y
mgaStartLegacyAiding,00012580,12,2,Y
mgaStopLegacyAiding,0001258c,12,0,Y
mgaSessionSendLegacyOfflineToFlash,00012598,12,2,Y
openSerial,000125a4,12,2,Y
mgaInit,000125b0,12,0,Y
startDeviceReadThread,000125bc,12,0,Y
strcmp,000125c8,12,2,Y
mgaDeinit,000125d4,12,0,Y
closeSerial,000125e0,12,0,Y
~CProtocol,000125ec,12,2,Y
operator.delete,000125f8,12,1,Y
__gxx_personality_v0,00012604,12,0,Y
CProtocol,00012610,12,1,Y
__cxa_pure_virtual,0001261c,12,0,Y
~CProtocol,00012628,12,2,Y
pthread_mutex_init,00012634,12,2,Y
pthread_mutex_destroy,00012640,12,1,Y
sprintf,0001264c,12,2,Y
strlen,00012658,12,1,Y
memcpy,00012664,12,3,Y
strcat,00012670,12,2,Y
malloc,0001267c,12,1,Y
srand,00012688,12,1,Y
rand,00012694,12,0,Y
send,000126a0,12,4,Y
atoi,000126ac,12,1,Y
strncpy,000126b8,12,3,Y
strncasecmp,000126c4,12,3,Y
inet_addr,000126d0,12,1,Y
gethostbyname,000126dc,12,1,Y
htons,000126e8,12,1,Y
socket,000126f4,12,3,Y
fcntl,00012700,12,2,Y
connect,0001270c,12,3,Y
__errno_location,00012718,12,0,Y
select,00012724,12,5,Y
getsockopt,00012730,12,5,Y
close,0001273c,12,1,Y
recv,00012748,12,4,Y
pthread_mutex_lock,00012754,12,1,Y
pthread_mutex_unlock,00012760,12,1,Y
memcmp,0001276c,12,3,Y
isspace,00012778,12,1,Y
mktime,00012784,12,1,Y
strtok,00012790,12,2,Y
