name,entry,size,num_params,has_body
_init,00010f08,12,1,Y
__cxa_finalize,00010f34,12,0,Y
msgq_does_queue_exist,00010f40,12,0,Y
settings_get_setting,00010f4c,12,0,Y
settings_set_setting,00010f58,12,0,Y
mifi_dbg_get_level_name,00010f64,12,0,Y
mifi_dbg_syslog,00010f70,12,0,Y
mifi_dbg_log,00010f7c,12,0,Y
MbVar_Init,00010f88,12,0,Y
MsgBusGet,00010f94,12,0,Y
memcpy,00010fa0,12,3,Y
strlen,00010fac,12,1,Y
memset,00010fb8,12,3,Y
strcpy,00010fc4,12,2,Y
msgq_send_sync,00010fd0,12,0,Y
xmldata_getcount,00010fdc,12,0,Y
sprintf,00010fe8,12,2,Y
xmldata_getstring,00010ff4,12,0,Y
xmldata_getint32,00011000,12,0,Y
strtok,0001100c,12,2,Y
strcmp,00011018,12,2,Y
xmldata_deletenode,00011024,12,0,Y
xmldata_save,00011030,12,0,Y
MsgBusSetInt32,0001103c,12,0,Y
xmldata_insertnode,00011048,12,0,Y
xmldata_insertnode_with_attr,00011054,12,0,Y
xmldata_setstring,00011060,12,0,Y
xmldata_setint32,0001106c,12,0,Y
xmldata_getint32_default,00011078,12,0,Y
call_weak_fn,00011084,40,0,Y
deregister_tm_clones,000110a8,26,0,Y
register_tm_clones,000110d4,36,0,Y
__do_global_dtors_aux,00011108,48,0,Y
frame_dummy,0001114c,2,0,Y
ans_is_running,00011150,36,0,Y
ans_get_notification_settings,0001117c,280,0,Y
ans_set_notification_settings,000112b8,624,0,Y
ans_get_stealth_mode_enabled,00011560,228,0,Y
ans_set_stealth_mode_enabled,0001166c,280,0,Y
ans_get_audio_alerts_enabled,000117b4,228,0,Y
ans_set_audio_alerts_enabled,000118c0,280,0,Y
ans_get_current_notification_list,00011a08,244,0,Y
ans_acknowledge_notification,00011b10,168,0,Y
ans_get_error_string,00011bc4,124,0,Y
ans_trigger_notification,00011c5c,176,0,Y
ans_get_notification_settings_impl,00011d18,620,0,Y
ans_set_notification_settings_impl,00011fc0,1016,0,Y
ans_set_stealth_mode_enabled_impl,00012420,92,0,Y
ans_set_audio_alerts_enabled_impl,0001248c,92,0,Y
ans_get_stealth_mode_enabled_impl,000124f8,68,0,Y
ans_get_audio_alerts_enabled_impl,00012544,68,0,Y
initialize_settings,00012590,172,0,Y
_fini,00012664,8,0,Y
__gmon_start__,00015000,1,0,Y
_ITM_deregisterTMCloneTable,00015004,1,0,Y
_ITM_registerTMCloneTable,00015008,1,0,Y
__cxa_finalize,0001500c,1,0,Y
msgq_does_queue_exist,00015010,1,0,Y
settings_get_setting,00015014,1,0,Y
settings_set_setting,00015018,1,0,Y
strcmp,0001501c,1,2,Y
mifi_dbg_get_level_name,00015020,1,0,Y
mifi_dbg_syslog,00015024,1,0,Y
mifi_dbg_log,00015028,1,0,Y
MbVar_Init,0001502c,1,0,Y
MsgBusGet,00015030,1,0,Y
memcpy,00015034,1,3,Y
sprintf,00015038,1,2,Y
strlen,0001503c,1,1,Y
memset,00015040,1,3,Y
strcpy,00015044,1,2,Y
strtok,00015048,1,2,Y
msgq_send_sync,0001504c,1,0,Y
xmldata_getcount,00015050,1,0,Y
xmldata_getstring,00015054,1,0,Y
xmldata_getint32,00015058,1,0,Y
xmldata_deletenode,0001505c,1,0,Y
xmldata_save,00015060,1,0,Y
MsgBusSetInt32,00015064,1,0,Y
xmldata_insertnode,00015068,1,0,Y
xmldata_insertnode_with_attr,0001506c,1,0,Y
xmldata_setstring,00015070,1,0,Y
xmldata_setint32,00015074,1,0,Y
xmldata_getint32_default,00015078,1,0,Y
