name,entry,size,num_params,has_body
_init,00010650,12,1,Y
__cxa_finalize,0001067c,12,0,Y
msgq_does_queue_exist,00010688,12,0,Y
memset,00010694,12,3,Y
mifi_dbg_get_level_name,000106a0,12,0,Y
mifi_dbg_log,000106ac,12,0,Y
msgq_send_async,000106b8,12,0,Y
msgq_send_sync,000106c4,12,0,Y
memcpy,000106d0,12,3,Y
call_weak_fn,000106dc,40,0,Y
deregister_tm_clones,00010700,26,0,Y
register_tm_clones,0001072c,36,0,Y
__do_global_dtors_aux,00010760,48,0,Y
frame_dummy,000107a4,2,0,Y
bckrst_is_running,000107a8,56,0,Y
bckrst_backup,000107e8,168,0,Y
bckrst_restore,000108a8,168,0,Y
bckrst_get_backup_file,00010968,216,0,Y
bckrst_set_backup_file,00010a5c,216,0,Y
bckrst_get_error_string,00010b50,188,0,Y
_fini,00010c30,8,0,Y
__gmon_start__,00014000,1,0,Y
_ITM_deregisterTMCloneTable,00014004,1,0,Y
_ITM_registerTMCloneTable,00014008,1,0,Y
__cxa_finalize,0001400c,1,0,Y
msgq_does_queue_exist,00014010,1,0,Y
memcpy,00014014,1,3,Y
memset,00014018,1,3,Y
mifi_dbg_get_level_name,0001401c,1,0,Y
mifi_dbg_log,00014020,1,0,Y
msgq_send_async,00014024,1,0,Y
msgq_send_sync,00014028,1,0,Y
