name,entry,size,num_params,has_body
_DT_INIT,00010480,12,0,Y
__cxa_finalize,000104ac,12,0,Y
open,000104b8,12,2,Y
sprintf,000104c4,12,2,Y
strlen,000104d0,12,1,Y
write,000104dc,12,3,Y
close,000104e8,12,1,Y
usleep,000104f4,12,1,Y
FUN_00010500,00010500,40,0,Y
FUN_00010524,00010524,26,0,Y
FUN_00010550,00010550,36,0,Y
_FINI_0,00010584,48,0,Y
_INIT_0,000105c8,2,0,Y
FUN_000105cc,000105cc,156,0,Y
FUN_00010670,00010670,60,0,Y
FUN_000106b8,000106b8,36,0,Y
buzzer_on,000106e0,188,0,Y
buzzer_off,0001079c,40,0,Y
buzzer_get_error_string,000107c8,120,0,Y
_DT_FINI,00010858,8,0,Y
__gmon_start__,00013000,1,0,Y
usleep,00013004,1,1,Y
_ITM_deregisterTMCloneTable,00013008,1,0,Y
_ITM_registerTMCloneTable,0001300c,1,0,Y
__cxa_finalize,00013010,1,0,Y
open,00013014,1,2,Y
sprintf,00013018,1,2,Y
strlen,0001301c,1,1,Y
write,00013020,1,3,Y
close,00013024,1,1,Y
