name,entry,size,num_params,has_body
_init,0001434c,12,1,Y
__cxa_finalize,00014378,12,0,Y
malloc,00014384,12,1,Y
perror,00014390,12,1,Y
exit,0001439c,12,1,Y
__ctype_b_loc,000143a8,12,0,Y
strlen,000143b4,12,1,Y
memcpy,000143c0,12,3,Y
tolower,000143cc,12,1,Y
free,000143d8,12,1,Y
fopen,000143e4,12,2,Y
strchr,000143f0,12,2,Y
cfg_set,000143fc,12,0,Y
fgets,00014408,12,3,Y
feof,00014414,12,1,Y
fclose,00014420,12,1,Y
fputs,0001442c,12,2,Y
fputc,00014438,12,2,Y
strcmp,00014444,12,2,Y
strcpy,00014450,12,2,Y
cfg_delete,0001445c,12,0,Y
strncmp,00014468,12,3,Y
json_delete,00014474,12,0,Y
realloc,00014480,12,2,Y
jwt_malloc,0001448c,12,0,Y
memset,00014498,12,3,Y
jwt_freemem,000144a4,12,0,Y
json_object,000144b0,12,0,Y
__errno_location,000144bc,12,0,Y
json_deep_copy,000144c8,12,0,Y
jwt_free,000144d4,12,0,Y
json_object_get,000144e0,12,0,Y
json_string_value,000144ec,12,0,Y
json_integer_value,000144f8,12,0,Y
jwt_Base64decode,00014504,12,0,Y
jwt_b64_decode,00014510,12,0,Y
json_loads,0001451c,12,0,Y
jwt_sign_sha_hmac,00014528,12,0,Y
jwt_sign_sha_pem,00014534,12,0,Y
jwt_verify_sha_hmac,00014540,12,0,Y
jwt_verify_sha_pem,0001454c,12,0,Y
jwt_str_alg,00014558,12,0,Y
jwt_new,00014564,12,0,Y
json_dumps,00014570,12,0,Y
json_string,0001457c,12,0,Y
json_object_set_new,00014588,12,0,Y
json_integer,00014594,12,0,Y
json_true,000145a0,12,0,Y
json_false,000145ac,12,0,Y
json_object_update,000145b8,12,0,Y
json_object_clear,000145c4,12,0,Y
json_object_del,000145d0,12,0,Y
strcat,000145dc,12,2,Y
jwt_add_header,000145e8,12,0,Y
jwt_del_headers,000145f4,12,0,Y
jwt_alg_str,00014600,12,0,Y
mifi_dbg_get_level_name,0001460c,12,0,Y
mifi_dbg_syslog,00014618,12,0,Y
mifi_dbg_log,00014624,12,0,Y
jwt_Base64encode,00014630,12,0,Y
jwt_base64uri_encode,0001463c,12,0,Y
json_set_alloc_funcs,00014648,12,0,Y
jwt_get_alg,00014654,12,0,Y
json_equal,00014660,12,0,Y
json_object_iter,0001466c,12,0,Y
json_object_iter_key,00014678,12,0,Y
json_object_key_to_iter,00014684,12,0,Y
json_object_iter_next,00014690,12,0,Y
json_object_iter_value,0001469c,12,0,Y
EVP_sha256,000146a8,12,0,Y
EVP_sha384,000146b4,12,0,Y
EVP_sha512,000146c0,12,0,Y
HMAC,000146cc,12,7,Y
BIO_f_base64,000146d8,12,0,Y
BIO_new,000146e4,12,1,Y
BIO_s_mem,000146f0,12,0,Y
BIO_free,000146fc,12,1,Y
BIO_push,00014708,12,2,Y
BIO_set_flags,00014714,12,2,Y
BIO_write,00014720,12,3,Y
BIO_ctrl,0001472c,12,4,Y
BIO_read,00014738,12,3,Y
BIO_free_all,00014744,12,1,Y
BIO_new_mem_buf,00014750,12,2,Y
PEM_read_bio_PrivateKey,0001475c,12,4,Y
EVP_PKEY_id,00014768,12,1,Y
EVP_MD_CTX_new,00014774,12,0,Y
EVP_DigestSignInit,00014780,12,5,Y
EVP_DigestUpdate,0001478c,12,3,Y
EVP_DigestSignFinal,00014798,12,3,Y
EVP_PKEY_get1_EC_KEY,000147a4,12,1,Y
EC_KEY_get0_group,000147b0,12,1,Y
EC_GROUP_get_degree,000147bc,12,1,Y
EC_KEY_free,000147c8,12,1,Y
d2i_ECDSA_SIG,000147d4,12,3,Y
ECDSA_SIG_get0,000147e0,12,0,Y
BN_num_bits,000147ec,12,1,Y
BN_bn2bin,000147f8,12,2,Y
EVP_PKEY_free,00014804,12,1,Y
EVP_MD_CTX_free,00014810,12,0,Y
ECDSA_SIG_free,0001481c,12,1,Y
PEM_read_bio_PUBKEY,00014828,12,4,Y
ECDSA_SIG_new,00014834,12,0,Y
BN_bin2bn,00014840,12,3,Y
ECDSA_SIG_set0,0001484c,12,0,Y
i2d_ECDSA_SIG,00014858,12,2,Y
EVP_DigestVerifyInit,00014864,12,5,Y
EVP_DigestVerifyFinal,00014870,12,3,Y
OPENSSL_sk_new_null,0001487c,12,0,Y
OPENSSL_sk_free,00014888,12,0,Y
OPENSSL_sk_push,00014894,12,0,Y
OPENSSL_sk_pop_free,000148a0,12,0,Y
OPENSSL_sk_num,000148ac,12,0,Y
OPENSSL_sk_value,000148b8,12,0,Y
cfg_init,000148c4,12,0,Y
cfg_load,000148d0,12,0,Y
cfg_free,000148dc,12,0,Y
cfg_get,000148e8,12,0,Y
cbsd_request,000148f4,12,0,Y
X509_print_ex,00014900,12,4,Y
BIO_ctrl_pending,0001490c,12,1,Y
OBJ_obj2txt,00014918,12,4,Y
strdup,00014924,12,1,Y
ASN1_STRING_to_UTF8,00014930,12,2,Y
X509_get_ext_d2i,0001493c,12,4,Y
CRYPTO_free,00014948,12,1,Y
BIO_new_file,00014954,12,2,Y
d2i_X509_bio,00014960,12,2,Y
BIO_new_fp,0001496c,12,2,Y
os_zalloc,00014978,12,0,Y
X509_free,00014984,12,1,Y
SSL_get_ex_data_X509_STORE_CTX_idx,00014990,12,0,Y
X509_STORE_CTX_get_ex_data,0001499c,12,2,Y
SSL_get_SSL_CTX,000149a8,12,1,Y
SSL_CTX_get_ex_data,000149b4,12,2,Y
X509_STORE_CTX_get_error,000149c0,12,1,Y
X509_verify_cert_error_string,000149cc,12,1,Y
X509_STORE_CTX_get_error_depth,000149d8,12,1,Y
X509_STORE_CTX_get_current_cert,000149e4,12,1,Y
X509_get_subject_name,000149f0,12,1,Y
X509_NAME_oneline,000149fc,12,3,Y
system,00014a08,12,1,Y
PEM_write_X509,00014a14,12,2,Y
fread,00014a20,12,4,Y
OCSP_RESPONSE_print,00014a2c,12,3,Y
ERR_get_error,00014a38,12,0,Y
ERR_error_string,00014a44,12,2,Y
SSL_ctrl,00014a50,12,4,Y
d2i_OCSP_RESPONSE,00014a5c,12,3,Y
OCSP_response_status,00014a68,12,1,Y
OCSP_response_status_str,00014a74,12,1,Y
OCSP_response_get1_basic,00014a80,12,1,Y
SSL_CTX_get_cert_store,00014a8c,12,1,Y
X509_STORE_add_cert,00014a98,12,2,Y
X509_dup,00014aa4,12,1,Y
OCSP_basic_verify,00014ab0,12,4,Y
OCSP_BASICRESP_free,00014abc,12,1,Y
OCSP_RESPONSE_free,00014ac8,12,1,Y
OCSP_cert_to_id,00014ad4,12,3,Y
OCSP_resp_find_status,00014ae0,12,7,Y
OCSP_check_validity,00014aec,12,4,Y
