name,entry,size,num_params,has_body
_init,00011a20,12,1,Y
__cxa_finalize,00011a4c,12,0,Y
msgq_does_queue_exist,00011a58,12,0,Y
settings_get_setting,00011a64,12,0,Y
mifi_dbg_get_level_name,00011a70,12,0,Y
mifi_dbg_syslog,00011a7c,12,0,Y
mifi_dbg_log,00011a88,12,0,Y
settings_set_setting,00011a94,12,0,Y
memset,00011aa0,12,3,Y
msgq_send_async,00011aac,12,0,Y
msgq_send_sync,00011ab8,12,0,Y
memcpy,00011ac4,12,3,Y
inet_pton,00011ad0,12,3,Y
inet_ntop,00011adc,12,4,Y
strtok_r,00011ae8,12,3,Y
atoi,00011af4,12,1,Y
sprintf,00011b00,12,2,Y
strcat,00011b0c,12,2,Y
strlen,00011b18,12,1,Y
strncpy,00011b24,12,3,Y
msgq_send_sync_to,00011b30,12,0,Y
xmldata_getint32,00011b3c,12,0,Y
xmldata_setint32,00011b48,12,0,Y
xmldata_save,00011b54,12,0,Y
MsgBusSetInt32,00011b60,12,0,Y
xmldata_getstring,00011b6c,12,0,Y
xmldata_setstring,00011b78,12,0,Y
xmldata_getint32_default,00011b84,12,0,Y
xmldata_getstring_default,00011b90,12,0,Y
xmldata_getcount,00011b9c,12,0,Y
call_weak_fn,00011ba8,40,0,Y
deregister_tm_clones,00011bcc,26,0,Y
register_tm_clones,00011bf8,36,0,Y
__do_global_dtors_aux,00011c2c,48,0,Y
frame_dummy,00011c70,2,0,Y
ccm2_is_running,00011c74,56,0,Y
ccm2_get_ipv6_enabled,00011cb4,392,0,Y
ccm2_set_ipv6_enabled,00011e78,512,0,Y
ccm2_get_cellular_data_enabled,000120c4,392,0,Y
ccm2_set_cellular_data_enabled,00012288,512,0,Y
ccm2_get_ipv6_preferred_list,000124d4,392,0,Y
ccm2_get_wifi_enabled,00012698,204,0,Y
ccm2_set_wifi_enabled,00012780,212,0,Y
ccm2_get_wifi_ap_mode_enabled,00012870,392,0,Y
ccm2_set_wifi_ap_mode_enabled,00012a34,512,0,Y
ccm2_get_wifi_station_mode_enabled,00012c80,392,0,Y
ccm2_set_wifi_station_mode_enabled,00012e44,512,0,Y
ccm2_get_airplane_mode_enabled,00013090,392,0,Y
ccm2_set_airplane_mode_enabled,00013254,512,0,Y
ccm2_get_wifi_enabled_while_usbtethered,000134a0,392,0,Y
ccm2_set_wifi_enabled_while_usbtethered,00013664,512,0,Y
ccm2_set_wifi_enabled_while_usbtethered_temp,000138b0,212,0,Y
ccm2_wan_cm_eth,000139a0,216,0,Y
ccm2_get_static_ip,00013a94,416,0,Y
ccm2_set_static_ip,00013c70,540,0,Y
ccm2_get_ntp_url,00013ed8,392,0,Y
ccm2_set_ntp_url,0001409c,744,0,Y
ccm2_wan_get_current_wan,000143f8,216,0,Y
ccm2_wan_get_wan_stats,000144ec,260,0,Y
ccm2_wan_get_conn_state,0001460c,216,0,Y
ccm2_wan_get_wan_prio,00014700,668,0,Y
ccm2_wan_set_wan_prio,000149f0,952,0,Y
ccm2_wan_connect,00014df8,168,0,Y
ccm2_wan_disconnect,00014eb8,168,0,Y
ccm2_wwan_get_autoconnect,00014f78,392,0,Y
ccm2_wwan_set_autoconnect,0001513c,500,0,Y
ccm2_wwan_connect,0001537c,240,0,Y
ccm2_wwan_disconnect,00015488,240,0,Y
ccm2_accept_pco_event,00015594,168,0,Y
ccm2_apps_call_start,00015654,288,0,Y
ccm2_apps_call_stop,00015794,276,0,Y
ccm2_apps_get_call_state,000158c8,236,0,Y
ccm2_dm_call_start,000159d4,288,0,Y
ccm2_dm_call_stop,00015b14,276,0,Y
ccm2_dm_get_call_state,00015c48,236,0,Y
ccm2_get_error_string,00015d54,332,0,Y
ccm2_wwan_get_autoconnect_state,00015ee4,216,0,Y
ccm2_autoconnect_update_client_count,00015fd8,192,0,Y
ccm2_wan_cm_wwan,000160b4,216,0,Y
ccm2_update_roam_state,000161a8,216,0,Y
ccm2_update_usb_iface,0001629c,212,0,Y
ccm2_wan_connection_stats_event,0001638c,212,0,Y
ccm2_update_pco_event,0001647c,320,0,Y
ccm2_get_airplane_mode_disable_status,000165d8,216,0,Y
ccm2_autoconnect_get_call_throttle_state,000166cc,244,0,Y
ccm2_setup_wan_details,000167e0,168,0,Y
ccm2_wan_mgr_register,00016898,120,0,Y
ccm2_get_ipv6_enabled_settings,0001691c,132,0,Y
ccm2_set_ipv6_enabled_settings,000169b4,220,0,Y
ccm2_get_cellular_data_enabled_settings,00016aac,132,0,Y
ccm2_set_cellular_data_enabled_settings,00016b44,220,0,Y
ccm2_get_wifi_ap_enabled_settings,00016c3c,132,0,Y
ccm2_set_wifi_ap_enabled_settings,00016cd4,220,0,Y
ccm2_get_wifi_stn_enabled_settings,00016dcc,132,0,Y
ccm2_set_wifi_stn_enabled_settings,00016e64,220,0,Y
ccm2_get_airplane_mode_enabled_settings,00016f5c,132,0,Y
ccm2_set_airplane_mode_enabled_settings,00016ff4,220,0,Y
ccm2_get_wifi_enabled_while_usbtethered_settings,000170ec,132,0,Y
ccm2_set_wifi_enabled_while_usbtethered_settings,00017184,220,0,Y
ccm2_get_static_ip_settings,0001727c,136,0,Y
ccm2_set_static_ip_settings,00017318,208,0,Y
ccm2_get_ntp_url_settings,00017404,268,0,Y
ccm2_set_ntp_url_settings,00017544,400,0,Y
ccm2_get_wan_prio_settings,00017700,136,0,Y
ccm2_set_wan_prio_settings,0001779c,208,0,Y
ccm2_get_autoconnect_settings,00017888,132,0,Y
ccm2_set_autoconnect_settings,00017920,220,0,Y
ccm2_get_ipv6_preferred_settings,00017a18,292,0,Y
