name,entry,size,num_params,has_body
_init,0001134c,12,1,Y
__cxa_finalize,00011378,12,0,Y
getpid,00011384,12,0,Y
memset,00011390,12,3,Y
malloc,0001139c,12,1,Y
access,000113a8,12,2,Y
mifi_dbg_get_level_name,000113b4,12,0,Y
mifi_dbg_syslog,000113c0,12,0,Y
mifi_dbg_log,000113cc,12,0,Y
snprintf,000113d8,12,3,Y
comm_subsystem_cleanup,000113e4,12,1,Y
commsub_init,000113f0,12,1,Y
set_callbacks,000113fc,12,1,Y
commsub_connect,00011408,12,1,Y
mosquitto_subscribe,00011414,12,0,Y
mosquitto_publish,00011420,12,0,Y
run_loop,0001142c,12,1,Y
mosquitto_lib_init,00011438,12,0,Y
mosquitto_new,00011444,12,0,Y
strlen,00011450,12,1,Y
strncmp,0001145c,12,3,Y
memcpy,00011468,12,3,Y
match,00011474,12,2,Y
mosquitto_disconnect,00011480,12,0,Y
mosquitto_connect_callback_set,0001148c,12,0,Y
mosquitto_disconnect_callback_set,00011498,12,0,Y
mosquitto_publish_callback_set,000114a4,12,0,Y
mosquitto_subscribe_callback_set,000114b0,12,0,Y
mosquitto_message_callback_set,000114bc,12,0,Y
mosquitto_connect,000114c8,12,0,Y
system,000114d4,12,1,Y
sleep,000114e0,12,1,Y
free,000114ec,12,1,Y
pthread_create,000114f8,12,4,Y
strerror,00011504,12,1,Y
mosquitto_loop_forever,00011510,12,0,Y
pthread_cancel,0001151c,12,1,Y
mosquitto_destroy,00011528,12,0,Y
mosquitto_lib_cleanup,00011534,12,0,Y
set_bolt_data,00011540,12,4,Y
get_bolt_data,0001154c,12,6,Y
handle_set_ack_response,00011558,12,3,Y
handle_get_data_response,00011564,12,3,Y
call_weak_fn,00011570,40,0,Y
deregister_tm_clones,00011594,26,0,Y
register_tm_clones,000115c0,36,0,Y
__do_global_dtors_aux,000115f4,48,0,Y
frame_dummy,00011638,2,0,Y
get_bolt_data,0001163c,1736,6,Y
set_bolt_data,00011dd4,1700,4,Y
commsub_init,00012548,180,1,Y
on_disconnect,00012600,184,3,Y
on_connect,000126d4,348,3,Y
on_publish,00012868,184,3,Y
match,0001293c,80,2,Y
handle_get_data_response,0001298c,308,3,Y
handle_set_ack_response,00012adc,268,3,Y
on_message,00012c04,728,3,Y
on_subscribe,00012f2c,188,5,Y
set_callbacks,00013004,140,1,Y
commsub_connect,000130a8,156,1,Y
doSomeThing,00013154,232,1,Y
comm_subsystem_cleanup,00013258,184,1,Y
run_loop,0001332c,532,1,Y
comm_sub_set_ipq_debug_mode,00013580,124,2,Y
comm_sub_execute_shell_cmd,00013600,160,2,Y
comm_sub_get_ipqcm_conn_state,000136a4,160,2,Y
comm_sub_get_ipqcm_auto_connect_state,00013748,160,2,Y
comm_sub_ipqcm_start_data_call,000137ec,108,1,Y
comm_sub_ipqcm_stop_data_call,0001385c,120,1,Y
comm_sub_get_primary_ssid_broadcast_status,000138d8,176,2,Y
comm_sub_set_primary_ssid_broadcast_status,0001398c,132,2,Y
comm_sub_get_primary_ssid_name,00013a14,156,2,Y
comm_sub_set_primary_ssid_name,00013ab4,112,2,Y
comm_sub_get_primary_wifi_password,00013b28,156,2,Y
comm_sub_set_primary_wifi_password,00013bc8,112,2,Y
comm_sub_get_primary_wifi_band_selection,00013c3c,164,2,Y
comm_sub_set_primary_wifi_band_selection,00013ce4,120,2,Y
comm_sub_get_guest_ssid_broadcast_status,00013d60,164,2,Y
comm_sub_set_guest_ssid_broadcast_status,00013e08,120,2,Y
comm_sub_get_guest_ssid_name,00013e84,164,2,Y
comm_sub_set_guest_ssid_name,00013f2c,120,2,Y
comm_sub_get_guest_wifi_password,00013fa8,160,2,Y
comm_sub_set_guest_wifi_password,0001404c,116,2,Y
comm_sub_get_guest_wifi_band_selection,000140c4,172,2,Y
comm_sub_set_guest_wifi_band_selection,00014174,128,2,Y
_fini,000141f8,8,0,Y
__gmon_start__,00019000,1,0,Y
_ITM_deregisterTMCloneTable,00019004,1,0,Y
_ITM_registerTMCloneTable,00019008,1,0,Y
__cxa_finalize,0001900c,1,0,Y
getpid,00019010,1,0,Y
memset,00019014,1,3,Y
malloc,00019018,1,1,Y
access,0001901c,1,2,Y
mifi_dbg_get_level_name,00019020,1,0,Y
mifi_dbg_syslog,00019024,1,0,Y
mifi_dbg_log,00019028,1,0,Y
snprintf,0001902c,1,3,Y
mosquitto_subscribe,00019030,1,0,Y
mosquitto_publish,00019034,1,0,Y
mosquitto_lib_init,00019038,1,0,Y
mosquitto_new,0001903c,1,0,Y
strlen,00019040,1,1,Y
strncmp,00019044,1,3,Y
memcpy,00019048,1,3,Y
mosquitto_disconnect,0001904c,1,0,Y
mosquitto_connect_callback_set,00019050,1,0,Y
mosquitto_disconnect_callback_set,00019054,1,0,Y
mosquitto_publish_callback_set,00019058,1,0,Y
mosquitto_subscribe_callback_set,0001905c,1,0,Y
mosquitto_message_callback_set,00019060,1,0,Y
mosquitto_connect,00019064,1,0,Y
system,00019068,1,1,Y
sleep,0001906c,1,1,Y
free,00019070,1,1,Y
pthread_create,00019074,1,4,Y
strerror,00019078,1,1,Y
mosquitto_loop_forever,0001907c,1,0,Y
pthread_cancel,00019080,1,1,Y
mosquitto_destroy,00019084,1,0,Y
mosquitto_lib_cleanup,00019088,1,0,Y
