name,entry,size,num_params,has_body
_init,000118c0,12,1,Y
__cxa_finalize,000118ec,12,0,Y
mifi_dbg_get_level_name,000118f8,12,0,Y
mifi_dbg_log,00011904,12,0,Y
msgq_does_queue_exist,00011910,12,0,Y
mifi_dbg_syslog,0001191c,12,0,Y
settings_get_setting,00011928,12,0,Y
settings_set_setting,00011934,12,0,Y
calloc,00011940,12,2,Y
msgq_send_sync,0001194c,12,0,Y
free,00011958,12,1,Y
memcpy,00011964,12,3,Y
memset,00011970,12,3,Y
xmldata_getuint32,0001197c,12,0,Y
xmldata_setuint32,00011988,12,0,Y
xmldata_save,00011994,12,0,Y
MsgBusSetInt32,000119a0,12,0,Y
xmldata_getint32,000119ac,12,0,Y
xmldata_setint32,000119b8,12,0,Y
xmldata_getuint32_default,000119c4,12,0,Y
deviceui_factory_reset,000119d0,12,0,Y
call_weak_fn,000119dc,40,0,Y
deregister_tm_clones,00011a00,26,0,Y
register_tm_clones,00011a2c,36,0,Y
__do_global_dtors_aux,00011a60,48,0,Y
frame_dummy,00011aa4,2,0,Y
deviceui_is_running,00011aa8,212,0,Y
deviceui_get_guest_wifi_info_display_settings,00011b98,384,0,Y
deviceui_set_guest_wifi_info_display_settings,00011d5c,512,0,Y
deviceui_get_primary_wifi_info_display_settings,00011fac,384,0,Y
deviceui_set_primary_wifi_info_display_settings,00012170,512,0,Y
deviceui_get_screen_timeout_settings,000123c0,384,0,Y
deviceui_set_screen_timeout_settings,00012584,532,0,Y
deviceui_get_display_setting_enabled,000127f0,384,0,Y
deviceui_set_display_setting_enabled,000129b4,456,0,Y
deviceui_get_display_ethernet_port_enabled,00012bc4,384,0,Y
deviceui_set_display_ethernet_port_enabled,00012d88,456,0,Y
deviceui_get_quickstart_enabled,00012f98,384,0,Y
deviceui_set_quickstart_enabled,0001315c,456,0,Y
deviceui_get_usb_connection_prompt_enabled,0001336c,396,0,Y
deviceui_set_usb_connection_prompt_enabled,00013540,456,0,Y
deviceui_get_features,00013750,580,0,Y
deviceui_get_configurations,000139d0,596,0,Y
deviceui_get_apps_menu_info,00013c60,580,0,Y
deviceui_get_file_sharing_display_setting_enabled,00013ee0,384,0,Y
deviceui_set_file_sharing_display_setting_enabled,000140a4,456,0,Y
deviceui_get_wifi_display_setting_enabled,000142b4,384,0,Y
deviceui_set_wifi_display_setting_enabled,00014478,456,0,Y
deviceui_get_admin_password_enabled,00014688,384,0,Y
deviceui_set_admin_password_enabled,0001484c,456,0,Y
deviceui_get_notification_display_wakeup_setting_enabled,00014a5c,384,0,Y
deviceui_set_notification_display_wakeup_setting_enabled,00014c20,456,0,Y
deviceui_get_data_usage_touchscreen_enabled,00014e30,392,0,Y
deviceui_set_data_usage_touchscreen_enabled,00014ffc,456,0,Y
deviceui_get_hfa_activated,0001520c,392,0,Y
deviceui_set_hfa_activated,000153d8,476,0,Y
deviceui_factory_reset,000155fc,204,0,Y
deviceui_get_info_panels_list,000156e0,416,0,Y
deviceui_get_error_string,000158b4,176,0,Y
deviceui_get_guest_wifi_info_display_settings_impl,00015994,292,0,Y
deviceui_get_wifi_info_display_settings_impl,00015ae8,292,0,Y
deviceui_set_guest_wifi_info_display_settings_impl,00015c3c,272,0,Y
deviceui_set_wifi_info_display_settings_impl,00015d80,272,0,Y
deviceui_set_hfa_activated_impl,00015ec4,120,0,Y
deviceui_get_display_setting_enabled_impl,00015f54,148,0,Y
deviceui_get_quickstart_enabled_impl,00016000,148,0,Y
deviceui_get_usb_connection_prompt_enabled_impl,000160ac,148,0,Y
deviceui_get_screen_timeout_settings_impl,00016158,148,0,Y
deviceui_get_file_sharing_display_setting_enabled_impl,00016204,148,0,Y
deviceui_get_wifi_display_setting_enabled_impl,000162b0,148,0,Y
deviceui_get_admin_password_enabled_impl,0001635c,148,0,Y
deviceui_get_notification_display_wakeup_setting_enabled_impl,00016408,148,0,Y
deviceui_get_data_usage_touchscreen_enabled_impl,000164b4,148,0,Y
deviceui_get_ethernet_port_display_impl,00016560,148,0,Y
deviceui_set_display_setting_enabled_impl,0001660c,244,0,Y
deviceui_set_quickstart_enabled_impl,0001672c,240,0,Y
deviceui_set_usb_connection_prompt_enabled_impl,00016848,240,0,Y
deviceui_set_screen_timeout_settings_impl,00016964,172,0,Y
deviceui_set_file_sharing_display_setting_enabled_impl,00016a30,240,0,Y
deviceui_set_wifi_display_setting_enabled_impl,00016b4c,240,0,Y
deviceui_set_admin_password_enabled_impl,00016c68,240,0,Y
deviceui_set_notification_display_wakeup_setting_enabled_impl,00016d84,240,0,Y
deviceui_set_data_usage_touchscreen_enabled_impl,00016ea0,248,0,Y
deviceui_set_ethernet_port_display_impl,00016fc4,244,0,Y
deviceui_get_hfa_activated_impl,000170e4,124,0,Y
initialize_settings,00017170,652,0,Y
deviceui_factory_reset_hook,0001749c,188,0,Y
initialize_factory_reset_func,00017568,28,0,Y
_fini,0001758c,8,0,Y
__gmon_start__,0001b000,1,0,Y
_ITM_deregisterTMCloneTable,0001b004,1,0,Y
_ITM_registerTMCloneTable,0001b008,1,0,Y
__cxa_finalize,0001b00c,1,0,Y
mifi_dbg_get_level_name,0001b010,1,0,Y
mifi_dbg_log,0001b014,1,0,Y
msgq_does_queue_exist,0001b018,1,0,Y
mifi_dbg_syslog,0001b01c,1,0,Y
settings_get_setting,0001b020,1,0,Y
settings_set_setting,0001b024,1,0,Y
calloc,0001b028,1,2,Y
msgq_send_sync,0001b02c,1,0,Y
free,0001b030,1,1,Y
memcpy,0001b034,1,3,Y
memset,0001b038,1,3,Y
xmldata_getuint32,0001b03c,1,0,Y
xmldata_setuint32,0001b040,1,0,Y
xmldata_save,0001b044,1,0,Y
MsgBusSetInt32,0001b048,1,0,Y
xmldata_getint32,0001b04c,1,0,Y
xmldata_setint32,0001b050,1,0,Y
xmldata_getuint32_default,0001b054,1,0,Y
