name,entry,size,num_params,has_body
_init,000111bc,12,1,Y
__cxa_finalize,000111e8,12,0,Y
msgq_does_queue_exist,000111f4,12,0,Y
mifi_dbg_get_level_name,00011200,12,0,Y
mifi_dbg_log,0001120c,12,0,Y
memset,00011218,12,3,Y
msgq_send_sync,00011224,12,0,Y
memcpy,00011230,12,3,Y
msgq_send_async,0001123c,12,0,Y
mifi_dbg_syslog,00011248,12,0,Y
settings_get_setting,00011254,12,0,Y
settings_set_setting,00011260,12,0,Y
xmldata_getuint32_default,0001126c,12,0,Y
xmldata_setuint32,00011278,12,0,Y
xmldata_save,00011284,12,0,Y
MsgBusSetInt32,00011290,12,0,Y
xmldata_getint32,0001129c,12,0,Y
open,000112a8,12,2,Y
write,000112b4,12,3,Y
close,000112c0,12,1,Y
read,000112cc,12,3,Y
sprintf,000112d8,12,2,Y
strlen,000112e4,12,1,Y
__isoc99_sscanf,000112f0,12,0,Y
call_weak_fn,000112fc,40,0,Y
deregister_tm_clones,00011320,26,0,Y
register_tm_clones,0001134c,36,0,Y
__do_global_dtors_aux,00011380,48,0,Y
frame_dummy,000113c4,2,0,Y
validate_dsm_settings_t,000113c8,120,0,Y
dsm_is_running,00011444,56,0,Y
dsm_get_state,00011484,264,0,Y
dsm_shutdown_device,000115b4,244,0,Y
dsm_reset_device,000116cc,244,0,Y
dsm_set_persistent_mode,000117e4,316,0,Y
dsm_send_fota_update,00011954,252,0,Y
dsm_send_devui_safe_shutdown_ack,00011a74,216,0,Y
dsm_send_lpm_safe_exit_ack,00011b70,216,0,Y
dsm_set_display_state,00011c6c,372,0,Y
dsm_set_suspend_wakeup_time,00011e1c,340,0,Y
dsm_set_usb_device_type,00011fac,304,0,Y
dsm_set_usb_typec_pwr_role_pref,00012110,304,0,Y
dsm_get_wifi_mac_addr,00012274,568,0,Y
dsm_get_usb_mac_addr,00012508,548,0,Y
dsm_get_usb_default_mode,00012788,540,0,Y
dsm_set_usb_default_mode,00012a00,540,0,Y
dsm_get_persistent_rl,00012c78,548,0,Y
dsm_set_persistent_rl,00012ef8,796,0,Y
dsm_get_settings,00013298,576,0,Y
dsm_set_settings,00013540,396,0,Y
dsm_get_battery_capability,00013700,452,0,Y
dsm_get_string,00013914,2520,0,Y
dsm_get_error_string,000144c0,188,0,Y
dsm_send_battery_id,000145a0,236,0,Y
dsm_check_battery_insert,000146b0,216,0,Y
dsm_send_battery_temperature_state,000147ac,236,0,Y
dsm_send_battery_temperature,000148bc,236,0,Y
dsm_send_battery_voltage_state,000149cc,236,0,Y
dsm_send_battery_capacity,00014adc,236,0,Y
dsm_send_battery_voltage,00014bec,236,0,Y
dsm_send_battery_current,00014cfc,236,0,Y
dsm_settings_changed,00014e0c,236,0,Y
dsm_send_modem_safe_shutdown_ack,00014f1c,216,0,Y
dsm_send_modem_state_changed,00015018,236,0,Y
dsm_get_ui_controls_shutdown_enabled,00015128,252,0,Y
dsm_get_settings_impl,0001524c,204,0,Y
dsm_set_settings_impl,0001532c,284,0,Y
dsm_get_battery_capability_impl,00015464,116,0,Y
initialize_settings,000154e0,132,0,Y
_sysfs_get_sysfs_str,00015580,604,0,Y
_sysfs_write_sysfs,00015860,356,0,Y
_sysfs_read_sysfs,000159ec,340,0,Y
sysfs_set_event_int,00015b68,216,0,Y
sysfs_get_event_int,00015c50,252,0,Y
sysfs_set_event_str,00015d60,168,0,Y
sysfs_get_event_str,00015e14,200,0,Y
_fini,00015eec,8,0,Y
__gmon_start__,0001a000,1,0,Y
_ITM_deregisterTMCloneTable,0001a004,1,0,Y
_ITM_registerTMCloneTable,0001a008,1,0,Y
sprintf,0001a00c,1,2,Y
__cxa_finalize,0001a010,1,0,Y
strlen,0001a014,1,1,Y
msgq_does_queue_exist,0001a018,1,0,Y
open,0001a01c,1,2,Y
write,0001a020,1,3,Y
mifi_dbg_get_level_name,0001a024,1,0,Y
close,0001a028,1,1,Y
mifi_dbg_log,0001a02c,1,0,Y
read,0001a030,1,3,Y
memset,0001a034,1,3,Y
msgq_send_sync,0001a038,1,0,Y
memcpy,0001a03c,1,3,Y
msgq_send_async,0001a040,1,0,Y
mifi_dbg_syslog,0001a044,1,0,Y
settings_get_setting,0001a048,1,0,Y
settings_set_setting,0001a04c,1,0,Y
xmldata_getuint32_default,0001a050,1,0,Y
xmldata_setuint32,0001a054,1,0,Y
xmldata_save,0001a058,1,0,Y
MsgBusSetInt32,0001a05c,1,0,Y
xmldata_getint32,0001a060,1,0,Y
__isoc99_sscanf,0001a064,1,0,Y
