name,entry,size,num_params,has_body
_DT_INIT,00010f90,12,0,Y
__cxa_finalize,00010fbc,12,0,Y
memset,00010fc8,12,3,Y
mifi_dbg_get_level_name,00010fd4,12,0,Y
mifi_dbg_log,00010fe0,12,0,Y
msgq_send_sync,00010fec,12,0,Y
memcpy,00010ff8,12,3,Y
msgq_does_queue_exist,00011004,12,0,Y
settings_get_setting,00011010,12,0,Y
mifi_dbg_syslog,0001101c,12,0,Y
settings_set_setting,00011028,12,0,Y
msgq_send_async,00011034,12,0,Y
dua_get_data_usage_settings_info,00011040,12,0,Y
dua_get_data_usage_info,0001104c,12,0,Y
strcpy,00011058,12,2,Y
sprintf,00011064,12,2,Y
xmldata_getuint32,00011070,12,0,Y
xmldata_getstring,0001107c,12,0,Y
xmldata_getnodename,00011088,12,0,Y
xmldata_getcount,00011094,12,0,Y
strcmp,000110a0,12,2,Y
xmldata_getint32,000110ac,12,0,Y
xmldata_setuint32,000110b8,12,0,Y
xmldata_setstring,000110c4,12,0,Y
xmldata_save,000110d0,12,0,Y
dua_get_active_interface,000110dc,12,0,Y
MsgBusSetInt32,000110e8,12,0,Y
xmldata_insertnode,000110f4,12,0,Y
xmldata_insertnode_with_attr,00011100,12,0,Y
xmldata_deletenode,0001110c,12,0,Y
FUN_00011118,00011118,40,0,Y
FUN_0001113c,0001113c,26,0,Y
FUN_00011168,00011168,36,0,Y
_FINI_0,0001119c,48,0,Y
_INIT_0,000111e0,2,0,Y
dua_is_running,00011274,36,0,Y
dua_get_data_usage_info,000112a0,192,0,Y
dua_get_interface_data_usage_info,000112e8,216,0,Y
dua_get_data_usage_settings_info,000113d4,344,0,Y
dua_set_data_usage_settings_info,0001155c,496,0,Y
dua_get_active_interface,00011790,196,0,Y
dua_get_interface_info,00011868,600,0,Y
dua_set_interface_info,00011b1c,452,0,Y
dua_get_error_string,00011d30,124,0,Y
dua_trigger_data_usage_sync,00011dc8,132,0,Y
dua_get_active_interface_level,00011e5c,260,0,Y
dua_get_data_usage_settings,00011f7c,420,0,Y
dua_get_interface_details,00012144,1004,0,Y
dua_set_data_usage_settings,0001259c,600,0,Y
FUN_00012828,00012828,384,0,Y
dua_set_interface_details,000129cc,2936,0,Y
initialize_settings,00013680,124,0,Y
_DT_FINI,00013718,8,0,Y
__gmon_start__,00017000,1,0,Y
_ITM_deregisterTMCloneTable,00017004,1,0,Y
_ITM_registerTMCloneTable,00017008,1,0,Y
__cxa_finalize,0001700c,1,0,Y
memset,00017010,1,3,Y
mifi_dbg_get_level_name,00017014,1,0,Y
mifi_dbg_log,00017018,1,0,Y
msgq_send_sync,0001701c,1,0,Y
memcpy,00017020,1,3,Y
msgq_does_queue_exist,00017024,1,0,Y
strcmp,00017028,1,2,Y
strcpy,0001702c,1,2,Y
settings_get_setting,00017030,1,0,Y
sprintf,00017034,1,2,Y
mifi_dbg_syslog,00017038,1,0,Y
settings_set_setting,0001703c,1,0,Y
msgq_send_async,00017040,1,0,Y
xmldata_getuint32,00017044,1,0,Y
xmldata_getstring,00017048,1,0,Y
xmldata_getnodename,0001704c,1,0,Y
xmldata_getcount,00017050,1,0,Y
xmldata_getint32,00017054,1,0,Y
xmldata_setuint32,00017058,1,0,Y
xmldata_setstring,0001705c,1,0,Y
xmldata_save,00017060,1,0,Y
MsgBusSetInt32,00017064,1,0,Y
xmldata_insertnode,00017068,1,0,Y
xmldata_insertnode_with_attr,0001706c,1,0,Y
xmldata_deletenode,00017070,1,0,Y
