name,entry,size,num_params,has_body
_init,000108dc,12,1,Y
__cxa_finalize,00010908,12,0,Y
msgq_does_queue_exist,00010914,12,0,Y
memset,00010920,12,3,Y
mifi_dbg_get_level_name,0001092c,12,0,Y
mifi_dbg_log,00010938,12,0,Y
msgq_send_async,00010944,12,0,Y
settings_get_setting,00010950,12,0,Y
mifi_dbg_syslog,0001095c,12,0,Y
settings_set_setting,00010968,12,0,Y
xmldata_getuint32_default,00010974,12,0,Y
xmldata_setuint32,00010980,12,0,Y
xmldata_save,0001098c,12,0,Y
MsgBusSetInt32,00010998,12,0,Y
call_weak_fn,000109a4,40,0,Y
deregister_tm_clones,000109c8,26,0,Y
register_tm_clones,000109f4,36,0,Y
__do_global_dtors_aux,00010a28,48,0,Y
frame_dummy,00010a6c,2,0,Y
factory_reset_api_is_running,00010a70,56,0,Y
factory_reset_do_reset,00010ab0,168,0,Y
factory_reset_do_data_wipe,00010b70,168,0,Y
factory_reset_get_hw_reset_enabled,00010c30,352,0,Y
factory_reset_set_hw_reset_enabled,00010dc4,336,0,Y
factory_reset_get_error_string,00010f48,144,0,Y
factory_reset_settings_changed,00010ff0,236,0,Y
factory_reset_fota_upgrade_status_changed,00011100,236,0,Y
factory_reset_get_hw_reset_enabled_impl,00011210,140,0,Y
factory_reset_set_hw_reset_enabled_impl,000112a8,196,0,Y
initialize_settings,00011380,104,0,Y
_fini,000113fc,8,0,Y
__gmon_start__,00014000,1,0,Y
_ITM_deregisterTMCloneTable,00014004,1,0,Y
_ITM_registerTMCloneTable,00014008,1,0,Y
__cxa_finalize,0001400c,1,0,Y
msgq_does_queue_exist,00014010,1,0,Y
memset,00014014,1,3,Y
mifi_dbg_get_level_name,00014018,1,0,Y
mifi_dbg_log,0001401c,1,0,Y
msgq_send_async,00014020,1,0,Y
settings_get_setting,00014024,1,0,Y
mifi_dbg_syslog,00014028,1,0,Y
settings_set_setting,0001402c,1,0,Y
xmldata_getuint32_default,00014030,1,0,Y
xmldata_setuint32,00014034,1,0,Y
xmldata_save,00014038,1,0,Y
MsgBusSetInt32,0001403c,1,0,Y
