name,entry,size,num_params,has_body
_DT_INIT,00010f40,12,0,Y
__cxa_finalize,00010f6c,12,0,Y
msgq_does_queue_exist,00010f78,12,0,Y
settings_get_setting,00010f84,12,0,Y
mifi_dbg_get_level_name,00010f90,12,0,Y
mifi_dbg_syslog,00010f9c,12,0,Y
mifi_dbg_log,00010fa8,12,0,Y
settings_set_setting,00010fb4,12,0,Y
memset,00010fc0,12,3,Y
msgq_send_sync,00010fcc,12,0,Y
memcpy,00010fd8,12,3,Y
malloc,00010fe4,12,1,Y
strcpy,00010ff0,12,2,Y
strcmp,00010ffc,12,2,Y
free,00011008,12,1,Y
msgq_send_async,00011014,12,0,Y
xmldata_getuint32_default,00011020,12,0,Y
xmldata_getstring,0001102c,12,0,Y
xmldata_setuint32,00011038,12,0,Y
xmldata_setstring,00011044,12,0,Y
xmldata_save,00011050,12,0,Y
MsgBusSetInt32,0001105c,12,0,Y
xmldata_getcount,00011068,12,0,Y
snprintf,00011074,12,3,Y
xmldata_getint32,00011080,12,0,Y
xmldata_deletenode,0001108c,12,0,Y
xmldata_insertnode,00011098,12,0,Y
strlen,000110a4,12,1,Y
xmldata_setint32,000110b0,12,0,Y
file_sharing_powersave_set_state,000110bc,12,0,Y
FUN_000110c8,000110c8,40,0,Y
FUN_000110ec,000110ec,26,0,Y
FUN_00011118,00011118,36,0,Y
_FINI_0,0001114c,48,0,Y
_INIT_0,00011190,2,0,Y
file_sharing_api_is_running,00011194,56,0,Y
file_sharing_get_settings,000111d4,352,0,Y
file_sharing_set_settings,00011368,336,0,Y
file_sharing_get_folder_settings_list,000114ec,448,0,Y
file_sharing_get_state,000116d4,168,0,Y
file_sharing_get_fs_type,0001178c,168,0,Y
file_sharing_set_folder_settings_list,00011844,1172,0,Y
file_sharing_get_samba_host_name,00011d20,248,0,Y
file_sharing_mount_umount,00011e34,268,0,Y
file_sharing_start_stop_file_sharing,00011f68,268,0,Y
file_sharing_powersave_set_state,0001209c,180,0,Y
file_sharing_usb_state_changed,00012168,188,0,Y
file_sharing_settings_changed,0001223c,176,0,Y
file_sharing_send_fs_type,00012304,188,0,Y
file_sharing_mon_add_service,000123d8,288,0,Y
file_sharing_mon_list_services,00012524,180,0,Y
file_sharing_get_settings_impl,000125f4,236,0,Y
file_sharing_set_settings_impl,000126f8,328,0,Y
file_sharing_get_settings_list_impl,00012860,444,0,Y
file_sharing_set_settings_list_impl,00012a30,620,0,Y
initialize_settings,00012cd4,160,0,Y
powersave_notify,00012d98,240,0,Y
_DT_FINI,00012eb0,8,0,Y
__gmon_start__,00016000,1,0,Y
_ITM_deregisterTMCloneTable,00016004,1,0,Y
_ITM_registerTMCloneTable,00016008,1,0,Y
__cxa_finalize,0001600c,1,0,Y
strlen,00016010,1,1,Y
msgq_does_queue_exist,00016014,1,0,Y
settings_get_setting,00016018,1,0,Y
snprintf,0001601c,1,3,Y
mifi_dbg_get_level_name,00016020,1,0,Y
mifi_dbg_syslog,00016024,1,0,Y
mifi_dbg_log,00016028,1,0,Y
settings_set_setting,0001602c,1,0,Y
memset,00016030,1,3,Y
msgq_send_sync,00016034,1,0,Y
memcpy,00016038,1,3,Y
malloc,0001603c,1,1,Y
strcpy,00016040,1,2,Y
strcmp,00016044,1,2,Y
free,00016048,1,1,Y
msgq_send_async,0001604c,1,0,Y
xmldata_getuint32_default,00016050,1,0,Y
xmldata_getstring,00016054,1,0,Y
xmldata_setuint32,00016058,1,0,Y
xmldata_setstring,0001605c,1,0,Y
xmldata_save,00016060,1,0,Y
MsgBusSetInt32,00016064,1,0,Y
xmldata_getcount,00016068,1,0,Y
xmldata_getint32,0001606c,1,0,Y
xmldata_deletenode,00016070,1,0,Y
xmldata_insertnode,00016074,1,0,Y
xmldata_setint32,00016078,1,0,Y
