name,entry,size,num_params,has_body
_init,00010f24,12,1,Y
__cxa_finalize,00010f50,12,0,Y
mifi_dbg_get_level_name,00010f5c,12,0,Y
mifi_dbg_syslog,00010f68,12,0,Y
mifi_dbg_log,00010f74,12,0,Y
strlen,00010f80,12,1,Y
__ctype_b_loc,00010f8c,12,0,Y
msgq_does_queue_exist,00010f98,12,0,Y
memset,00010fa4,12,3,Y
msgq_send_sync,00010fb0,12,0,Y
snprintf,00010fbc,12,3,Y
memcpy,00010fc8,12,3,Y
strsep,00010fd4,12,2,Y
strtoul,00010fe0,12,3,Y
msgq_send_sync_to,00010fec,12,0,Y
fota_do_factory_reset,00010ff8,12,0,Y
call_weak_fn,00011004,40,0,Y
deregister_tm_clones,00011028,26,0,Y
register_tm_clones,00011054,36,0,Y
__do_global_dtors_aux,00011088,48,0,Y
frame_dummy,000110cc,2,0,Y
fota_verify_string,000110d0,348,0,Y
is_str_a_number,00011268,180,0,Y
fota_api_is_running,00011320,56,0,Y
fota_get_max_allowed_pkg_size,00011360,448,0,Y
fota_get_sideload_max_allowed_pkg_size,00011570,448,0,Y
fota_create_session,00011780,456,0,Y
fota_clear_session,00011990,456,0,Y
fota_cfg_save_new_record,00011ba0,764,0,Y
fota_cfg_get_current_record,00011f14,716,0,Y
fota_get_package_version,0001225c,720,0,Y
fota_get_source_version_from_package,000125a8,52,0,Y
fota_get_target_version_from_package,000125dc,52,0,Y
fota_get_revert_status,00012610,592,0,Y
fota_get_update_status,000128c0,744,0,Y
fota_get_install_progress_status,00012c20,440,0,Y
fota_get_last_successful_record,00012e20,592,0,Y
fota_get_time_of_last_update_check,000130d0,552,0,Y
fota_set_time_of_last_update_check,00013358,456,0,Y
fota_get_full_update_history,00013568,1804,0,Y
fota_validate_update_pkg,00013d50,880,0,Y
fota_start_installation,00014154,604,0,Y
fota_start_installation_wait_time,00014414,612,0,Y
fota_do_factory_reset,000146dc,296,0,Y
fota_stop_in_recovery,00014838,312,0,Y
fota_abort_current_sess,000149a4,612,0,Y
fota_get_current_sess_record,00014c6c,436,0,Y
fota_get_record_by_id,00014e6c,436,0,Y
fota_modify_record_by_id,0001506c,408,0,Y
fota_incr_install_defer_count,00015250,456,0,Y
fota_decrypt_pkg,00015460,1208,0,Y
fota_sideload_start_installation,000159d8,880,0,Y
fota_do_file_operation,00015dd8,940,0,Y
fota_sideload_prepare_package,0001620c,452,0,Y
fota_sua_update_start,00016418,460,0,Y
fota_get_kernel_version,00016638,324,0,Y
fota_get_test_settings_impl,000167ac,40,0,Y
fota_set_test_settings_impl,000167d4,40,0,Y
initialize_settings,000167fc,104,0,Y
fota_factory_reset_impl,00016878,296,0,Y
initialize_factory_reset_func,000169d8,68,0,Y
_fini,00016a24,8,0,Y
__gmon_start__,0001a000,1,0,Y
_ITM_deregisterTMCloneTable,0001a004,1,0,Y
_ITM_registerTMCloneTable,0001a008,1,0,Y
__cxa_finalize,0001a00c,1,0,Y
mifi_dbg_get_level_name,0001a010,1,0,Y
mifi_dbg_syslog,0001a014,1,0,Y
mifi_dbg_log,0001a018,1,0,Y
strlen,0001a01c,1,1,Y
__ctype_b_loc,0001a020,1,0,Y
msgq_does_queue_exist,0001a024,1,0,Y
memset,0001a028,1,3,Y
msgq_send_sync,0001a02c,1,0,Y
snprintf,0001a030,1,3,Y
strtoul,0001a034,1,3,Y
strsep,0001a038,1,2,Y
memcpy,0001a03c,1,3,Y
msgq_send_sync_to,0001a040,1,0,Y
