name,entry,size,num_params,has_body
_DT_INIT,00010864,12,0,Y
__cxa_finalize,00010890,12,0,Y
open,0001089c,12,2,Y
mifi_dbg_get_level_name,000108a8,12,0,Y
mifi_dbg_syslog,000108b4,12,0,Y
mifi_dbg_log,000108c0,12,0,Y
write,000108cc,12,3,Y
close,000108d8,12,1,Y
read,000108e4,12,3,Y
sprintf,000108f0,12,2,Y
strlen,000108fc,12,1,Y
memset,00010908,12,3,Y
strcpy,00010914,12,2,Y
strcmp,00010920,12,2,Y
calloc,0001092c,12,2,Y
mifi_init_notify_thread,00010938,12,0,Y
mifi_register_event_handler,00010944,12,0,Y
nvtl_gpio_unregister,00010950,12,0,Y
free,0001095c,12,1,Y
mifi_unregister_event_handler,00010968,12,0,Y
mifi_shutdown_notify_thread,00010974,12,0,Y
__xstat,00010980,12,3,Y
FUN_0001098c,0001098c,40,0,Y
FUN_000109b0,000109b0,26,0,Y
FUN_000109dc,000109dc,36,0,Y
_FINI_0,00010a10,48,0,Y
_INIT_0,00010a54,2,0,Y
FUN_00010a58,00010a58,388,0,Y
FUN_00010c04,00010c04,372,0,Y
FUN_00010da0,00010da0,440,0,Y
nvtl_gpio_get_value,00010f94,608,0,Y
nvtl_gpio_set_value,00011244,704,0,Y
nvtl_gpio_get_direction,00011564,652,0,Y
nvtl_gpio_set_direction,0001184c,920,0,Y
nvtl_gpio_set_default_pull,00011c6c,352,0,Y
nvtl_gpio_set_wakeup,00011e00,352,0,Y
FUN_00011f90,00011f90,396,0,Y
nvtl_gpio_register,0001214c,1236,0,Y
nvtl_gpio_unregister,000126d8,744,0,Y
FUN_00012a24,00012a24,12,0,Y
_DT_FINI,00012a40,8,0,Y
__gmon_start__,00016000,1,0,Y
free,00016004,1,1,Y
_ITM_deregisterTMCloneTable,00016008,1,0,Y
_ITM_registerTMCloneTable,0001600c,1,0,Y
__cxa_finalize,00016010,1,0,Y
open,00016014,1,2,Y
mifi_dbg_get_level_name,00016018,1,0,Y
mifi_dbg_syslog,0001601c,1,0,Y
mifi_dbg_log,00016020,1,0,Y
write,00016024,1,3,Y
close,00016028,1,1,Y
read,0001602c,1,3,Y
sprintf,00016030,1,2,Y
strlen,00016034,1,1,Y
memset,00016038,1,3,Y
strcpy,0001603c,1,2,Y
strcmp,00016040,1,2,Y
calloc,00016044,1,2,Y
mifi_init_notify_thread,00016048,1,0,Y
mifi_register_event_handler,0001604c,1,0,Y
mifi_unregister_event_handler,00016050,1,0,Y
mifi_shutdown_notify_thread,00016054,1,0,Y
__xstat,00016058,1,3,Y
