name,entry,size,num_params,has_body
_init,00010d00,12,1,Y
__cxa_finalize,00010d2c,12,0,Y
msgq_does_queue_exist,00010d38,12,0,Y
memset,00010d44,12,3,Y
mifi_dbg_get_level_name,00010d50,12,0,Y
mifi_dbg_log,00010d5c,12,0,Y
msgq_send_sync,00010d68,12,0,Y
memcpy,00010d74,12,3,Y
settings_get_setting,00010d80,12,0,Y
mifi_dbg_syslog,00010d8c,12,0,Y
settings_set_setting,00010d98,12,0,Y
xmldata_getint32_default,00010da4,12,0,Y
xmldata_setint32,00010db0,12,0,Y
xmldata_save,00010dbc,12,0,Y
MsgBusSetInt32,00010dc8,12,0,Y
call_weak_fn,00010dd4,40,0,Y
deregister_tm_clones,00010df8,26,0,Y
register_tm_clones,00010e24,36,0,Y
__do_global_dtors_aux,00010e58,48,0,Y
frame_dummy,00010e9c,2,0,Y
translate_settings_error_code,00010ea0,180,0,Y
gps_api_is_running,00010f70,56,0,Y
gps_get_status,00010fb0,204,0,Y
gps_start,00011098,168,0,Y
gps_stop,00011158,168,0,Y
gps_force_xtra,00011218,168,0,Y
gps_get_last_fix,000112d8,216,0,Y
gps_get_privacy_setting,000113cc,276,0,Y
gps_set_privacy_setting,0001150c,396,0,Y
gps_get_mode,000116cc,276,0,Y
gps_get_nmea_over_tcp,0001180c,320,0,Y
gps_set_nmea_over_tcp,00011978,472,0,Y
gps_set_supl_mode,00011b84,212,0,Y
gps_get_default_status,00011c74,276,0,Y
gps_set_default_status,00011db4,228,0,Y
gps_enable_powersave_mode,00011eb4,212,0,Y
gps_update_usb_status,00011fa4,212,0,Y
gps_update_wan_connection,00012094,212,0,Y
gps_get_error_string,00012184,332,0,Y
gps_get_privacy_settings,00012314,136,0,Y
gps_set_privacy_settings,000123a8,196,0,Y
gps_get_mode_settings,00012480,136,0,Y
gps_get_nmea_settings,00012514,172,0,Y
gps_set_nmea_settings,000125d0,272,0,Y
gps_get_active_settings,000126f8,136,0,Y
gps_set_active_settings,0001278c,196,0,Y
initialize_settings,00012864,244,0,Y
powersave_notify,00012994,32,0,Y
_fini,000129b4,8,0,Y
__gmon_start__,00016000,1,0,Y
_ITM_deregisterTMCloneTable,00016004,1,0,Y
_ITM_registerTMCloneTable,00016008,1,0,Y
__cxa_finalize,0001600c,1,0,Y
msgq_does_queue_exist,00016010,1,0,Y
memset,00016014,1,3,Y
mifi_dbg_get_level_name,00016018,1,0,Y
mifi_dbg_log,0001601c,1,0,Y
msgq_send_sync,00016020,1,0,Y
memcpy,00016024,1,3,Y
settings_get_setting,00016028,1,0,Y
mifi_dbg_syslog,0001602c,1,0,Y
settings_set_setting,00016030,1,0,Y
xmldata_getint32_default,00016034,1,0,Y
xmldata_setint32,00016038,1,0,Y
xmldata_save,0001603c,1,0,Y
MsgBusSetInt32,00016040,1,0,Y
