name,entry,size,num_params,has_body
_init,00010a94,12,1,Y
__cxa_finalize,00010ac0,12,0,Y
msgq_does_queue_exist,00010acc,12,0,Y
mifi_dbg_get_level_name,00010ad8,12,0,Y
mifi_dbg_log,00010ae4,12,0,Y
settings_get_setting,00010af0,12,0,Y
mifi_dbg_syslog,00010afc,12,0,Y
settings_set_setting,00010b08,12,0,Y
memset,00010b14,12,3,Y
msgq_send_async,00010b20,12,0,Y
xmldata_getint32_default,00010b2c,12,0,Y
xmldata_setint32,00010b38,12,0,Y
xmldata_save,00010b44,12,0,Y
MsgBusSetInt32,00010b50,12,0,Y
led_update_system_state,00010b5c,12,0,Y
call_weak_fn,00010b68,40,0,Y
deregister_tm_clones,00010b8c,26,0,Y
register_tm_clones,00010bb8,36,0,Y
__do_global_dtors_aux,00010bec,48,0,Y
frame_dummy,00010c30,2,0,Y
led_api_is_running,00010c34,36,0,Y
led_get_enabled,00010c60,336,0,Y
led_set_enabled,00010dec,416,0,Y
led_get_error_string,00010fcc,220,0,Y
led_update_system_state,000110d0,256,0,Y
led_get_enabled_impl,000111f0,68,0,Y
led_set_enabled_impl,0001123c,88,0,Y
initialize_settings,000112a4,76,0,Y
powersave_notify,00011300,228,0,Y
led_factory_reset,000113f4,188,0,Y
initialize_factory_reset_func,000114c0,28,0,Y
_fini,000114e4,8,0,Y
__gmon_start__,00014000,1,0,Y
_ITM_deregisterTMCloneTable,00014004,1,0,Y
_ITM_registerTMCloneTable,00014008,1,0,Y
__cxa_finalize,0001400c,1,0,Y
msgq_does_queue_exist,00014010,1,0,Y
mifi_dbg_get_level_name,00014014,1,0,Y
mifi_dbg_log,00014018,1,0,Y
settings_get_setting,0001401c,1,0,Y
mifi_dbg_syslog,00014020,1,0,Y
settings_set_setting,00014024,1,0,Y
memset,00014028,1,3,Y
msgq_send_async,0001402c,1,0,Y
xmldata_getint32_default,00014030,1,0,Y
xmldata_setint32,00014034,1,0,Y
xmldata_save,00014038,1,0,Y
MsgBusSetInt32,0001403c,1,0,Y
