name,entry,size,num_params,has_body
_init,00011300,12,1,Y
__cxa_finalize,0001132c,12,0,Y
msgq_does_queue_exist,00011338,12,0,Y
mifi_dbg_get_level_name,00011344,12,0,Y
mifi_dbg_log,00011350,12,0,Y
memset,0001135c,12,3,Y
msgq_send_sync,00011368,12,0,Y
strlen,00011374,12,1,Y
strcpy,00011380,12,2,Y
memcpy,0001138c,12,3,Y
mifi_dbg_syslog,00011398,12,0,Y
settings_get_setting,000113a4,12,0,Y
settings_set_setting,000113b0,12,0,Y
snprintf,000113bc,12,3,Y
router2_dns_lookup_cust_apn,000113c8,12,0,Y
fflush,000113d4,12,1,Y
fileno,000113e0,12,1,Y
fsync,000113ec,12,1,Y
fclose,000113f8,12,1,Y
open,00011404,12,2,Y
__errno_location,00011410,12,0,Y
close,0001141c,12,1,Y
fopen,00011428,12,2,Y
fgets,00011434,12,3,Y
fread,00011440,12,4,Y
fwrite,0001144c,12,4,Y
unlink,00011458,12,1,Y
lwm2m_file_sync_and_close,00011464,12,1,Y
xmldata_getuint32_default,00011470,12,0,Y
xmldata_getstring_default,0001147c,12,0,Y
strcmp,00011488,12,2,Y
strtok,00011494,12,2,Y
xmldata_setuint32,000114a0,12,0,Y
strncpy,000114ac,12,3,Y
xmldata_setstring,000114b8,12,0,Y
xmldata_save,000114c4,12,0,Y
MsgBusSetInt32,000114d0,12,0,Y
__xstat,000114dc,12,3,Y
__lxstat,000114e8,12,3,Y
call_weak_fn,000114f4,40,0,Y
deregister_tm_clones,00011518,26,0,Y
register_tm_clones,00011544,36,0,Y
__do_global_dtors_aux,00011578,48,0,Y
frame_dummy,000115bc,2,0,Y
lwm2m_is_running,000115c0,56,0,Y
lwm2m_use_ota_call,00011600,408,0,Y
lwm2m_sys_get_device_info,000117e4,376,3,Y
lwm2m_sys_get_connectivity_statistics,0001198c,264,1,Y
lwm2m_sys_get_connectivity_monitoring,00011ab8,264,1,Y
lwm2m_get_cfg,00011be8,256,1,Y
lwm2m_sys_get_location_info,00011d0c,396,1,Y
lwm2m_sys_get_connectivity_extn_info,00011edc,396,1,Y
lwm2m_sys_get_dm_profile_info,000120ac,456,1,Y
lwm2m_sys_get_active_profile_info,000122c8,456,1,Y
lwm2m_get_lifetime,000124e4,436,1,Y
lwm2m_enable_disable_active_apn,000126ec,444,1,Y
lwm2m_enable_disable_dm_apn,000128fc,444,1,Y
lwm2m_get_settings,00012b0c,488,1,Y
lwm2m_set_settings,00012d4c,484,1,Y
lwm2m_get_ota_call_status,00012f88,448,1,Y
lwm2m_ota_start_call,00013198,256,0,Y
lwm2m_ota_stop_call,000132c8,256,0,Y
lwm2m_ota_dns_query,000133f8,1580,2,Y
lwm2m_file_sync_and_close,00013b38,356,1,Y
lwm2m_file_read_str,00013cd4,280,3,Y
lwm2m_file_read_bin,00013e14,400,3,Y
lwm2m_file_is_exists,00013fdc,112,1,Y
lwm2m_file_create,00014050,744,3,Y
lwm2m_file_remove,000143a4,332,1,Y
lwm2m_get_error_string,00014520,332,1,Y
lwm2m_get_settings_impl,000146b0,632,2,Y
lwm2m_set_settings_impl,0001496c,780,2,Y
initialize_settings,00014cb0,104,1,Y
stat,00014d2c,12,2,Y
lstat,00014d38,12,2,Y
_fini,00014d64,8,0,Y
__gmon_start__,00019000,1,0,Y
_ITM_deregisterTMCloneTable,00019004,1,0,Y
_ITM_registerTMCloneTable,00019008,1,0,Y
__cxa_finalize,0001900c,1,0,Y
strncpy,00019010,1,3,Y
msgq_does_queue_exist,00019014,1,0,Y
mifi_dbg_get_level_name,00019018,1,0,Y
strcmp,0001901c,1,2,Y
mifi_dbg_log,00019020,1,0,Y
strtok,00019024,1,2,Y
memset,00019028,1,3,Y
msgq_send_sync,0001902c,1,0,Y
strlen,00019030,1,1,Y
strcpy,00019034,1,2,Y
memcpy,00019038,1,3,Y
mifi_dbg_syslog,0001903c,1,0,Y
settings_get_setting,00019040,1,0,Y
settings_set_setting,00019044,1,0,Y
snprintf,00019048,1,3,Y
router2_dns_lookup_cust_apn,0001904c,1,0,Y
fflush,00019050,1,1,Y
fileno,00019054,1,1,Y
fsync,00019058,1,1,Y
fclose,0001905c,1,1,Y
open,00019060,1,2,Y
__errno_location,00019064,1,0,Y
close,00019068,1,1,Y
fopen,0001906c,1,2,Y
fgets,00019070,1,3,Y
fread,00019074,1,4,Y
fwrite,00019078,1,4,Y
unlink,0001907c,1,1,Y
xmldata_getuint32_default,00019080,1,0,Y
xmldata_getstring_default,00019084,1,0,Y
xmldata_setuint32,00019088,1,0,Y
xmldata_setstring,0001908c,1,0,Y
xmldata_save,00019090,1,0,Y
MsgBusSetInt32,00019094,1,0,Y
__xstat,00019098,1,3,Y
__lxstat,0001909c,1,3,Y
