name,entry,size,num_params,has_body
_init,000180b8,12,1,Y
__cxa_finalize,000180e4,12,0,Y
memset,000180f0,12,3,Y
nwqmi_init,000180fc,12,0,Y
mifi_dbg_get_level_name,00018108,12,0,Y
mifi_dbg_syslog,00018114,12,0,Y
mifi_dbg_log,00018120,12,0,Y
nwqmi_register_callback,0001812c,12,0,Y
nwqmi_open_one,00018138,12,0,Y
nwqmi_gps_set_event_mask,00018144,12,0,Y
nwqmi_enable_events,00018150,12,0,Y
nwqmi_unregister_callback,0001815c,12,0,Y
nwqmi_close,00018168,12,0,Y
ntohl,00018174,12,1,Y
memcpy,00018180,12,3,Y
socket,0001818c,12,3,Y
htons,00018198,12,1,Y
gethostbyname,000181a4,12,1,Y
inet_addr,000181b0,12,1,Y
inet_ntoa,000181bc,12,1,Y
connect,000181c8,12,3,Y
ftime,000181d4,12,0,Y
send,000181e0,12,4,Y
select,000181ec,12,5,Y
recv,000181f8,12,4,Y
time_packet_to_host,00018204,12,0,Y
gmtime_r,00018210,12,2,Y
shutdown,0001821c,12,2,Y
close,00018228,12,1,Y
strncpy,00018234,12,3,Y
pthread_create,00018240,12,4,Y
exit,0001824c,12,1,Y
pthread_detach,00018258,12,1,Y
nwqmi_gps_inject_xtra_time,00018264,12,0,Y
fopen,00018270,12,2,Y
fseek,0001827c,12,3,Y
fread,00018288,12,4,Y
fclose,00018294,12,1,Y
nwqmi_gps_inject_xtra_part,000182a0,12,0,Y
access,000182ac,12,2,Y
mkdir,000182b8,12,2,Y
unlink,000182c4,12,1,Y
nv_system,000182d0,12,0,Y
sleep,000182dc,12,1,Y
parse_fix,000182e8,12,0,Y
msgq_send_async,000182f4,12,0,Y
nwqmi_gps_set_service_state,00018300,12,0,Y
nwqmi_gps_set_session_operation,0001830c,12,0,Y
nwqmi_gps_start_fix_req,00018318,12,0,Y
nwqmi_gps_stop_fix_req,00018324,12,0,Y
nwqmi_gps_force_xtra_dl,00018330,12,0,Y
nwqmi_disable_events,0001833c,12,0,Y
nwqmi_uim_get_iccid,00018348,12,0,Y
sprintf,00018354,12,2,Y
nwqmi_nas_get_3gpp2_subscription_info,00018360,12,0,Y
modem2_modem_get_imsi,0001836c,12,0,Y
nwqmi_nas_get_system_info,00018378,12,0,Y
nwqmi_nas_get_accolc,00018384,12,0,Y
nwqmi_nas_get_device_config,00018390,12,0,Y
nwqmi_wds_get_mip_mode,0001839c,12,0,Y
nwqmi_wds_get_mip_settings,000183a8,12,0,Y
nwqmi_wds_get_active_mip_profile,000183b4,12,0,Y
nwqmi_wds_read_mip_profile,000183c0,12,0,Y
nwqmi_wds_get_dns_settings,000183cc,12,0,Y
nwqmi_wds_get_scrm,000183d8,12,0,Y
nwqmi_nas_get_sig_str,000183e4,12,0,Y
nwqmi_nas_get_tx_rx_info,000183f0,12,0,Y
nwqmi_wds_get_call_dormancy_status,000183fc,12,0,Y
nwqmi_nvtl_get_mac_index,00018408,12,0,Y
nwqmi_wds_get_runtime_settings,00018414,12,0,Y
nwqmi_nas_get_hdr_color_code,00018420,12,0,Y
nwqmi_nas_get_cdma_position_info,0001842c,12,0,Y
nwqmi_nas_get_system_selection_preference,00018438,12,0,Y
nwqmi_nas_get_rf_band,00018444,12,0,Y
__ctype_b_loc,00018450,12,0,Y
strcmp,0001845c,12,2,Y
nwqmi_nas_convert_ecio,00018468,12,0,Y
nwqmi_get_plmn_name,00018474,12,0,Y
nwqmi_decode_plmn_name,00018480,12,0,Y
snprintf,0001848c,12,3,Y
strcat,00018498,12,2,Y
strlen,000184a4,12,1,Y
nwqmi_nas_convert_mcc_mnc,000184b0,12,0,Y
nwqmi_nas_convert_sinr,000184bc,12,0,Y
nwqmi_nas_get_active_ca_band_list,000184c8,12,0,Y
nwqmi_nas_convert_snr,000184d4,12,0,Y
nwqmi_dsd_get_nr5g_bearer_type,000184e0,12,0,Y
nwqmi_dsd_get_nr5g_uli_type,000184ec,12,0,Y
mktime,000184f8,12,1,Y
ctime_r,00018504,12,2,Y
nwqmi_unpack_7_bit_chars,00018510,12,0,Y
MsgBusSetBinary,0001851c,12,0,Y
modem2_modem_get_ca_band_list,00018528,12,0,Y
modem2_modem_sim_get_iccid,00018534,12,0,Y
nwqmi_nvtl_get_uicc_plmn,00018540,12,0,Y
memcmp,0001854c,12,3,Y
modem2_modem_get_carrier_from_sim,00018558,12,0,Y
nwqmi_nvtl_nv_item_read_cmd,00018564,12,0,Y
