name,entry,size,num_params,has_body
_init,00011060,12,1,Y
__cxa_finalize,0001108c,12,0,Y
memset,00011098,12,3,Y
mifi_dbg_get_level_name,000110a4,12,0,Y
mifi_dbg_syslog,000110b0,12,0,Y
mifi_dbg_log,000110bc,12,0,Y
sprintf,000110c8,12,2,Y
system,000110d4,12,1,Y
ftok,000110e0,12,2,Y
__errno_location,000110ec,12,0,Y
strerror,000110f8,12,1,Y
shmget,00011104,12,3,Y
shmat,00011110,12,3,Y
shmctl,0001111c,12,3,Y
mifi_dbg_stop,00011128,12,0,Y
access,00011134,12,2,Y
fopen,00011140,12,2,Y
fputc,0001114c,12,2,Y
fflush,00011158,12,1,Y
fclose,00011164,12,1,Y
strchr,00011170,12,2,Y
strncmp,0001117c,12,3,Y
strncpy,00011188,12,3,Y
strcpy,00011194,12,2,Y
atoi,000111a0,12,1,Y
mifi_dbg_get_level,000111ac,12,0,Y
fgets,000111b8,12,3,Y
strcmp,000111c4,12,2,Y
memcpy,000111d0,12,3,Y
mifi_dbg_daemon_init,000111dc,12,0,Y
inotify_init,000111e8,12,0,Y
inotify_add_watch,000111f4,12,3,Y
read,00011200,12,3,Y
pthread_mutex_init,0001120c,12,2,Y
shmdt,00011218,12,1,Y
strstr,00011224,12,2,Y
mifi_dbg_get_level_from_module,00011230,12,0,Y
pthread_mutex_lock,0001123c,12,1,Y
mifi_dbg_vsyslog,00011248,12,0,Y
pthread_mutex_unlock,00011254,12,1,Y
fprintf,00011260,12,2,Y
fwrite,0001126c,12,4,Y
mifi_dbg_start,00011278,12,0,Y
strlen,00011284,12,1,Y
mifi_dbg_load_config_from_file,00011290,12,0,Y
mifi_dbg_write_config_to_file,0001129c,12,0,Y
mifi_dbg_reset_config,000112a8,12,0,Y
getuid,000112b4,12,0,Y
vsyslog,000112c0,12,3,Y
time,000112cc,12,1,Y
snprintf,000112d8,12,3,Y
localtime_r,000112e4,12,2,Y
strftime,000112f0,12,4,Y
vsnprintf,000112fc,12,4,Y
socket,00011308,12,3,Y
htonl,00011314,12,1,Y
htons,00011320,12,1,Y
sendto,0001132c,12,6,Y
call_weak_fn,00011338,40,0,Y
deregister_tm_clones,0001135c,26,0,Y
register_tm_clones,00011388,36,0,Y
__do_global_dtors_aux,000113bc,48,0,Y
frame_dummy,00011400,2,0,Y
mifi_dbg_start_stop_modem_logging,00011404,360,0,Y
mifi_dbg_create_shm,000115b4,1088,0,Y
mifi_dbg_deinit_shm,00011a88,340,0,Y
mifi_dbg_daemon_init,00011c14,1772,0,Y
main,000123dc,1548,0,Y
mifi_dbg_start,00012ae4,788,0,Y
mifi_dbg_stop,00012e60,104,0,Y
mifi_dbg_get_level_from_module,00012ed0,264,0,Y
mifi_dbg_get_level_name,00012fe0,156,0,Y
mifi_dbg_get_level,00013084,164,0,Y
mifi_dbg_log,00013130,224,0,Y
mifi_dbg_load_config_from_file,0001321c,708,0,Y
mifi_dbg_write_config_to_file,00013510,432,0,Y
mifi_dbg_get_current_mdm_config_file,000136e0,268,0,Y
mifi_dbg_set_current_mdm_config_file,00013804,156,0,Y
mifi_dbg_get_mdm_logging_enabled,000138a4,188,0,Y
mifi_dbg_set_mdm_logging_enabled,00013978,108,0,Y
mifi_dbg_clear_mdm_logs,000139e8,52,0,Y
mifi_dbg_reset_config,00013a24,228,0,Y
mifi_dbg_factory_reset_impl,00013b10,116,0,Y
initialize_factory_reset_func,00013b88,68,0,Y
mifi_dbg_vsyslog,00013bd4,896,0,Y
mifi_dbg_syslog,00013fa0,72,0,Y
_fini,00013fe8,8,0,Y
__gmon_start__,00017000,1,0,Y
sendto,00017004,1,6,Y
_ITM_deregisterTMCloneTable,0001700c,1,0,Y
_ITM_registerTMCloneTable,00017010,1,0,Y
__cxa_finalize,00017014,1,0,Y
memset,00017018,1,3,Y
sprintf,0001701c,1,2,Y
system,00017020,1,1,Y
ftok,00017024,1,2,Y
__errno_location,00017028,1,0,Y
strerror,0001702c,1,1,Y
shmget,00017030,1,3,Y
getuid,00017034,1,0,Y
shmat,00017038,1,3,Y
vsyslog,0001703c,1,3,Y
shmctl,00017040,1,3,Y
localtime_r,00017044,1,2,Y
strftime,00017048,1,4,Y
time,0001704c,1,1,Y
snprintf,00017050,1,3,Y
htonl,00017054,1,1,Y
access,00017058,1,2,Y
htons,0001705c,1,1,Y
fopen,00017060,1,2,Y
vsnprintf,00017064,1,4,Y
fputc,00017068,1,2,Y
socket,0001706c,1,3,Y
fflush,00017070,1,1,Y
fclose,00017074,1,1,Y
strchr,00017078,1,2,Y
strncmp,0001707c,1,3,Y
strncpy,00017080,1,3,Y
strcpy,00017084,1,2,Y
atoi,00017088,1,1,Y
fgets,0001708c,1,3,Y
strcmp,00017090,1,2,Y
memcpy,00017094,1,3,Y
inotify_init,00017098,1,0,Y
inotify_add_watch,0001709c,1,3,Y
read,000170a0,1,3,Y
pthread_mutex_init,000170a4,1,2,Y
shmdt,000170a8,1,1,Y
strstr,000170ac,1,2,Y
pthread_mutex_lock,000170b0,1,1,Y
pthread_mutex_unlock,000170b4,1,1,Y
fprintf,000170b8,1,2,Y
fwrite,000170bc,1,4,Y
strlen,000170c0,1,1,Y
