name,entry,size,num_params,has_body
_init,00010544,12,1,Y
__cxa_finalize,00010570,12,0,Y
memset,0001057c,12,3,Y
strlen,00010588,12,1,Y
memcpy,00010594,12,3,Y
strcat,000105a0,12,2,Y
open,000105ac,12,2,Y
write,000105b8,12,3,Y
close,000105c4,12,1,Y
strcmp,000105d0,12,2,Y
printf,000105dc,12,1,Y
sprintf,000105e8,12,2,Y
puts,000105f4,12,1,Y
call_weak_fn,00010600,40,0,Y
deregister_tm_clones,00010624,26,0,Y
register_tm_clones,00010650,36,0,Y
__do_global_dtors_aux,00010684,48,0,Y
frame_dummy,000106c8,2,0,Y
write_sysfs,000106cc,392,0,Y
create_color,00010880,220,0,Y
delete_color,00010974,112,0,Y
mifi_led_on,000109f4,508,0,Y
mifi_led_off,00010c38,252,0,Y
_fini,00010d64,8,0,Y
__gmon_start__,00013000,1,0,Y
puts,00013004,1,1,Y
sprintf,00013008,1,2,Y
printf,0001300c,1,1,Y
strcmp,00013010,1,2,Y
_ITM_deregisterTMCloneTable,00013014,1,0,Y
close,00013018,1,1,Y
_ITM_registerTMCloneTable,0001301c,1,0,Y
__cxa_finalize,00013020,1,0,Y
memset,00013024,1,3,Y
strlen,00013028,1,1,Y
memcpy,0001302c,1,3,Y
strcat,00013030,1,2,Y
open,00013034,1,2,Y
write,00013038,1,3,Y
