name,entry,size,num_params,has_body
_DT_INIT,00010cd0,12,0,Y
__cxa_finalize,00010cfc,12,0,Y
mtd_find_partition_by_name,00010d08,12,0,Y
mifi_dbg_get_level_name,00010d14,12,0,Y
mifi_dbg_log,00010d20,12,0,Y
memset,00010d2c,12,3,Y
mtd_read_partition,00010d38,12,0,Y
__errno_location,00010d44,12,0,Y
strerror,00010d50,12,1,Y
lseek,00010d5c,12,3,Y
ioctl,00010d68,12,2,Y
mtd_read_close,00010d74,12,0,Y
malloc,00010d80,12,1,Y
free,00010d8c,12,1,Y
open,00010d98,12,2,Y
read,00010da4,12,3,Y
close,00010db0,12,1,Y
__isoc99_sscanf,00010dbc,12,0,Y
strdup,00010dc8,12,1,Y
strcmp,00010dd4,12,2,Y
mtd_get_partition_bad_blocks,00010de0,12,0,Y
sprintf,00010dec,12,2,Y
mount,00010df8,12,5,Y
chmod,00010e04,12,2,Y
memcpy,00010e10,12,3,Y
realloc,00010e1c,12,2,Y
write,00010e28,12,3,Y
memcmp,00010e34,12,3,Y
mtd_erase_blocks,00010e40,12,0,Y
mtd_scan_partitions,00010e4c,12,0,Y
mtd_get_address_offset_in_partition,00010e58,12,0,Y
mtd_find_partition_name_from_address,00010e64,12,0,Y
mifi_get_partition_by_name,00010e70,12,0,Y
mtd_adjust_for_bad_block,00010e7c,12,0,Y
mtd_write_partition,00010e88,12,0,Y
mtd_write_close,00010e94,12,0,Y
mtd_write_data,00010ea0,12,0,Y
mtd_read_data,00010eac,12,0,Y
raise,00010eb8,12,1,Y
__xstat,00010ec4,12,3,Y
FUN_00010ed0,00010ed0,40,0,Y
FUN_00010ef4,00010ef4,26,0,Y
FUN_00010f20,00010f20,36,0,Y
_FINI_0,00010f54,48,0,Y
_INIT_0,00010f98,2,0,Y
mtd_find_partition_name_from_address,00010f9c,204,0,Y
mtd_get_address_offset_in_partition,00011074,104,0,Y
mtd_get_partition_bad_blocks,000110e0,984,0,Y
mtd_adjust_for_bad_block,0001151c,292,0,Y
mtd_scan_partitions,00011650,1412,0,Y
mtd_find_partition_by_name,00011c3c,220,0,Y
mtd_find_partition_by_device_name,00011d24,244,0,Y
mtd_find_partition_by_index,00011e28,200,0,Y
mtd_mount_partition,00011f0c,664,0,Y
mtd_partition_info,000121ec,236,0,Y
mtd_read_partition,000122e0,264,0,Y
mtd_read_skip_to,000123ec,56,0,Y
FUN_00012424,00012424,1284,0,Y
mtd_read_data,000129b0,644,0,Y
mtd_read_close,00012c44,68,0,Y
mtd_write_partition,00012c88,296,0,Y
FUN_00012db4,00012db4,168,0,Y
FUN_00012e5c,00012e5c,1484,0,Y
mtd_write_data,000134c0,588,0,Y
mtd_erase_blocks,0001371c,792,0,Y
mtd_write_close,00013a70,260,0,Y
mifi_get_address_offset_in_partition,00013b84,88,0,Y
mifi_get_partition_name_from_address,00013be4,80,0,Y
mifi_get_partition_by_name,00013c3c,80,0,Y
mifi_get_number_partitions,00013c94,68,0,Y
mifi_get_sector_size,00013ce4,164,0,Y
mifi_erase_sector,00013d98,764,0,Y
mifi_write_data,000140f4,936,0,Y
FUN_0001451c,0001451c,168,0,Y
mifi_write_partial_block,000145c4,1940,0,Y
mifi_read_data,00014e1c,772,0,Y
mifi_get_ecc_stats,00015180,512,0,Y
FUN_000153b8,000153b8,82,0,Y
FUN_00015614,00015614,38,0,Y
FUN_0001563c,0001563c,12,0,Y
_DT_FINI,00015658,8,0,Y
raise,00019000,1,1,Y
__gmon_start__,00019004,1,0,Y
_ITM_deregisterTMCloneTable,00019008,1,0,Y
_ITM_registerTMCloneTable,0001900c,1,0,Y
__cxa_finalize,00019010,1,0,Y
mifi_dbg_get_level_name,00019014,1,0,Y
mifi_dbg_log,00019018,1,0,Y
memset,0001901c,1,3,Y
__errno_location,00019020,1,0,Y
strerror,00019024,1,1,Y
lseek,00019028,1,3,Y
ioctl,0001902c,1,2,Y
malloc,00019030,1,1,Y
free,00019034,1,1,Y
open,00019038,1,2,Y
read,0001903c,1,3,Y
close,00019040,1,1,Y
__isoc99_sscanf,00019044,1,0,Y
strdup,00019048,1,1,Y
strcmp,0001904c,1,2,Y
sprintf,00019050,1,2,Y
mount,00019054,1,5,Y
chmod,00019058,1,2,Y
memcpy,0001905c,1,3,Y
realloc,00019060,1,2,Y
write,00019064,1,3,Y
memcmp,00019068,1,3,Y
__xstat,0001906c,1,3,Y
