name,entry,size,num_params,has_body
_DT_INIT,00011000,12,0,Y
__cxa_finalize,0001102c,12,0,Y
strncpy,00011038,12,3,Y
dirname,00011044,12,1,Y
mifi_dbg_get_level_name,00011050,12,0,Y
mifi_dbg_log,0001105c,12,0,Y
open,00011068,12,2,Y
__errno_location,00011074,12,0,Y
strerror,00011080,12,1,Y
fsync,0001108c,12,1,Y
close,00011098,12,1,Y
statfs,000110a4,12,2,Y
memset,000110b0,12,3,Y
strlen,000110bc,12,1,Y
mkdir,000110c8,12,2,Y
fopen,000110d4,12,2,Y
strrchr,000110e0,12,2,Y
malloc,000110ec,12,1,Y
fclose,000110f8,12,1,Y
RB_CreateFolder,00011104,12,0,Y
free,00011110,12,1,Y
fwrite,0001111c,12,4,Y
fread,00011128,12,4,Y
fflush,00011134,12,1,Y
fileno,00011140,12,1,Y
unlink,0001114c,12,1,Y
rmdir,00011158,12,1,Y
RecursiveFolderCreater,00011164,12,0,Y
get_mode,00011170,12,0,Y
ftruncate,0001117c,12,2,Y
RB_SyncFile,00011188,12,0,Y
mifi_upi_image_nand_cache_enable,00011194,12,0,Y
lseek,000111a0,12,3,Y
write,000111ac,12,3,Y
read,000111b8,12,3,Y
RB_GetFileSize,000111c4,12,0,Y
readlink,000111d0,12,3,Y
memcmp,000111dc,12,3,Y
RB_VerifyLinkReference,000111e8,12,0,Y
symlink,000111f4,12,2,Y
memcpy,00011200,12,3,Y
strstr,0001120c,12,2,Y
strtok,00011218,12,2,Y
strtol,00011224,12,3,Y
chown,00011230,12,3,Y
chmod,0001123c,12,2,Y
fseek,00011248,12,3,Y
mifi_upi_display_update_progress,00011254,12,0,Y
vprintf,00011260,12,2,Y
RB_OpenFile,0001126c,12,0,Y
RB_CloseFile,00011278,12,0,Y
rename,00011284,12,2,Y
printf,00011290,12,1,Y
mifi_led_on,0001129c,12,0,Y
__fxstat,000112a8,12,3,Y
__lxstat,000112b4,12,3,Y
FUN_000112c0,000112c0,40,0,Y
FUN_000112e4,000112e4,26,0,Y
FUN_00011310,00011310,36,0,Y
_FINI_0,00011344,48,0,Y
_INIT_0,00011388,2,0,Y
FUN_0001138c,0001138c,716,0,Y
RB_GetAvailableFreeSpace,000116a8,252,0,Y
RB_GetRBDeltaOffset,000117c4,56,0,Y
RecursiveFolderCreater,000117fc,592,0,Y
RB_CopyFile,00011a7c,1192,0,Y
RB_DeleteFile,00011fb8,420,0,Y
RB_DeleteFolder,000121a0,364,0,Y
RB_CreateFolder,0001233c,568,0,Y
get_mode,000125b8,100,0,Y
RB_OpenFile,0001261c,1024,0,Y
RB_ResizeFile,00012a94,256,0,Y
RB_CloseFile,00012bb8,184,0,Y
RB_WriteFile,00012c84,828,0,Y
RB_ReadFile,00013028,488,0,Y
RB_GetFileSize,00013250,128,0,Y
RB_Unlink,000132e0,308,0,Y
RB_VerifyLinkReference,00013444,488,0,Y
RB_Link,0001366c,412,0,Y
RB_SetFileAttributes,0001383c,1996,0,Y
RB_GetDelta,00014174,460,0,Y
RB_Progress,00014378,108,0,Y
RB_Trace,000143f4,64,0,Y
RB_MoveFile,00014434,392,0,Y
RB_SyncFile,000145ec,212,0,Y
RB_ResetTimerA,000146e0,88,0,Y
mifi_upi_display_update_progress,00014748,184,0,Y
mifi_upi_display_init,00014820,48,0,Y
mifi_upi_display_close,00014850,88,0,Y
mifi_upi_display_result,000148b8,112,0,Y
FUN_00014938,00014938,12,0,Y
FUN_00014944,00014944,12,0,Y
_DT_FINI,00014970,8,0,Y
__gmon_start__,00018000,1,0,Y
_ITM_deregisterTMCloneTable,00018004,1,0,Y
_ITM_registerTMCloneTable,00018008,1,0,Y
__cxa_finalize,0001800c,1,0,Y
strncpy,00018010,1,3,Y
dirname,00018014,1,1,Y
mifi_dbg_get_level_name,00018018,1,0,Y
mifi_dbg_log,0001801c,1,0,Y
open,00018020,1,2,Y
__errno_location,00018024,1,0,Y
chmod,00018028,1,2,Y
strerror,0001802c,1,1,Y
fsync,00018030,1,1,Y
fseek,00018034,1,3,Y
close,00018038,1,1,Y
strstr,0001803c,1,2,Y
statfs,00018040,1,2,Y
strtok,00018044,1,2,Y
strtol,00018048,1,3,Y
chown,0001804c,1,3,Y
memset,00018050,1,3,Y
rename,00018054,1,2,Y
strlen,00018058,1,1,Y
mkdir,0001805c,1,2,Y
printf,00018060,1,1,Y
fopen,00018064,1,2,Y
strrchr,00018068,1,2,Y
malloc,0001806c,1,1,Y
vprintf,00018070,1,2,Y
fclose,00018074,1,1,Y
free,00018078,1,1,Y
fwrite,0001807c,1,4,Y
fread,00018080,1,4,Y
fflush,00018084,1,1,Y
fileno,00018088,1,1,Y
unlink,0001808c,1,1,Y
rmdir,00018090,1,1,Y
ftruncate,00018094,1,2,Y
mifi_upi_image_nand_cache_enable,00018098,1,0,Y
lseek,0001809c,1,3,Y
write,000180a0,1,3,Y
read,000180a4,1,3,Y
readlink,000180a8,1,3,Y
memcmp,000180ac,1,3,Y
symlink,000180b0,1,2,Y
memcpy,000180b4,1,3,Y
mifi_led_on,000180b8,1,0,Y
__lxstat,000180bc,1,3,Y
__fxstat,000180c0,1,3,Y
