name,entry,size,num_params,has_body
_DT_INIT,000108a4,12,0,Y
__cxa_finalize,000108d0,12,0,Y
memset,000108dc,12,3,Y
posix_memalign,000108e8,12,3,Y
mifi_dbg_get_level_name,000108f4,12,0,Y
__errno_location,00010900,12,0,Y
strerror,0001090c,12,1,Y
mifi_dbg_log,00010918,12,0,Y
mifi_upi_image_init,00010924,12,0,Y
RB_ReadImage,00010930,12,0,Y
mifi_get_partition_name_from_address,0001093c,12,0,Y
mifi_get_address_offset_in_partition,00010948,12,0,Y
mtd_find_partition_by_name,00010954,12,0,Y
mifi_erase_sector,00010960,12,0,Y
RB_WriteBlock,0001096c,12,0,Y
mifi_write_data,00010978,12,0,Y
strcmp,00010984,12,2,Y
mifi_read_data,00010990,12,0,Y
memcpy,0001099c,12,3,Y
mifi_get_sector_size,000109a8,12,0,Y
exit,000109b4,12,1,Y
raise,000109c0,12,1,Y
FUN_000109d0,000109d0,40,0,Y
FUN_000109f4,000109f4,26,0,Y
FUN_00010a20,00010a20,36,0,Y
_FINI_0,00010a54,48,0,Y
_INIT_0,00010a98,2,0,Y
FUN_00010a9c,00010a9c,52,0,Y
FUN_00010ad0,00010ad0,52,0,Y
FUN_00010b04,00010b04,60,0,Y
FUN_00010b40,00010b40,368,0,Y
FUN_00010ce0,00010ce0,896,0,Y
FUN_00011110,00011110,852,0,Y
FUN_00011504,00011504,192,0,Y
mifi_upi_image_nand_cache_enable,000115e4,100,0,Y
RB_ReadBackupBlock,0001165c,340,0,Y
RB_EraseBackupBlock,000117e0,760,0,Y
RB_WriteBackupBlock,00011b54,324,0,Y
RB_WriteBackupPartOfBlock,00011cc8,348,0,Y
RB_WriteBlock,00011e58,680,0,Y
RB_ReadImage,00012168,1000,0,Y
RB_ReadImageNewKey,000125dc,88,0,Y
RB_GetBlockSize,00012638,36,0,Y
mifi_upi_image_init,00012660,616,0,Y
FUN_00012940,00012940,82,0,Y
FUN_00012b9c,00012b9c,38,0,Y
_DT_FINI,00012bc4,8,0,Y
__gmon_start__,00016000,1,0,Y
exit,00016004,1,1,Y
memcpy,00016008,1,3,Y
_ITM_deregisterTMCloneTable,0001600c,1,0,Y
_ITM_registerTMCloneTable,00016010,1,0,Y
__cxa_finalize,00016014,1,0,Y
memset,00016018,1,3,Y
posix_memalign,0001601c,1,3,Y
mifi_dbg_get_level_name,00016020,1,0,Y
__errno_location,00016024,1,0,Y
strerror,00016028,1,1,Y
mifi_dbg_log,0001602c,1,0,Y
mifi_get_partition_name_from_address,00016030,1,0,Y
mifi_get_address_offset_in_partition,00016034,1,0,Y
mtd_find_partition_by_name,00016038,1,0,Y
mifi_erase_sector,0001603c,1,0,Y
mifi_write_data,00016040,1,0,Y
strcmp,00016044,1,2,Y
mifi_read_data,00016048,1,0,Y
mifi_get_sector_size,0001604c,1,0,Y
raise,00016050,1,1,Y
