name,entry,size,num_params,has_body
_init,00011218,12,1,Y
__cxa_finalize,00011244,12,0,Y
memset,00011250,12,3,Y
mifi_dbg_get_level_name,0001125c,12,0,Y
mifi_dbg_syslog,00011268,12,0,Y
mifi_dbg_log,00011274,12,0,Y
xmldata_initialize,00011280,12,0,Y
xmldata_getuint32_default,0001128c,12,0,Y
xmldata_shutdown,00011298,12,0,Y
strlen,000112a4,12,1,Y
msgq_does_queue_exist,000112b0,12,0,Y
msgq_send_sync,000112bc,12,0,Y
memcpy,000112c8,12,3,Y
snprintf,000112d4,12,3,Y
msgq_send_async,000112e0,12,0,Y
__ctype_b_loc,000112ec,12,0,Y
strcpy,000112f8,12,2,Y
settings_get_setting,00011304,12,0,Y
settings_set_setting,00011310,12,0,Y
xmldata_getint32_default,0001131c,12,0,Y
xmldata_getstring,00011328,12,0,Y
xmldata_setuint32,00011334,12,0,Y
xmldata_setint32,00011340,12,0,Y
xmldata_setstring,0001134c,12,0,Y
xmldata_save,00011358,12,0,Y
MsgBusSetInt32,00011364,12,0,Y
nua_api_sys_indication,00011370,12,1,Y
__xstat,0001137c,12,3,Y
call_weak_fn,00011388,40,0,Y
deregister_tm_clones,000113ac,26,0,Y
register_tm_clones,000113d8,36,0,Y
__do_global_dtors_aux,0001140c,48,0,Y
frame_dummy,00011450,2,0,Y
get_low_battery_threshold_with_charger_enabled,00011454,784,1,Y
validate_nua_settings_data_t,000117cc,192,1,Y
nua_verify_string,00011890,348,1,Y
su_api_is_running,00011a28,56,0,Y
su_api_indicate_failsafe_status,00011a68,704,1,Y
su_api_indicate_fota_revert_status,00011d94,556,0,Y
su_api_get_status_before_low_battery,0001201c,752,1,Y
su_api_get_status,00012388,772,1,Y
su_api_get_installation_status,00012708,764,1,Y
su_api_check_for_update,00012a80,716,2,Y
su_api_get_download_progress,00012dac,764,1,Y
su_api_start_install,00013124,496,0,Y
su_api_postpone_install,00013370,640,1,Y
su_api_test_set_poll_interval,0001364c,780,1,Y
su_api_test_get_poll_interval,000139d4,640,1,Y
su_api_test_get_autoinstall_time,00013cb0,640,1,Y
su_api_test_set_test_imei,00013f8c,936,1,Y
su_api_test_mode_enable,000143b4,800,1,Y
su_api_test_mode_get_status,00014750,624,1,Y
su_api_test_mode_set_url,00014a1c,924,1,Y
su_api_test_mode_get_url_list,00014e34,1540,2,Y
su_api_get_custom_msgs,000154e4,828,2,Y
su_api_get_settings,0001589c,684,1,Y
su_api_set_settings,00015bbc,356,1,Y
nua_api_get_cfg_settings,00015d54,772,1,Y
nua_api_sys_indication,000160d8,592,1,Y
nua_api_test_msg,00016384,708,1,Y
nua_api_timer_timeout_ind,000166a4,532,1,Y
nua_api_job_response_ind,00016914,588,1,Y
nua_api_engine_ready_ind,00016bbc,476,0,Y
nua_api_get_error_string,00016df4,604,1,Y
nua_get_settings_impl,000170d0,304,2,Y
nua_set_settings_impl,00017220,420,2,Y
initialize_settings,000173ec,104,1,Y
nua_factory_reset_impl,00017468,380,1,Y
initialize_factory_reset_func,00017628,68,1,Y
stat,00017674,12,2,Y
_fini,00017690,8,0,Y
__gmon_start__,0001c000,1,0,Y
_ITM_deregisterTMCloneTable,0001c004,1,0,Y
_ITM_registerTMCloneTable,0001c008,1,0,Y
__cxa_finalize,0001c00c,1,0,Y
memset,0001c010,1,3,Y
mifi_dbg_get_level_name,0001c014,1,0,Y
mifi_dbg_syslog,0001c018,1,0,Y
mifi_dbg_log,0001c01c,1,0,Y
xmldata_initialize,0001c020,1,0,Y
xmldata_getuint32_default,0001c024,1,0,Y
xmldata_shutdown,0001c028,1,0,Y
strlen,0001c02c,1,1,Y
msgq_does_queue_exist,0001c030,1,0,Y
msgq_send_sync,0001c034,1,0,Y
memcpy,0001c038,1,3,Y
snprintf,0001c03c,1,3,Y
msgq_send_async,0001c040,1,0,Y
__ctype_b_loc,0001c044,1,0,Y
strcpy,0001c048,1,2,Y
settings_get_setting,0001c04c,1,0,Y
settings_set_setting,0001c050,1,0,Y
xmldata_getint32_default,0001c054,1,0,Y
xmldata_getstring,0001c058,1,0,Y
xmldata_setuint32,0001c05c,1,0,Y
xmldata_setint32,0001c060,1,0,Y
xmldata_setstring,0001c064,1,0,Y
xmldata_save,0001c068,1,0,Y
MsgBusSetInt32,0001c06c,1,0,Y
__xstat,0001c070,1,3,Y
