name,entry,size,num_params,has_body
_DT_INIT,0003282c,12,0,Y
__cxa_finalize,00032858,12,0,Y
VDM_SMM_runQueue,00032864,12,0,Y
mifi_dbg_get_level_name,00032870,12,0,Y
mifi_dbg_log,0003287c,12,0,Y
pthread_mutex_lock,00032888,12,1,Y
find_next_alarm_slot,00032894,12,0,Y
mifi_dbg_syslog,000328a0,12,0,Y
pthread_mutex_unlock,000328ac,12,1,Y
find_slot_by_alrm_id,000328b8,12,0,Y
memset,000328c4,12,3,Y
pthread_mutex_init,000328d0,12,2,Y
VDM_SMM_init,000328dc,12,0,Y
pthread_mutex_destroy,000328e8,12,1,Y
DMA_logger_init,000328f4,12,0,Y
DMA_vdm_init,00032900,12,0,Y
bl_dma_preinit,0003290c,12,0,Y
DMA_vdm_start,00032918,12,0,Y
bl_dma_postinit,00032924,12,0,Y
pthread_create,00032930,12,4,Y
VDM_SMM_stop,0003293c,12,0,Y
DMA_vdm_stop,00032948,12,0,Y
bl_dma_uninit,00032954,12,0,Y
pthread_join,00032960,12,2,Y
send_event_to_bl,0003296c,12,0,Y
fopen,00032978,12,2,Y
strstr,00032984,12,2,Y
strtok,00032990,12,2,Y
strlen,0003299c,12,1,Y
strcpy,000329a8,12,2,Y
fclose,000329b4,12,1,Y
fgets,000329c0,12,3,Y
omadm_ipl_get_device_info,000329cc,12,0,Y
sprintf,000329d8,12,2,Y
memcpy,000329e4,12,3,Y
omadm_ipl_get_version,000329f0,12,0,Y
strncat,000329fc,12,3,Y
omadm_file_remove,00032a08,12,0,Y
fseek,00032a14,12,3,Y
fwrite,00032a20,12,4,Y
omadm_file_sync_and_close,00032a2c,12,0,Y
snprintf,00032a38,12,3,Y
omadm_file_create,00032a44,12,0,Y
memcmp,00032a50,12,3,Y
bl_ipl_get_vdm_state,00032a5c,12,0,Y
strcmp,00032a68,12,2,Y
omadm_file_is_exists,00032a74,12,0,Y
VDM_run,00032a80,12,0,Y
VDM_UTL_Logger_init,00032a8c,12,0,Y
VDM_UTL_Logger_setDefaultLevel,00032a98,12,0,Y
VDM_UTL_Logger_term,00032aa4,12,0,Y
RB_PL_Thread_create,00032ab0,12,0,Y
RB_PL_Thread_setEventFunc,00032abc,12,0,Y
VDM_create,00032ac8,12,0,Y
VDM_UTL_Logger_lock,00032ad4,12,0,Y
VDM_UTL_Logger_isAboveThreshold,00032ae0,12,0,Y
VDM_PL_strlen,00032aec,12,0,Y
VDM_UTL_Logger_getComponentString,00032af8,12,0,Y
VDM_Client_PL_logPrefix,00032b04,12,0,Y
VDM_Client_PL_logMsg,00032b10,12,0,Y
VDM_UTL_Logger_unlock,00032b1c,12,0,Y
VDM_UTL_CfgParser_parseFile,00032b28,12,0,Y
VDM_Config_setEnum,00032b34,12,0,Y
VDM_start,00032b40,12,0,Y
VDM_stop,00032b4c,12,0,Y
VDM_destroy,00032b58,12,0,Y
RB_PL_Thread_destroy,00032b64,12,0,Y
VDM_PL_strcasecmp,00032b70,12,0,Y
VDM_Config_setValue,00032b7c,12,0,Y
VDM_Config_setDMProxy,00032b88,12,0,Y
VDM_Config_setDLProxy,00032b94,12,0,Y
VDM_UTL_strdup,00032ba0,12,0,Y
VDM_Config_setDMHttpAuthentication,00032bac,12,0,Y
VDM_Config_setDMProxyAuthentication,00032bb8,12,0,Y
VDM_Config_setDLHttpAuthentication,00032bc4,12,0,Y
VDM_Config_setDLProxyAuthentication,00032bd0,12,0,Y
VDM_Config_setOMADLUserAgentName,00032bdc,12,0,Y
VDM_Config_setOMADMUserAgentName,00032be8,12,0,Y
VDM_Config_setIsHttpsMandatory,00032bf4,12,0,Y
DMA_vzw_fumo_init,00032c00,12,0,Y
DMA_vzw_dmSession_init,00032c0c,12,0,Y
DMA_vzw_diagnostic_init,00032c18,12,0,Y
VDM_UTL_Map_getSize,00032c24,12,0,Y
omadm_ipl_get_current_sess_init_mode,00032c30,12,0,Y
VDM_UTL_StringMap_set,00032c3c,12,0,Y
DMA_vzw_fumo_postInit,00032c48,12,0,Y
DMA_vzw_sdm_postInit,00032c54,12,0,Y
DMA_vzw_dmSession_postInit,00032c60,12,0,Y
DMA_vzw_diagnostic_postInit,00032c6c,12,0,Y
bl_register_tree_cb,00032c78,12,0,Y
VDM_registerHttpHeadersObserver,00032c84,12,0,Y
DMA_vzw_dmSession_unInit,00032c90,12,0,Y
DMA_vzw_fumo_unInit,00032c9c,12,0,Y
DMA_vzw_diagnostic_unInit,00032ca8,12,0,Y
vsnprintf,00032cb4,12,4,Y
OPENSSL_sk_num,00032cc0,12,0,Y
OPENSSL_sk_value,00032ccc,12,0,Y
OPENSSL_sk_pop_free,00032cd8,12,0,Y
inet_ntop,00032ce4,12,4,Y
VDM_PL_memset,00032cf0,12,0,Y
getaddrinfo,00032cfc,12,4,Y
gai_strerror,00032d08,12,1,Y
sleep,00032d14,12,1,Y
omadm_ipl_ota_dns_query,00032d20,12,0,Y
omadm_file_read_bin,00032d2c,12,0,Y
omadm_ipl_ota_start_call,00032d38,12,0,Y
omadm_ipl_ota_stop_call,00032d44,12,0,Y
omadm_ipl_get_ota_call_status,00032d50,12,0,Y
SSL_new,00032d5c,12,1,Y
BIO_new_socket,00032d68,12,2,Y
SSL_set_bio,00032d74,12,3,Y
SSL_ctrl,00032d80,12,4,Y
SSL_connect,00032d8c,12,1,Y
SSL_get_error,00032d98,12,2,Y
VDM_Client_PL_assertFail,00032da4,12,0,Y
VDM_PL_exit,00032db0,12,0,Y
VDM_UTL_calloc,00032dbc,12,0,Y
VDM_PL_malloc,00032dc8,12,0,Y
VDM_PL_memcpy,00032dd4,12,0,Y
VDM_PL_free,00032de0,12,0,Y
getifaddrs,00032dec,12,0,Y
strncmp,00032df8,12,3,Y
freeifaddrs,00032e04,12,0,Y
socket,00032e10,12,3,Y
__errno_location,00032e1c,12,0,Y
strerror,00032e28,12,1,Y
setsockopt,00032e34,12,5,Y
close,00032e40,12,1,Y
connect,00032e4c,12,3,Y
clock_gettime,00032e58,12,2,Y
system,00032e64,12,1,Y
query_linux_intf_ip,00032e70,12,0,Y
inet_ntoa,00032e7c,12,1,Y
htons,00032e88,12,1,Y
VDM_UTL_stringPrintNull,00032e94,12,0,Y
VDM_PL_strncmp,00032ea0,12,0,Y
VDM_UTL_Url_parseHostAndPort,00032eac,12,0,Y
VDM_PL_strstr,00032eb8,12,0,Y
VDM_PL_snprintf,00032ec4,12,0,Y
send,00032ed0,12,4,Y
recv,00032edc,12,4,Y
VDM_UTL_utf8casestr,00032ee8,12,0,Y
SSL_write,00032ef4,12,3,Y
SSL_read,00032f00,12,3,Y
SSL_shutdown,00032f0c,12,1,Y
SSL_free,00032f18,12,1,Y
SSL_CTX_free,00032f24,12,1,Y
strchr,00032f30,12,2,Y
VDM_UTL_strndup,00032f3c,12,0,Y
SSL_get_verify_result,00032f48,12,1,Y
SSL_get_peer_certificate,00032f54,12,1,Y
X509_get_subject_name,00032f60,12,1,Y
X509_NAME_get_index_by_NID,00032f6c,12,3,Y
X509_NAME_get_entry,00032f78,12,2,Y
X509_NAME_ENTRY_get_data,00032f84,12,1,Y
ASN1_STRING_get0_data,00032f90,12,0,Y
X509_get_ext_d2i,00032f9c,12,4,Y
ASN1_STRING_to_UTF8,00032fa8,12,2,Y
CRYPTO_free,00032fb4,12,1,Y
X509_free,00032fc0,12,1,Y
ERR_get_error,00032fcc,12,0,Y
ERR_error_string_n,00032fd8,12,3,Y
VDM_PL_strncpy,00032fe4,12,0,Y
VDM_UTL_PersistentData_init,00032ff0,12,0,Y
VDM_UTL_PersistentData_readString,00032ffc,12,0,Y
VDM_UTL_PersistentData_writeString,00033008,12,0,Y
VDM_UTL_PersistentData_term,00033014,12,0,Y
OPENSSL_init_ssl,00033020,12,0,Y
OPENSSL_init_crypto,0003302c,12,0,Y
TLS_method,00033038,12,0,Y
SSL_CTX_new,00033044,12,1,Y
SSL_CTX_set_options,00033050,12,0,Y
