name,entry,size,num_params,has_body
_init,00010874,12,1,Y
__cxa_finalize,000108a0,12,0,Y
memset,000108ac,12,3,Y
mifi_dbg_get_level_name,000108b8,12,0,Y
mifi_dbg_syslog,000108c4,12,0,Y
mifi_dbg_log,000108d0,12,0,Y
strcmp,000108dc,12,2,Y
strlen,000108e8,12,1,Y
strncat,000108f4,12,3,Y
popen,00010900,12,2,Y
pclose,0001090c,12,1,Y
call_weak_fn,00010918,40,0,Y
deregister_tm_clones,0001093c,26,0,Y
register_tm_clones,00010968,36,0,Y
__do_global_dtors_aux,0001099c,48,0,Y
frame_dummy,000109e0,2,0,Y
initialize_carrier_settings,000109e4,976,2,Y
_fini,00010e34,8,0,Y
__gmon_start__,00014000,1,0,Y
strncat,00014004,1,3,Y
strlen,00014008,1,1,Y
pclose,0001400c,1,1,Y
_ITM_deregisterTMCloneTable,00014010,1,0,Y
popen,00014014,1,2,Y
_ITM_registerTMCloneTable,00014018,1,0,Y
__cxa_finalize,0001401c,1,0,Y
memset,00014020,1,3,Y
mifi_dbg_get_level_name,00014024,1,0,Y
mifi_dbg_syslog,00014028,1,0,Y
mifi_dbg_log,0001402c,1,0,Y
strcmp,00014030,1,2,Y
