name,entry,size,num_params,has_body
_init,00010bf4,12,1,Y
__cxa_finalize,00010c20,12,0,Y
msgq_does_queue_exist,00010c2c,12,0,Y
mifi_dbg_get_level_name,00010c38,12,0,Y
mifi_dbg_log,00010c44,12,0,Y
memset,00010c50,12,3,Y
strncpy,00010c5c,12,3,Y
msgq_send_sync,00010c68,12,0,Y
settings_get_setting,00010c74,12,0,Y
mifi_dbg_syslog,00010c80,12,0,Y
settings_set_setting,00010c8c,12,0,Y
msgq_send_async,00010c98,12,0,Y
xmldata_getuint32_default,00010ca4,12,0,Y
xmldata_setuint32,00010cb0,12,0,Y
xmldata_save,00010cbc,12,0,Y
MsgBusSetInt32,00010cc8,12,0,Y
call_weak_fn,00010cd4,40,0,Y
deregister_tm_clones,00010cf8,26,0,Y
register_tm_clones,00010d24,36,0,Y
__do_global_dtors_aux,00010d58,48,0,Y
frame_dummy,00010d9c,2,0,Y
powersave_is_running,00010da0,56,0,Y
powersave_wakelock_acquire,00010de0,312,0,Y
powersave_wakelock_release,00010f4c,312,0,Y
powersave_get_settings,000110b8,756,0,Y
powersave_set_settings,00011438,604,0,Y
powersave_get_error_string,000116f0,188,0,Y
powersave_dsm_state_change,000117d0,296,0,Y
powersave_charger_det_change,0001192c,296,0,Y
powersave_battery_det_change,00011a88,296,0,Y
powersave_battery_state_change,00011be4,228,0,Y
powersave_battery_temperature_state_change,00011cec,228,0,Y
powersave_power_button_change,00011df4,228,0,Y
powersave_usb_state_change,00011efc,228,0,Y
powersave_display_state_change,00012004,228,0,Y
powersave_ip_client_change,0001210c,228,0,Y
powersave_settings_changed,00012214,236,0,Y
powersave_get_settings_impl,00012324,364,0,Y
powersave_set_settings_impl,000124bc,504,0,Y
initialize_settings,000126e4,104,0,Y
_fini,00012760,8,0,Y
__gmon_start__,00016000,1,0,Y
_ITM_deregisterTMCloneTable,00016004,1,0,Y
_ITM_registerTMCloneTable,00016008,1,0,Y
__cxa_finalize,0001600c,1,0,Y
msgq_does_queue_exist,00016010,1,0,Y
mifi_dbg_get_level_name,00016014,1,0,Y
mifi_dbg_log,00016018,1,0,Y
memset,0001601c,1,3,Y
strncpy,00016020,1,3,Y
msgq_send_sync,00016024,1,0,Y
settings_get_setting,00016028,1,0,Y
mifi_dbg_syslog,0001602c,1,0,Y
settings_set_setting,00016030,1,0,Y
msgq_send_async,00016034,1,0,Y
xmldata_getuint32_default,00016038,1,0,Y
xmldata_setuint32,0001603c,1,0,Y
xmldata_save,00016040,1,0,Y
MsgBusSetInt32,00016044,1,0,Y
