name,entry,size,num_params,has_body
_init,00013364,12,1,Y
__cxa_finalize,00013390,12,0,Y
sprintf,0001339c,12,2,Y
__ctype_b_loc,000133a8,12,0,Y
msgq_does_queue_exist,000133b4,12,0,Y
memset,000133c0,12,3,Y
msgq_send_async,000133cc,12,0,Y
mifi_dbg_get_level_name,000133d8,12,0,Y
mifi_dbg_log,000133e4,12,0,Y
settings_set_setting,000133f0,12,0,Y
mifi_dbg_syslog,000133fc,12,0,Y
memcpy,00013408,12,3,Y
settings_get_setting,00013414,12,0,Y
strcpy,00013420,12,2,Y
msgq_send_sync,0001342c,12,0,Y
strlen,00013438,12,1,Y
inet_pton,00013444,12,3,Y
strncpy,00013450,12,3,Y
strchr,0001345c,12,2,Y
strtol,00013468,12,3,Y
htonl,00013474,12,1,Y
router2_get_dhcp_settings,00013480,12,0,Y
inet_ntop,0001348c,12,4,Y
router2_get_lan_settings,00013498,12,0,Y
strcmp,000134a4,12,2,Y
strcasecmp,000134b0,12,2,Y
router2_validate_dhcp_range_and_get_hosts,000134bc,12,0,Y
inet_aton,000134c8,12,2,Y
ntohl,000134d4,12,1,Y
strtok_r,000134e0,12,3,Y
snprintf,000134ec,12,3,Y
printf,000134f8,12,1,Y
router2_validate_v6_network,00013504,12,0,Y
router2_get_ip_passthrough,00013510,12,0,Y
router2_get_masquerade_rule_status,0001351c,12,0,Y
xmldata_getint32,00013528,12,0,Y
xmldata_getuint32,00013534,12,0,Y
xmldata_getcount,00013540,12,0,Y
xmldata_setint32,0001354c,12,0,Y
xmldata_save,00013558,12,0,Y
MsgBusSetInt32,00013564,12,0,Y
xmldata_setuint32,00013570,12,0,Y
xmldata_deletenode,0001357c,12,0,Y
xmldata_insertnode,00013588,12,0,Y
xmldata_getstring,00013594,12,0,Y
strncmp,000135a0,12,3,Y
xmldata_setstring,000135ac,12,0,Y
fopen,000135b8,12,2,Y
strtok,000135c4,12,2,Y
htons,000135d0,12,1,Y
fgets,000135dc,12,3,Y
fclose,000135e8,12,1,Y
getpid,000135f4,12,0,Y
socket,00013600,12,3,Y
setsockopt,0001360c,12,5,Y
close,00013618,12,1,Y
sendto,00013624,12,6,Y
select,00013630,12,5,Y
recvfrom,0001363c,12,6,Y
ntohs,00013648,12,1,Y
malloc,00013654,12,1,Y
shutdown,00013660,12,2,Y
print_addresses,0001366c,12,0,Y
call_weak_fn,00013678,40,0,Y
deregister_tm_clones,0001369c,26,0,Y
register_tm_clones,000136c8,36,0,Y
__do_global_dtors_aux,000136fc,48,0,Y
frame_dummy,00013740,2,0,Y
router2_is_valid_name,00013744,152,0,Y
convert_to_dotted_format,000137dc,104,0,Y
router2_is_valid_hostname,00013848,424,0,Y
router2_convert_firewall_severity_to_string,000139f0,112,0,Y
router2_get_error_string,00013a70,340,0,Y
router2_log_internal_config,00013bf8,140,0,Y
router2_api_is_running,00013c90,56,0,Y
router2_set_ip_passthrough,00013ccc,1808,0,Y
router2_get_firewall_severity_mode,00014490,436,0,Y
router2_set_firewall_severity_mode,00014680,608,0,Y
router2_get_ip_passthrough,0001492c,436,0,Y
router2_get_dns_name,00014b1c,444,0,Y
router2_set_dns_name,00014d14,692,0,Y
router2_get_device_name,00015020,444,0,Y
router2_set_device_name,00015218,692,0,Y
router2_config_interface_routing_ipv4,00015524,256,0,Y
router2_deconfig_interface_routing_ipv4,00015640,232,0,Y
router2_config_internet_routing_ipv4,00015744,232,0,Y
router2_deconfig_internet_routing_ipv4,00015848,232,0,Y
router2_config_interface_routing_ipv6,0001594c,256,0,Y
router2_deconfig_interface_routing_ipv6,00015a68,232,0,Y
router2_config_internet_routing_ipv6,00015b6c,232,0,Y
router2_deconfig_internet_routing_ipv6,00015c70,232,0,Y
