name,entry,size,num_params,has_body
_init,000129f8,12,1,Y
__cxa_finalize,00012a24,12,0,Y
msgq_does_queue_exist,00012a30,12,0,Y
xmldata_getint32_default,00012a3c,12,0,Y
xmldata_setint32,00012a48,12,0,Y
xmldata_save,00012a54,12,0,Y
MsgBusSetInt32,00012a60,12,0,Y
xmldata_getstring,00012a6c,12,0,Y
xmldata_setstring,00012a78,12,0,Y
initialize_accelerometer_settings,00012a84,12,0,Y
initialize_usb_serial_settings,00012a90,12,0,Y
initialize_ignition_settings,00012a9c,12,0,Y
mifi_dbg_get_level_name,00012aa8,12,0,Y
mifi_dbg_syslog,00012ab4,12,0,Y
mifi_dbg_log,00012ac0,12,0,Y
settings_set_setting,00012acc,12,0,Y
sensor_is_running,00012ad8,12,0,Y
memset,00012ae4,12,3,Y
msgq_send_sync,00012af0,12,0,Y
__errno_location,00012afc,12,0,Y
strerror,00012b08,12,1,Y
settings_get_setting,00012b14,12,0,Y
gpiopin1_set_storedval,00012b20,12,0,Y
gpiopin1_set_storedmod,00012b2c,12,0,Y
gpio_set_wakeup,00012b38,12,0,Y
msgq_send_async,00012b44,12,0,Y
gpiopin2_set_storedval,00012b50,12,0,Y
gpiopin2_set_storedmod,00012b5c,12,0,Y
memcpy,00012b68,12,3,Y
gpiopin1_get_enable,00012b74,12,0,Y
gpiopin2_get_enable,00012b80,12,0,Y
accelerometer_is_running,00012b8c,12,0,Y
strtok_r,00012b98,12,3,Y
atoi,00012ba4,12,1,Y
accel_get_driver_behaviour_threshold_value,00012bb0,12,0,Y
sprintf,00012bbc,12,2,Y
strcat,00012bc8,12,2,Y
strlen,00012bd4,12,1,Y
accel_build_threshold_string,00012be0,12,0,Y
popen,00012bec,12,2,Y
fread,00012bf8,12,4,Y
pclose,00012c04,12,1,Y
usb_serial_is_running,00012c10,12,0,Y
shmget,00012c1c,12,3,Y
exit,00012c28,12,1,Y
shmat,00012c34,12,3,Y
shmdt,00012c40,12,1,Y
msgq_send_sync_large_payload,00012c4c,12,0,Y
usb_serial_get_enabled,00012c58,12,0,Y
usb_serial_get_device_settings,00012c64,12,0,Y
usb_serial_get_threshold_settings,00012c70,12,0,Y
open,00012c7c,12,2,Y
tcgetattr,00012c88,12,2,Y
cfsetispeed,00012c94,12,2,Y
cfsetospeed,00012ca0,12,2,Y
tcsetattr,00012cac,12,3,Y
write,00012cb8,12,3,Y
close,00012cc4,12,1,Y
malloc,00012cd0,12,1,Y
read,00012cdc,12,3,Y
printf,00012ce8,12,1,Y
MsgBusSetBinary,00012cf4,12,0,Y
strcpy,00012d00,12,2,Y
system,00012d0c,12,1,Y
usb_serial_set_device_settings,00012d18,12,0,Y
xmldata_getint32,00012d24,12,0,Y
ignition_is_running,00012d30,12,0,Y
__xstat,00012d3c,12,3,Y
call_weak_fn,00012d48,40,0,Y
deregister_tm_clones,00012d6c,26,0,Y
register_tm_clones,00012d98,36,0,Y
__do_global_dtors_aux,00012dcc,48,0,Y
frame_dummy,00012e10,2,0,Y
sensor_is_running,00012e14,56,0,Y
sensor_get_error_string,00012e54,332,0,Y
gpio1_get_stored_value,00012fe4,136,0,Y
gpio2_get_stored_value,00013078,136,0,Y
gpio1_get_stored_dir,0001310c,136,0,Y
gpio2_get_stored_dir,000131a0,136,0,Y
gpio1_store_dir,00013234,196,0,Y
gpio2_store_dir,0001330c,196,0,Y
gpio1_store_value,000133e4,196,0,Y
gpio2_store_value,000134bc,196,0,Y
gpio1_get_enabled,00013594,136,0,Y
gpio1_set_enabled,00013628,196,0,Y
gpio2_get_enabled,00013700,136,0,Y
gpio2_set_enabled,00013794,196,0,Y
gpio1_get_settings,0001386c,280,0,Y
gpio1_set_settings,0001399c,236,0,Y
gpio2_get_settings,00013aa4,280,0,Y
gpio2_set_settings,00013bd4,236,0,Y
gpio1_get_out_trigger,00013cdc,136,0,Y
gpio1_set_out_trigger,00013d70,196,0,Y
gpio2_get_out_trigger,00013e48,136,0,Y
gpio2_set_out_trigger,00013edc,196,0,Y
initialize_settings,00013fb4,632,0,Y
sensor_factory_reset_impl,000142d0,196,0,Y
initialize_factory_reset_func,000143bc,68,0,Y
translate_sensor_settings_error_code,00014408,180,0,Y
gpiopin1_set_storedval,000144d8,288,0,Y
gpiopin2_set_storedval,00014624,288,0,Y
gpiopin1_set_storedmod,00014770,288,0,Y
gpiopin2_set_storedmod,000148bc,288,0,Y
gpio_get_wakeup,00014a08,372,0,Y
gpio_set_wakeup,00014ba4,364,0,Y
gpiopin1_get_enable,00014d38,276,0,Y
gpiopin1_set_enable,00014e78,1052,0,Y
gpiopin2_get_enable,0001532c,276,0,Y
gpiopin2_set_enable,0001546c,1052,0,Y
gpiopin1_get_custom_settings,00015920,304,0,Y
gpiopin1_set_custom_settings,00015a7c,844,0,Y
gpiopin2_get_custom_settings,00015e40,304,0,Y
gpiopin2_set_custom_settings,00015f9c,844,0,Y
gpiopin1_get_out_trigger,00016360,304,0,Y
gpiopin1_set_out_trigger,000164bc,500,0,Y
gpiopin2_get_out_trigger,000166e8,304,0,Y
gpiopin2_set_out_trigger,00016844,500,0,Y
gpio_get_value,00016a70,372,0,Y
gpio_set_value,00016c0c,964,0,Y
gpio_get_direction,00017050,372,0,Y
gpio_set_direction,000171ec,1076,0,Y
gpiopin1_get_storedval,000176ac,276,0,Y
gpiopin2_get_storedval,000177ec,276,0,Y
gpiopin1_get_storedmod,0001792c,276,0,Y
gpiopin2_get_storedmod,00017a6c,276,0,Y
powersave_notify,00017bac,336,0,Y
translate_accelerometer_settings_error_code,00017d38,180,0,Y
accelerometer_is_running,00017e08,56,0,Y
accelerometer_get_enabled,00017e48,304,0,Y
accelerometer_set_enabled,00017fa4,560,0,Y
accelerometer_get_last_data_axis,0001821c,168,0,Y
accelerometer_get_server_config,000182cc,304,0,Y
accelerometer_set_server_config,00018428,464,0,Y
accelerometer_get_driver_behaviour_threshold_config,0001862c,516,0,Y
accelerometer_set_driver_behaviour_threshold_config,00018878,500,0,Y
accelerometer_get_autocal_config,00018ab4,304,0,Y
accelerometer_set_autocal_config,00018c10,428,0,Y
accelerometer_get_device_config,00018df8,304,0,Y
accelerometer_set_device_config,00018f54,420,0,Y
accelerometer_get_motion_detect_config,00019130,304,0,Y
accelerometer_set_motion_detect_config,0001928c,532,0,Y
accelerometer_get_error_string,000194e8,332,0,Y
accelerometer_powersave_on,00019678,208,0,Y
accel_get_enabled,00019758,136,0,Y
accel_set_enabled,000197ec,196,0,Y
accel_get_server_settings,000198c4,172,0,Y
accel_set_server_settings,00019980,272,0,Y
accel_get_driver_behaviour_threshold_value,00019aa8,1128,0,Y
accel_get_driver_behaviour_threshold,00019f14,1356,0,Y
accel_build_threshold_string,0001a4c8,528,0,Y
accel_set_driver_behaviour_threshold,0001a6f4,2428,0,Y
accel_get_autocal,0001b13c,204,0,Y
accel_set_autocal,0001b21c,204,0,Y
accel_get_device_settings,0001b300,204,0,Y
accel_set_device_settings,0001b3e0,204,0,Y
accel_get_motion_detect_settings,0001b4c4,204,0,Y
accel_set_motion_detect_settings,0001b5a4,204,0,Y
initialize_accelerometer_settings,0001b688,384,0,Y
translate_usb_serial_settings_error_code,0001b86c,180,0,Y
usb_serial_is_running,0001b93c,324,0,Y
usb_serial_get_enabled,0001baa8,304,0,Y
usb_serial_set_enabled,0001bc04,560,0,Y
