name,entry,size,num_params,has_body
_init,0001081c,12,1,Y
__cxa_finalize,00010848,12,0,Y
msgq_does_queue_exist,00010854,12,0,Y
calloc,00010860,12,2,Y
msgq_send_sync,0001086c,12,0,Y
strlen,00010878,12,1,Y
strncpy,00010884,12,3,Y
free,00010890,12,1,Y
memset,0001089c,12,3,Y
memcpy,000108a8,12,3,Y
mifi_dbg_get_level_name,000108b4,12,0,Y
mifi_dbg_log,000108c0,12,0,Y
msgq_send_sync_large_payload,000108cc,12,0,Y
mifi_dbg_syslog,000108d8,12,0,Y
settings_factory_reset,000108e4,12,0,Y
call_weak_fn,000108f0,40,0,Y
deregister_tm_clones,00010914,26,0,Y
register_tm_clones,00010940,36,0,Y
__do_global_dtors_aux,00010974,48,0,Y
frame_dummy,000109b8,2,0,Y
settings_is_running,000109bc,56,0,Y
settings_backup,000109fc,408,0,Y
settings_restore,00010bac,288,0,Y
settings_factory_reset,00010ce0,120,0,Y
settings_get_features,00010d64,272,0,Y
settings_get_branding_info,00010e88,272,0,Y
settings_get_setting,00010fac,836,0,Y
settings_set_setting,00011340,1412,0,Y
settings_get_error_string,00011988,304,0,Y
settings_factory_reset_hook,00011af4,284,0,Y
initialize_factory_reset_func,00011c48,68,0,Y
_fini,00011c94,8,0,Y
__gmon_start__,00015000,1,0,Y
_ITM_deregisterTMCloneTable,00015004,1,0,Y
_ITM_registerTMCloneTable,00015008,1,0,Y
__cxa_finalize,0001500c,1,0,Y
msgq_does_queue_exist,00015010,1,0,Y
calloc,00015014,1,2,Y
msgq_send_sync,00015018,1,0,Y
strlen,0001501c,1,1,Y
strncpy,00015020,1,3,Y
free,00015024,1,1,Y
memset,00015028,1,3,Y
memcpy,0001502c,1,3,Y
mifi_dbg_get_level_name,00015030,1,0,Y
mifi_dbg_log,00015034,1,0,Y
msgq_send_sync_large_payload,00015038,1,0,Y
mifi_dbg_syslog,0001503c,1,0,Y
