name,entry,size,num_params,has_body
_init,0001243c,12,1,Y
__cxa_finalize,00012468,12,0,Y
msgq_does_queue_exist,00012474,12,0,Y
mifi_dbg_get_level_name,00012480,12,0,Y
mifi_dbg_syslog,0001248c,12,0,Y
mifi_dbg_log,00012498,12,0,Y
memset,000124a4,12,3,Y
settings_get_features,000124b0,12,0,Y
settings_get_setting,000124bc,12,0,Y
memcpy,000124c8,12,3,Y
modem2_sim_mgr_get_active_imsi,000124d4,12,0,Y
strncpy,000124e0,12,3,Y
settings_set_setting,000124ec,12,0,Y
msgq_send_sync,000124f8,12,0,Y
sim_mgr_settings_set_switch_mode,00012504,12,0,Y
sim_mgr_api_get_auto_algo_configs,00012510,12,0,Y
sim_mgr_api_set_auto_algo_configs,0001251c,12,0,Y
sim_mgr_api_set_prio_sim,00012528,12,0,Y
msgq_send_async,00012534,12,0,Y
sim_mgr_settings_set_conn_monitor_mode,00012540,12,0,Y
xmldata_getint32_default,0001254c,12,0,Y
xmldata_getuint32_default,00012558,12,0,Y
xmldata_getstring,00012564,12,0,Y
xmldata_getcount,00012570,12,0,Y
sprintf,0001257c,12,2,Y
strncmp,00012588,12,3,Y
xmldata_deletenode,00012594,12,0,Y
xmldata_save,000125a0,12,0,Y
xmldata_setint32,000125ac,12,0,Y
MsgBusSetInt32,000125b8,12,0,Y
strlen,000125c4,12,1,Y
xmldata_setstring,000125d0,12,0,Y
xmldata_setuint32,000125dc,12,0,Y
sim_mgr_get_settings_sim_config_impl,000125e8,12,0,Y
__ctype_b_loc,000125f4,12,0,Y
xmldata_insertnode_with_attr,00012600,12,0,Y
xmldata_insertnode,0001260c,12,0,Y
MsgBusSetString,00012618,12,0,Y
insert_new_sim_record,00012624,12,0,Y
call_weak_fn,00012630,40,0,Y
deregister_tm_clones,00012654,26,0,Y
register_tm_clones,00012680,36,0,Y
__do_global_dtors_aux,000126b4,48,0,Y
frame_dummy,000126f8,2,0,Y
translate_settings_result,000126fc,180,0,Y
sim_mgr_get_error_string,000127cc,156,0,Y
sim_mgr_api_is_running,00012884,236,0,Y
sim_mgr_api_get_is_multi_sim_supported,000129a4,344,0,Y
sim_mgr_api_get_sim_config_settings,00012b30,316,0,Y
sim_mgr_api_get_switch_mode,00012c9c,360,0,Y
sim_mgr_api_get_conn_monitor_mode,00012e3c,348,0,Y
sim_mgr_api_get_active_sim,00012fd0,264,0,Y
sim_mgr_api_get_conn_monitor,00013108,348,0,Y
sim_mgr_api_get_conn_recovery_mode,0001329c,348,0,Y
sim_mgr_api_get_conn_recovery_period,00013430,320,0,Y
sim_mgr_api_get_recovery_max_sim_switches,000135a0,320,0,Y
sim_mgr_api_get_conn_recovery_max_DNS_fail_cnt,00013710,320,0,Y
sim_mgr_api_get_conn_recovery_max_system_reset_cnt,00013880,320,0,Y
sim_mgr_api_get_recovery_mdm_disconnect_timeout,000139f0,320,0,Y
sim_mgr_api_get_recovery_max_mdm_reset_cnt,00013b60,320,0,Y
sim_mgr_api_get_recovery_max_device_reset_cnt,00013cd0,320,0,Y
sim_mgr_api_get_recovery_all_configs,00013e40,776,0,Y
sim_mgr_api_get_prio_sim,000141d4,544,0,Y
sim_mgr_api_get_auto_algo_configs,00014454,424,0,Y
sim_mgr_get_conn_configurations,0001463c,396,0,Y
sim_mgr_api_get_failback_configs,00014808,332,0,Y
sim_mgr_api_get_priority_SIM_configs,00014984,636,0,Y
sim_mgr_api_get_priority_SIM_rank,00014c68,352,0,Y
sim_mgr_api_delete_sim,00014df8,612,0,Y
