name,entry,size,num_params,has_body
_init,00010b1c,12,1,Y
__cxa_finalize,00010b48,12,0,Y
msgq_does_queue_exist,00010b54,12,0,Y
memset,00010b60,12,3,Y
mifi_dbg_get_level_name,00010b6c,12,0,Y
mifi_dbg_log,00010b78,12,0,Y
msgq_send_sync,00010b84,12,0,Y
memcpy,00010b90,12,3,Y
strncpy,00010b9c,12,3,Y
msgq_send_async,00010ba8,12,0,Y
mifi_dbg_syslog,00010bb4,12,0,Y
call_weak_fn,00010bc0,40,0,Y
deregister_tm_clones,00010be4,26,0,Y
register_tm_clones,00010c10,36,0,Y
__do_global_dtors_aux,00010c44,48,0,Y
frame_dummy,00010c88,2,0,Y
sms_api_is_running,00010c8c,56,0,Y
sms_api_get_unread_count,00010ccc,236,0,Y
sms_api_get_list,00010dd8,384,0,Y
sms_api_set_state,00010f7c,324,0,Y
sms_api_read,000110e0,348,0,Y
sms_api_send,00011260,300,0,Y
sms_api_delete,000113b0,276,0,Y
sms_api_get_ab_list,000114e4,344,0,Y
sms_api_get_ab_entry,00011660,288,0,Y
sms_api_get_ab_entry_by_address,000117a0,324,0,Y
sms_api_get_ab_entry_by_name,00011904,328,0,Y
sms_api_edit_ab_entry,00011a6c,276,0,Y
sms_api_add_ab_entry,00011ba0,244,0,Y
sms_api_delete_ab_entry,00011cb4,220,0,Y
sms_api_get_voice_mail_info,00011db0,232,0,Y
sms_update_new_sms,00011eb8,244,0,Y
sms_update_new_voicemail,00011fcc,244,0,Y
sms_get_error_string,000120e0,380,0,Y
initialize_settings,000122ac,32,0,Y
sms_factory_reset,000122cc,528,0,Y
initialize_factory_reset_func,00012544,68,0,Y
_fini,00012590,8,0,Y
__gmon_start__,00015000,1,0,Y
_ITM_deregisterTMCloneTable,00015004,1,0,Y
_ITM_registerTMCloneTable,00015008,1,0,Y
__cxa_finalize,0001500c,1,0,Y
msgq_does_queue_exist,00015010,1,0,Y
memset,00015014,1,3,Y
mifi_dbg_get_level_name,00015018,1,0,Y
mifi_dbg_log,0001501c,1,0,Y
msgq_send_sync,00015020,1,0,Y
memcpy,00015024,1,3,Y
strncpy,00015028,1,3,Y
msgq_send_async,0001502c,1,0,Y
mifi_dbg_syslog,00015030,1,0,Y
