name,entry,size,num_params,has_body
_init,000121dc,12,1,Y
__cxa_finalize,00012208,12,0,Y
IsBigEndian,00012214,12,0,Y
memcpy,00012220,12,3,Y
IsConfiguredForGsm,0001222c,12,0,Y
strncpy,00012238,12,3,Y
time,00012244,12,1,Y
localtime,00012250,12,1,Y
PDU_Encode_Sms,0001225c,12,0,Y
strlen,00012268,12,1,Y
calloc,00012274,12,2,Y
SmsMsgDataExToSmsMsgData,00012280,12,0,Y
EncodeSms,0001228c,12,0,Y
free,00012298,12,1,Y
SmsMsgDataToSmsMsgDataEx,000122a4,12,0,Y
EncodeSmsEx,000122b0,12,0,Y
IsConfiguredForIS637,000122bc,12,0,Y
CDMA_Encode_Message_IS637,000122c8,12,0,Y
CDMA_Encode_Message,000122d4,12,0,Y
PDU_Decode_Sms,000122e0,12,0,Y
CDMA_Decode_Message_IS637,000122ec,12,0,Y
CDMA_Decode_Sent_Message,000122f8,12,0,Y
CDMA_Decode_Message,00012304,12,0,Y
memset,00012310,12,3,Y
SWAP16,0001231c,12,0,Y
wms_ts_is_gsm_char,00012328,12,0,Y
wms_ts_is_extended_gsm_char,00012334,12,0,Y
GetMessageProperties,00012340,12,0,Y
WMSTS_Init,0001234c,12,0,Y
nvtl_smsenc_init,00012358,12,0,Y
nvtl_smsenc_fini,00012364,12,0,Y
SetMessageFormat,00012370,12,0,Y
DecodeSms,0001237c,12,0,Y
DecodeSmsEx,00012388,12,0,Y
GetMessageMetrics,00012394,12,0,Y
libiconv_open,000123a0,12,0,Y
libiconv,000123ac,12,0,Y
libiconv_close,000123b8,12,0,Y
sprintf,000123c4,12,2,Y
__isoc99_sscanf,000123d0,12,0,Y
UnicodeToAscii,000123dc,12,0,Y
nvtl_ascii2addr,000123e8,12,0,Y
byteswap,000123f4,12,0,Y
wms_ts_ascii_to_default,00012400,12,0,Y
wms_ts_ucs2_to_gsm,0001240c,12,0,Y
UnicodeToLatin1,00012418,12,0,Y
wms_ts_encode,00012424,12,0,Y
hex2ascii,00012430,12,0,Y
mifi_dbg_get_level_name,0001243c,12,0,Y
mifi_dbg_log,00012448,12,0,Y
ascii2hex_int,00012454,12,0,Y
AsciiToUnicode,00012460,12,0,Y
ascii2hex,0001246c,12,0,Y
local_log,00012478,12,0,Y
PDU_Decode_Sms_Deliver,00012484,12,0,Y
PDU_Decode_Sms_Submit,00012490,12,0,Y
wms_ts_decode,0001249c,12,0,Y
nvtl_addr2ascii,000124a8,12,0,Y
wms_ts_default_gsm_to_ucs2,000124b4,12,0,Y
Latin1ToUnicode,000124c0,12,0,Y
b_packb,000124cc,12,0,Y
b_unpackb,000124d8,12,0,Y
b_unpackw,000124e4,12,0,Y
wms_ts_unpack_ascii,000124f0,12,0,Y
wms_ts_decode_relative_time,000124fc,12,0,Y
dtmf2uasmsu_ascii,00012508,12,0,Y
uasmsu_ascii2dtmf,00012514,12,0,Y
b_packw,00012520,12,0,Y
wms_ts_pack_ascii,0001252c,12,0,Y
wms_ts_encode_relative_time,00012538,12,0,Y
get_new_transaction_id,00012544,12,0,Y
Encode_Address,00012550,12,0,Y
Encode_MessageId,0001255c,12,0,Y
Encode_UserData,00012568,12,0,Y
Encode_Validity,00012574,12,0,Y
Encode_Priority,00012580,12,0,Y
Encode_ReplyOption,0001258c,12,0,Y
Encode_Callback,00012598,12,0,Y
CDMA_Decode_BearerData,000125a4,12,0,Y
malloc,000125b0,12,1,Y
wms_ts_encode_CDMA_tl,000125bc,12,0,Y
wms_ts_decode_CDMA_tl,000125c8,12,0,Y
wms_ts_build_ucs2_to_gsm_table,000125d4,12,0,Y
qsort,000125e0,12,4,Y
bsearch,000125ec,12,5,Y
wms_ts_encode_address,000125f8,12,0,Y
wms_ts_decode_address,00012604,12,0,Y
wms_ts_encode_udh_special_sm,00012610,12,0,Y
wms_ts_encode_user_data_header,0001261c,12,0,Y
wms_ts_pack_gw_7_bit_chars,00012628,12,0,Y
wms_ts_encode_timestamp,00012634,12,0,Y
wms_ts_encode_dcs,00012640,12,0,Y
wms_ts_encode_gw_user_data,0001264c,12,0,Y
wms_ts_encode_gw_validity,00012658,12,0,Y
wms_ts_encode_deliver,00012664,12,0,Y
wms_ts_encode_submit,00012670,12,0,Y
wms_ts_decode_udh_special_sm,0001267c,12,0,Y
wms_ts_decode_user_data_header,00012688,12,0,Y
wms_ts_unpack_gw_7_bit_chars,00012694,12,0,Y
wms_ts_decode_timestamp,000126a0,12,0,Y
wms_ts_decode_dcs,000126ac,12,0,Y
wms_ts_decode_gw_user_data,000126b8,12,0,Y
wms_ts_decode_gw_validity,000126c4,12,0,Y
wms_ts_decode_deliver,000126d0,12,0,Y
wms_ts_decode_deliver_report_ack,000126dc,12,0,Y
wms_ts_decode_deliver_report_error,000126e8,12,0,Y
wms_ts_decode_submit,000126f4,12,0,Y
wms_ts_decode_submit_report_ack,00012700,12,0,Y
wms_ts_decode_submit_report_error,0001270c,12,0,Y
wms_ts_decode_status_report,00012718,12,0,Y
wms_ts_decode_command,00012724,12,0,Y
wms_ts_decode_sc_address,00012730,12,0,Y
wms_ts_encode_sc_address,0001273c,12,0,Y
wms_ts_cdma_encode_address,00012748,12,0,Y
wms_ts_cdma_encode_subaddress,00012754,12,0,Y
wms_ts_cdma_decode_address,00012760,12,0,Y
wms_ts_cdma_decode_subaddress,0001276c,12,0,Y
raise,00012778,12,1,Y
call_weak_fn,00012788,40,0,Y
deregister_tm_clones,000127ac,26,0,Y
register_tm_clones,000127d8,36,0,Y
__do_global_dtors_aux,0001280c,48,0,Y
frame_dummy,00012850,2,0,Y
IsBigEndian,00012854,108,0,Y
SWAP16,000128cc,108,0,Y
dayofweek,00012938,244,0,Y
IsConfiguredForGsm,00012a38,80,0,Y
IsConfiguredForIS637,00012a90,52,0,Y
SmsMsgDataToSmsMsgDataEx,00012ac8,840,0,Y
SmsMsgDataExToSmsMsgData,00012e14,840,0,Y
GetMessageProperties,00013160,1308,0,Y
SetMessageFormat,00013684,56,0,Y
GetEmailSubjectStartDelimiter,000136c0,184,0,Y
GetEmailSubjectEndDelimiter,00013780,184,0,Y
GetEmailEmptySubjectDelimieter,00013840,184,0,Y
GetStatusCode,00013900,52,0,Y
EncodeSmsEx,00013934,1104,0,Y
EncodeSms,00013d84,892,0,Y
DecodeSms,00014104,1342,0,Y
FUN_00014159,00014159,1,0,Y
FUN_00014409,00014409,1,0,Y
DecodeSmsEx,00014644,1408,0,Y
GetMessageMetrics,00014bc4,1360,0,Y
nvtl_smsenc_init,00015114,20,0,Y
nvtl_smsenc_fini,00015128,24,0,Y
initializer,00015140,20,0,Y
finalizer,00015154,20,0,Y
SmsGetMessageProperties,00015168,40,0,Y
SmsSetMessageFormat,00015190,48,0,Y
SmsEncodeMessage,000151c0,56,0,Y
SmsDecodeMessage,000151f8,80,0,Y
SmsEncodeMessageEx,00015248,56,0,Y
SmsDecodeMessageEx,00015280,80,0,Y
SmsGetMessageMetrics,000152d0,72,0,Y
UnicodeToAscii,00015318,164,0,Y
UnicodeToLatin1,000153c4,164,0,Y
AsciiToUnicode,00015470,164,0,Y
Latin1ToUnicode,0001551c,164,0,Y
uasmsu_ascii2dtmf,000155c8,344,0,Y
dtmf2uasmsu_ascii,00015720,300,0,Y
nvtl_ascii2addr,0001584c,400,0,Y
nvtl_addr2ascii,000159dc,324,0,Y
check7bitascii,00015b20,128,0,Y
hex2ascii,00015ba0,144,0,Y
ascii2hex,00015c34,216,0,Y
ascii2hex_int,00015d10,148,0,Y
byteswap,00015da8,196,0,Y
PDU_Encode_Sms,00015e6c,3956,0,Y
local_log,00016de8,88,0,Y
PDU_Decode_Sms,00016e4c,828,0,Y
PDU_Decode_Sms_Deliver,00017190,1824,0,Y
PDU_Decode_Sms_Submit,000178c0,2264,0,Y
is_big_endian,000181a8,108,0,Y
SWP32,00018220,116,0,Y
get_new_transaction_id,00018294,84,0,Y
b_packb,000182f4,812,0,Y
b_packw,00018620,720,0,Y
b_unpackb,000188f0,540,0,Y
b_unpackw,00018b0c,656,0,Y
wms_ts_pack_ascii,00018d9c,308,0,Y
wms_ts_unpack_ascii,00018ed0,232,0,Y
CDMA_Decode_BearerData,00018fb8,5504,0,Y
Encode_Address,0001a544,600,0,Y
Encode_MessageId,0001a79c,336,0,Y
Encode_UserData,0001a8ec,1268,0,Y
Encode_Validity,0001ade4,1264,0,Y
Encode_Priority,0001b2d4,404,0,Y
Encode_ReplyOption,0001b470,316,0,Y
Encode_Callback,0001b5ac,840,0,Y
CDMA_Encode_Message,0001b8f4,1372,0,Y
CDMA_Decode_Message,0001be50,428,0,Y
CDMA_Decode_Sent_Message,0001bffc,1228,0,Y
CDMA_Decode_Ack,0001c4c8,232,0,Y
CDMA_Decode_MsgId,0001c5b0,184,0,Y
CDMA_Encode_Message_IS637,0001c668,224,0,Y
CDMA_Decode_Message_IS637,0001c748,312,0,Y
WMSTS_Init,0001c880,20,0,Y
comp_ucs2_to_gsm_item,0001c894,120,0,Y
wms_ts_build_ucs2_to_gsm_table,0001c90c,196,0,Y
wms_ts_is_gsm_char,0001c9e8,152,0,Y
wms_ts_is_extended_gsm_char,0001ca8c,164,0,Y
wms_ts_ucs2_to_gsm,0001cb3c,508,0,Y
wms_ts_default_gsm_to_ucs2,0001cd38,380,0,Y
wms_ts_ascii_to_default,0001cebc,136,0,Y
wms_ts_default_to_ascii,0001cf48,136,0,Y
wms_ts_bcd_to_ascii,0001cfd4,288,0,Y
wms_ts_ascii_to_bcd,0001d0f4,208,0,Y
wms_ts_encode_address,0001d1c4,492,0,Y
wms_ts_encode_sc_address,0001d3b0,104,0,Y
wms_ts_decode_address,0001d418,356,0,Y
wms_ts_decode_sc_address,0001d57c,224,0,Y
wms_ts_pack_gw_7_bit_chars,0001d65c,392,0,Y
wms_ts_unpack_gw_7_bit_chars,0001d7e4,480,0,Y
wms_ts_encode_dcs,0001d9c4,748,0,Y
wms_ts_encode_timestamp,0001dcb0,1856,0,Y
wms_ts_encode_udh_concat_8,0001e3f4,336,0,Y
wms_ts_encode_udh_special_sm,0001e560,276,0,Y
wms_ts_encode_udh_concat16,0001e680,368,0,Y
wms_ts_encode_user_data_header,0001e80c,388,0,Y
wms_ts_encode_gw_user_data,0001e998,828,0,Y
wms_ts_encode_gw_validity,0001ecd8,184,0,Y
wms_ts_encode_deliver,0001ed90,720,0,Y
wms_ts_encode_submit,0001f060,852,0,Y
wms_ts_encode,0001f3b4,216,0,Y
wms_ts_decode_dcs,0001f48c,744,0,Y
wms_ts_decode_timestamp,0001f774,1072,0,Y
wms_ts_decode_udh_concat_8,0001fba4,352,0,Y
wms_ts_decode_udh_special_sm,0001fd14,308,0,Y
wms_ts_decode_udh_concat16,0001fe5c,460,0,Y
wms_ts_decode_user_data_header,00020040,748,0,Y
wms_ts_decode_gw_user_data,0002033c,672,0,Y
wms_ts_decode_gw_validity,000205e0,208,0,Y
wms_ts_decode_deliver,000206b0,624,0,Y
wms_ts_decode_deliver_report_ack,00020924,424,0,Y
wms_ts_decode_deliver_report_error,00020ad0,464,0,Y
wms_ts_decode_status_report,00020ca4,872,0,Y
wms_ts_decode_command,00021010,480,0,Y
wms_ts_decode_submit,000211f4,640,0,Y
wms_ts_decode_submit_report_ack,00021478,476,0,Y
wms_ts_decode_submit_report_error,00021658,516,0,Y
wms_ts_decode,00021860,408,0,Y
wms_ts_decode_smsp,000219f8,744,0,Y
wms_ts_encode_smsp,00021ce0,580,0,Y
wms_ts_decode_relative_time,00021f24,652,0,Y
wms_ts_encode_relative_time,000221b8,392,0,Y
wms_ts_pack_gw_user_data,0002234c,672,0,Y
wms_ts_cdma_encode_address,000225f0,584,0,Y
wms_ts_cdma_encode_subaddress,00022838,416,0,Y
wms_ts_encode_CDMA_tl,000229d8,2348,0,Y
wms_ts_cdma_decode_address,00023304,640,0,Y
wms_ts_cdma_decode_subaddress,00023584,504,0,Y
wms_ts_decode_CDMA_tl,0002377c,2520,0,Y
__aeabi_idiv,00024158,24,0,Y
.divsi3_skip_div0_test,0002415e,108,0,Y
__aeabi_idivmod,000243ec,26,0,Y
__aeabi_idiv0,00024408,12,0,Y
_fini,00024414,8,0,Y
__gmon_start__,00027000,1,0,Y
_ITM_deregisterTMCloneTable,00027004,1,0,Y
_ITM_registerTMCloneTable,00027008,1,0,Y
__cxa_finalize,0002700c,1,0,Y
memcpy,00027010,1,3,Y
strncpy,00027014,1,3,Y
time,00027018,1,1,Y
localtime,0002701c,1,1,Y
strlen,00027020,1,1,Y
calloc,00027024,1,2,Y
free,00027028,1,1,Y
memset,0002702c,1,3,Y
libiconv_open,00027030,1,0,Y
libiconv,00027034,1,0,Y
libiconv_close,00027038,1,0,Y
sprintf,0002703c,1,2,Y
__isoc99_sscanf,00027040,1,0,Y
mifi_dbg_get_level_name,00027044,1,0,Y
mifi_dbg_log,00027048,1,0,Y
malloc,0002704c,1,1,Y
qsort,00027050,1,4,Y
bsearch,00027054,1,5,Y
raise,00027058,1,1,Y
