name,entry,size,num_params,has_body
_DT_INIT,000103c8,12,0,Y
__cxa_finalize,000103f4,12,0,Y
FUN_00010400,00010400,40,0,Y
FUN_00010424,00010424,26,0,Y
FUN_00010450,00010450,36,0,Y
_FINI_0,00010484,48,0,Y
_INIT_0,000104c8,2,0,Y
thermal_monitor_on,000104cc,44,0,Y
thermal_monitor_off,000104f8,28,0,Y
thermal_monitor_get_error_string,00010514,120,0,Y
_DT_FINI,000105a4,8,0,Y
__gmon_start__,00013000,1,0,Y
__cxa_finalize,00013004,1,0,Y
_ITM_deregisterTMCloneTable,00013008,1,0,Y
_ITM_registerTMCloneTable,0001300c,1,0,Y
