name,entry,size,num_params,has_body
_DT_INIT,00010c80,12,0,Y
__cxa_finalize,00010cac,12,0,Y
msgq_does_queue_exist,00010cb8,12,0,Y
mifi_dbg_get_level_name,00010cc4,12,0,Y
mifi_dbg_syslog,00010cd0,12,0,Y
mifi_dbg_log,00010cdc,12,0,Y
memset,00010ce8,12,3,Y
msgq_send_sync,00010cf4,12,0,Y
memcpy,00010d00,12,3,Y
msgq_send_async,00010d0c,12,0,Y
settings_get_features,00010d18,12,0,Y
settings_get_setting,00010d24,12,0,Y
settings_set_setting,00010d30,12,0,Y
xmldata_getint32_default,00010d3c,12,0,Y
xmldata_setint32,00010d48,12,0,Y
xmldata_save,00010d54,12,0,Y
MsgBusSetInt32,00010d60,12,0,Y
usb_send_factory_reset_ind,00010d6c,12,0,Y
FUN_00010d78,00010d78,40,0,Y
FUN_00010d9c,00010d9c,26,0,Y
FUN_00010dc8,00010dc8,36,0,Y
_FINI_0,00010dfc,48,0,Y
_INIT_0,00010e40,2,0,Y
FUN_00010e44,00010e44,152,0,Y
usb_is_running,00010ef8,56,0,Y
usb_get_config,00010f38,476,0,Y
usb_get_state,0001116c,476,0,Y
usb_start,000113a0,476,0,Y
usb_stop,000115d4,304,0,Y
usb_restart,0001173c,304,0,Y
usb_get_usb_tethering_feature,000118a4,488,0,Y
usb_get_tether_enabled,00011ae4,352,0,Y
usb_set_tether_enabled,00011c84,968,0,Y
usb_set_tether_enabled_temp,0001210c,456,0,Y
usb_mode_switch,0001232c,460,0,Y
usb_get_error_string,00012550,436,0,Y
convert_start_mode,00012760,128,0,Y
convert_nwif_mode,000127f4,108,0,Y
convert_mode_switch,00012870,124,0,Y
convert_default_mode,00012900,100,0,Y
convert_temp_tether,00012970,96,0,Y
usb_send_factory_reset_ind,000129dc,304,0,Y
usb_update_bridge,00012b44,316,0,Y
usb_handle_dsm_usb_detect_event,00012cb8,316,0,Y
usb_handle_dsm_usb_state_event,00012e2c,316,0,Y
FUN_00012fa0,00012fa0,136,0,Y
FUN_00013034,00013034,204,0,Y
initialize_settings,00013114,96,0,Y
usb_factory_reset_impl,00013184,400,0,Y
initialize_factory_reset_func,00013368,68,0,Y
_DT_FINI,000133b4,8,0,Y
__gmon_start__,00016000,1,0,Y
_ITM_deregisterTMCloneTable,00016004,1,0,Y
_ITM_registerTMCloneTable,00016008,1,0,Y
__cxa_finalize,0001600c,1,0,Y
msgq_does_queue_exist,00016010,1,0,Y
mifi_dbg_get_level_name,00016014,1,0,Y
mifi_dbg_syslog,00016018,1,0,Y
mifi_dbg_log,0001601c,1,0,Y
memset,00016020,1,3,Y
msgq_send_sync,00016024,1,0,Y
memcpy,00016028,1,3,Y
msgq_send_async,0001602c,1,0,Y
settings_get_features,00016030,1,0,Y
settings_get_setting,00016034,1,0,Y
settings_set_setting,00016038,1,0,Y
xmldata_getint32_default,0001603c,1,0,Y
xmldata_setint32,00016040,1,0,Y
xmldata_save,00016044,1,0,Y
MsgBusSetInt32,00016048,1,0,Y
