name,entry,size,num_params,has_body
_init,0001144c,12,1,Y
__cxa_finalize,00011478,12,0,Y
mifi_dbg_get_level_name,00011484,12,0,Y
mifi_dbg_log,00011490,12,0,Y
memset,0001149c,12,3,Y
settings_set_setting,000114a8,12,0,Y
msgq_does_queue_exist,000114b4,12,0,Y
msgq_send_async,000114c0,12,0,Y
memcpy,000114cc,12,3,Y
settings_get_setting,000114d8,12,0,Y
mifi_dbg_syslog,000114e4,12,0,Y
msgq_send_sync,000114f0,12,0,Y
xmldata_getint32,000114fc,12,0,Y
xmldata_setint32,00011508,12,0,Y
xmldata_save,00011514,12,0,Y
MsgBusSetInt32,00011520,12,0,Y
xmldata_getstring,0001152c,12,0,Y
xmldata_setstring,00011538,12,0,Y
sprintf,00011544,12,2,Y
strlen,00011550,12,1,Y
AesDecrypt,0001155c,12,0,Y
snprintf,00011568,12,3,Y
free,00011574,12,1,Y
AesEncrypt,00011580,12,0,Y
vpn_factory_reset,0001158c,12,0,Y
call_weak_fn,00011598,40,0,Y
deregister_tm_clones,000115bc,26,0,Y
register_tm_clones,000115e8,36,0,Y
__do_global_dtors_aux,0001161c,48,0,Y
frame_dummy,00011660,2,0,Y
vpn_get_error_string,00011664,448,0,Y
vpn_clear_openvpn_cfg_settings,00011880,292,0,Y
vpn_clear_ipsec_cfg_settings,000119c8,476,0,Y
vpn_clear_wguard_cfg_settings,00011bd0,472,0,Y
vpn_clear_all_settings,00011dd4,548,0,Y
vpn_is_running,00012034,56,0,Y
vpn_get_auto_connect_enabled,00012074,436,0,Y
vpn_set_auto_connect_enabled,00012274,704,0,Y
vpn_get_settings,0001259c,548,0,Y
vpn_set_settings,00012828,1144,0,Y
connect_vpn,00012d50,396,0,Y
disconnect_vpn,00012efc,396,0,Y
vpn_get_pptp_settings,000130a8,548,0,Y
vpn_set_pptp_settings,00013334,1384,0,Y
vpn_get_openvpn_settings,00013984,548,0,Y
vpn_set_openvpn_settings,00013c14,1728,0,Y
vpn_get_l2tp_settings,000143f8,548,0,Y
vpn_set_l2tp_settings,00014684,1320,0,Y
vpn_get_ipsec_vpn_enabled,00014c94,436,0,Y
vpn_set_ipsec_vpn_enabled,00014e94,688,0,Y
vpn_get_ipsec_settings,000151b0,548,0,Y
vpn_get_wguard_vpn_enabled,00015440,436,0,Y
vpn_set_wguard_vpn_enabled,00015640,688,0,Y
vpn_get_wguard_settings,0001595c,548,0,Y
vpn_set_ipsec_settings,00015bec,3540,0,Y
vpn_set_wguard_settings,00016bfc,2916,0,Y
vpn_get_connection_statistics,00017948,536,0,Y
vpn_update_wan_connection_status,00017b90,492,0,Y
vpn_update_connected_clients_count,00017da4,260,0,Y
vpn_factory_reset,00017ec8,220,0,Y
vpn_mon_add_service,00017fc4,304,0,Y
vpn_mon_list_services,00018120,220,0,Y
vpn_validate_openvpn_config_file_settings,00018218,464,0,Y
vpn_get_openvpn_config_file_settings,00018428,548,0,Y
vpn_set_openvpn_config_file_settings,000186b4,1480,0,Y
vpn_get_auto_connect_enabled_setting,00018d80,260,0,Y
vpn_set_auto_connect_enabled_setting,00018eb8,436,0,Y
vpn_get_setting,000190b4,580,0,Y
vpn_set_setting,0001935c,824,0,Y
vpn_get_pptp_setting,0001970c,364,0,Y
vpn_set_pptp_setting,000198b8,540,0,Y
vpn_get_openvpn_setting,00019b28,624,0,Y
vpn_set_openvpn_setting,00019df8,908,0,Y
vpn_get_openvpn_config_file_setting,0001a1fc,372,0,Y
vpn_set_openvpn_config_file_setting,0001a3b0,532,0,Y
vpn_get_l2tp_setting,0001a618,368,0,Y
vpn_set_l2tp_setting,0001a7c8,540,0,Y
vpn_get_ipsec_vpn_enabled_setting,0001aa38,260,0,Y
vpn_set_ipsec_vpn_enabled_setting,0001ab70,436,0,Y
vpn_get_ipsec_setting,0001ad6c,3684,0,Y
vpn_get_wguard_vpn_enabled_setting,0001bd34,260,0,Y
vpn_set_wguard_vpn_enabled_setting,0001be6c,436,0,Y
vpn_get_wguard_setting,0001c068,1868,0,Y
vpn_set_ipsec_setting,0001c848,3788,0,Y
vpn_set_wguard_setting,0001d838,1900,0,Y
initialize_settings,0001e050,608,0,Y
vpn_factory_reset_impl,0001e354,284,0,Y
initialize_factory_reset_func,0001e4a8,68,0,Y
_fini,0001e4f4,8,0,Y
__gmon_start__,00024000,1,0,Y
_ITM_deregisterTMCloneTable,00024004,1,0,Y
_ITM_registerTMCloneTable,00024008,1,0,Y
__cxa_finalize,0002400c,1,0,Y
mifi_dbg_get_level_name,00024010,1,0,Y
mifi_dbg_log,00024014,1,0,Y
memset,00024018,1,3,Y
settings_set_setting,0002401c,1,0,Y
msgq_does_queue_exist,00024020,1,0,Y
sprintf,00024024,1,2,Y
msgq_send_async,00024028,1,0,Y
memcpy,0002402c,1,3,Y
snprintf,00024030,1,3,Y
free,00024034,1,1,Y
strlen,00024038,1,1,Y
settings_get_setting,0002403c,1,0,Y
mifi_dbg_syslog,00024040,1,0,Y
msgq_send_sync,00024044,1,0,Y
xmldata_getint32,00024048,1,0,Y
xmldata_setint32,0002404c,1,0,Y
xmldata_save,00024050,1,0,Y
MsgBusSetInt32,00024054,1,0,Y
xmldata_getstring,00024058,1,0,Y
xmldata_setstring,0002405c,1,0,Y
AesDecrypt,00024060,1,0,Y
AesEncrypt,00024064,1,0,Y
