name,entry,size,num_params,has_body
_init,00011348,12,1,Y
__cxa_finalize,00011374,12,0,Y
mifi_dbg_get_level_name,00011380,12,0,Y
mifi_dbg_log,0001138c,12,0,Y
wan_mgr_send_status,00011398,12,1,Y
__ctype_b_loc,000113a4,12,0,Y
msgq_does_queue_exist,000113b0,12,0,Y
memset,000113bc,12,3,Y
msgq_send_async,000113c8,12,0,Y
wan_mgr_get_wan_priorities_settings,000113d4,12,1,Y
wan_mgr_get_supported_wan_count,000113e0,12,1,Y
router2_utils_get_wan_type_str,000113ec,12,0,Y
wan_mgr_get_auto_switch,000113f8,12,1,Y
settings_set_setting,00011404,12,0,Y
settings_get_setting,00011410,12,0,Y
mifi_dbg_syslog,0001141c,12,0,Y
msgq_send_sync,00011428,12,0,Y
wan_mgr_is_valid_hostname,00011434,12,1,Y
memcpy,00011440,12,3,Y
validate_wan_priority_list,0001144c,12,2,Y
MsgBusSetBinary,00011458,12,0,Y
wan_mgr_state_str,00011464,12,1,Y
wan_mgr_disconnect_reason_str,00011470,12,1,Y
xmldata_getint32,0001147c,12,0,Y
sprintf,00011488,12,2,Y
xmldata_setint32,00011494,12,0,Y
xmldata_save,000114a0,12,0,Y
MsgBusSetInt32,000114ac,12,0,Y
xmldata_getstring,000114b8,12,0,Y
xmldata_setstring,000114c4,12,0,Y
call_weak_fn,000114d0,40,0,Y
deregister_tm_clones,000114f4,26,0,Y
register_tm_clones,00011520,36,0,Y
__do_global_dtors_aux,00011554,48,0,Y
frame_dummy,00011598,2,0,Y
wan_mgr_state_str,0001159c,136,1,Y
wan_mgr_disconnect_reason_str,0001163c,168,1,Y
wan_mgr_get_error_string,00011704,340,1,Y
wan_mgr_send_status_validation,0001188c,320,1,Y
wan_mgr_is_valid_hostname,00011a00,424,1,Y
validate_wan_priority_list,00011ba8,480,2,Y
wan_mgr_log_internal_config,00011d88,192,0,Y
wan_mgr_api_is_running,00011e60,124,0,Y
wan_mgr_set_manual_wan,00011ef0,1064,1,Y
wan_mgr_get_manual_wan,00012388,436,1,Y
wan_mgr_get_wan_telemetry_info_list,00012578,1492,1,Y
wan_mgr_set_wan_monitor_settings,00012b84,1068,1,Y
wan_mgr_get_wan_monitor_settings,00013030,436,1,Y
wan_mgr_get_auto_switch,00013220,436,1,Y
wan_mgr_set_auto_switch,00013410,504,1,Y
wan_mgr_get_no_con_timeout,0001363c,436,1,Y
wan_mgr_set_no_con_timeout,0001382c,504,1,Y
wan_mgr_set_wan_priorities,00013a58,880,1,Y
wan_mgr_get_wan_priorities_settings,00013e14,436,1,Y
wan_mgr_set_failback_settings,00014004,628,1,Y
wan_mgr_get_failback_settings,000142b8,436,1,Y
wan_mgr_register_wan,000144a8,220,1,Y
wan_mgr_deregister_wan,0001459c,228,3,Y
wan_mon_send_wan_state_not_avail,00014698,200,1,Y
wan_mgr_get_supported_wan_count,00014778,436,1,Y
wan_mgr_send_status,00014968,332,1,Y
wan_mon_register_deregister_wan,00014ad4,344,1,Y
wan_mon_send_wan_state_online,00014c68,200,1,Y
wan_mgr_get_wan_priority_list_settings,00014d48,432,2,Y
wan_mgr_set_wan_priority_list_settings,00014f28,572,2,Y
wan_mgr_get_wan_failback_settings,000151b0,252,2,Y
wan_mgr_set_wan_failback_settings,000152d8,368,2,Y
wan_mgr_get_supported_wan_count_settings,0001548c,204,2,Y
wan_mgr_get_auto_switch_settings,00015580,204,2,Y
wan_mgr_set_auto_switch_settings,00015674,344,2,Y
wan_mgr_get_wan_monitor_settings_settings,0001580c,400,2,Y
wan_mgr_set_wan_monitor_properties_settings,000159d4,564,2,Y
wan_mgr_get_manual_wan_settings,00015c68,160,2,Y
wan_mgr_set_manual_wan_settings,00015d20,344,2,Y
wan_mgr_get_no_con_timeout_settings,00015eb8,160,2,Y
wan_mgr_set_no_con_timeout_settings,00015f70,312,2,Y
initialize_settings,000160e4,412,1,Y
_fini,000162ec,8,0,Y
__gmon_start__,0001a000,1,0,Y
_ITM_deregisterTMCloneTable,0001a004,1,0,Y
_ITM_registerTMCloneTable,0001a008,1,0,Y
__cxa_finalize,0001a00c,1,0,Y
mifi_dbg_get_level_name,0001a010,1,0,Y
mifi_dbg_log,0001a014,1,0,Y
__ctype_b_loc,0001a018,1,0,Y
msgq_does_queue_exist,0001a01c,1,0,Y
memset,0001a020,1,3,Y
msgq_send_async,0001a024,1,0,Y
router2_utils_get_wan_type_str,0001a028,1,0,Y
settings_set_setting,0001a02c,1,0,Y
settings_get_setting,0001a030,1,0,Y
mifi_dbg_syslog,0001a034,1,0,Y
msgq_send_sync,0001a038,1,0,Y
memcpy,0001a03c,1,3,Y
MsgBusSetBinary,0001a040,1,0,Y
xmldata_getint32,0001a044,1,0,Y
sprintf,0001a048,1,2,Y
xmldata_setint32,0001a04c,1,0,Y
xmldata_save,0001a050,1,0,Y
MsgBusSetInt32,0001a054,1,0,Y
xmldata_getstring,0001a058,1,0,Y
xmldata_setstring,0001a05c,1,0,Y
