name,entry,size,num_params,has_body
_init,000109ac,12,1,Y
__cxa_finalize,000109d8,12,0,Y
msgq_does_queue_exist,000109e4,12,0,Y
strlen,000109f0,12,1,Y
memset,000109fc,12,3,Y
strcpy,00010a08,12,2,Y
msgq_send_async,00010a14,12,0,Y
dlopen,00010a20,12,0,Y
dlsym,00010a2c,12,0,Y
dlerror,00010a38,12,0,Y
mifi_dbg_get_level_name,00010a44,12,0,Y
mifi_dbg_syslog,00010a50,12,0,Y
mifi_dbg_log,00010a5c,12,0,Y
dlclose,00010a68,12,0,Y
msgq_send_sync_large_payload,00010a74,12,0,Y
xmldata_getuint32_default,00010a80,12,0,Y
xmldata_getint32_default,00010a8c,12,0,Y
xmldata_setuint32,00010a98,12,0,Y
xmldata_setint32,00010aa4,12,0,Y
xmldata_save,00010ab0,12,0,Y
call_weak_fn,00010abc,40,0,Y
deregister_tm_clones,00010ae0,26,0,Y
register_tm_clones,00010b0c,36,0,Y
__do_global_dtors_aux,00010b40,48,0,Y
frame_dummy,00010b84,2,0,Y
watchdog_is_running,00010b88,36,0,Y
watchdog_application_register,00010bb4,176,0,Y
watchdog_application_send_keep_alive,00010c70,160,0,Y
watchdog_get_settings,00010d1c,536,0,Y
watchdog_set_settings,00010f78,616,0,Y
watchdog_suspend,00011228,92,0,Y
watchdog_resume,0001128c,92,0,Y
watchdog_get_error_string,000112f0,128,0,Y
watchdog_get_app_list,0001138c,144,0,Y
watchdog_get_settings_impl,0001142c,104,0,Y
watchdog_set_settings_impl,000114a4,120,0,Y
initialize_settings,00011534,76,0,Y
_fini,00011590,8,0,Y
__gmon_start__,00014000,1,0,Y
_ITM_deregisterTMCloneTable,00014004,1,0,Y
_ITM_registerTMCloneTable,00014008,1,0,Y
__cxa_finalize,0001400c,1,0,Y
msgq_does_queue_exist,00014010,1,0,Y
strlen,00014014,1,1,Y
memset,00014018,1,3,Y
strcpy,0001401c,1,2,Y
msgq_send_async,00014020,1,0,Y
dlopen,00014024,1,0,Y
dlsym,00014028,1,0,Y
dlerror,0001402c,1,0,Y
mifi_dbg_get_level_name,00014030,1,0,Y
mifi_dbg_syslog,00014034,1,0,Y
mifi_dbg_log,00014038,1,0,Y
dlclose,0001403c,1,0,Y
msgq_send_sync_large_payload,00014040,1,0,Y
xmldata_getuint32_default,00014044,1,0,Y
xmldata_getint32_default,00014048,1,0,Y
xmldata_setuint32,0001404c,1,0,Y
xmldata_setint32,00014050,1,0,Y
xmldata_save,00014054,1,0,Y
