name,entry,size,num_params,has_body
_init,00015640,12,1,Y
__cxa_finalize,0001566c,12,0,Y
malloc,00015678,12,1,Y
memset,00015684,12,3,Y
xmlXPathFreeContext,00015690,12,0,Y
xmlFreeDoc,0001569c,12,0,Y
free,000156a8,12,1,Y
xmlCleanupParser,000156b4,12,0,Y
xmlReadFile,000156c0,12,0,Y
xmlXPathNewContext,000156cc,12,0,Y
mifi_dbg_get_level_name,000156d8,12,0,Y
mifi_dbg_syslog,000156e4,12,0,Y
mifi_dbg_log,000156f0,12,0,Y
xml_fini,000156fc,12,0,Y
strlen,00015708,12,1,Y
xmlReadMemory,00015714,12,0,Y
__errno_location,00015720,12,0,Y
strerror,0001572c,12,1,Y
xmlSaveFile,00015738,12,0,Y
xmlXPathEvalExpression,00015744,12,0,Y
xmlXPathFreeObject,00015750,12,0,Y
xmlGetProp,0001575c,12,0,Y
strncpy,00015768,12,3,Y
xmlNodeGetContent,00015774,12,0,Y
calloc,00015780,12,2,Y
strcpy,0001578c,12,2,Y
strchr,00015798,12,2,Y
strdup,000157a4,12,1,Y
strrchr,000157b0,12,2,Y
xml_insert_node,000157bc,12,0,Y
xmlEncodeEntitiesReentrant,000157c8,12,0,Y
xmlNodeSetContent,000157d4,12,0,Y
xmlNewNode,000157e0,12,0,Y
xmlNewProp,000157ec,12,0,Y
xmlDocCopyNode,000157f8,12,0,Y
xmlAddChild,00015804,12,0,Y
xmlUnlinkNode,00015810,12,0,Y
xmlFreeNode,0001581c,12,0,Y
xml_insert_node_with_attr,00015828,12,0,Y
system,00015834,12,1,Y
snprintf,00015840,12,3,Y
xml_exec_cmd,0001584c,12,0,Y
pthread_mutex_lock,00015858,12,1,Y
pthread_mutex_unlock,00015864,12,1,Y
xml_copy_node_value,00015870,12,0,Y
Var_FromString,0001587c,12,0,Y
xml_set_node_value,00015888,12,0,Y
xml_create_node_path_if_possible,00015894,12,0,Y
Var_ToString,000158a0,12,0,Y
pthread_mutex_init,000158ac,12,2,Y
xmldata_cache_initialize,000158b8,12,0,Y
xmldata_open,000158c4,12,0,Y
fflush,000158d0,12,1,Y
pthread_mutex_destroy,000158dc,12,1,Y
xml_init,000158e8,12,0,Y
xml_read_memory,000158f4,12,0,Y
xml_validate_file,00015900,12,0,Y
xml_load_document,0001590c,12,0,Y
xml_is_loaded,00015918,12,0,Y
xml_save_document,00015924,12,0,Y
xmldata_save,00015930,12,0,Y
xmldata_cache_shutdown,0001593c,12,0,Y
xmldata_close,00015948,12,0,Y
xml_backup_file,00015954,12,0,Y
file_sync,00015960,12,0,Y
xml_calculate_checksum_file,0001596c,12,0,Y
Var_InitInt32,00015978,12,0,Y
xmldata_getvar,00015984,12,0,Y
Var_InitUint32,00015990,12,0,Y
Var_InitInt64,0001599c,12,0,Y
