name,entry,size,num_params,has_body
_DT_INIT,0001987c,12,0,Y
__libc_start_main,0001989c,12,0,Y
abort,000198a8,12,0,Y
__cxa_finalize,000198c0,12,0,Y
strlen,000198cc,12,1,Y
libiconv_open,000198d8,12,0,Y
libiconv,000198e4,12,0,Y
libiconv_close,000198f0,12,0,Y
printf,000198fc,12,1,Y
puts,00019908,12,1,Y
memset,00019914,12,3,Y
fgets,00019920,12,3,Y
atoi,0001992c,12,1,Y
sys_getGPSDeviceId,00019938,12,0,Y
scanf,00019944,12,1,Y
sys_setGPSDeviceId,00019950,12,0,Y
sys_getGPSLocalNMEA,0001995c,12,0,Y
sys_setGPSLocalNMEA,00019968,12,0,Y
sys_getGPSRemoteNMEA,00019974,12,0,Y
sys_setGPSRemoteNMEA,00019980,12,0,Y
sys_getSambaStatus,0001998c,12,0,Y
sys_getSDCardInfo,00019998,12,0,Y
sys_getSambaSettings,000199a4,12,0,Y
sys_getSambaShareInfo,000199b0,12,0,Y
sys_setSambaSettings,000199bc,12,0,Y
sys_getSambaFolderSettings,000199c8,12,0,Y
calloc,000199d4,12,2,Y
free,000199e0,12,1,Y
getchar,000199ec,12,0,Y
strncpy,000199f8,12,3,Y
sys_setSambaFolderSettings,00019a04,12,0,Y
sys_getSambaHostname,00019a10,12,0,Y
sys_setSambaHostname,00019a1c,12,0,Y
sys_startSamba,00019a28,12,0,Y
sys_stopSamba,00019a34,12,0,Y
sys_mountSambaShare,00019a40,12,0,Y
sys_unmountSambaShare,00019a4c,12,0,Y
sys_getGPSStatus,00019a58,12,0,Y
sys_getGPSFixData,00019a64,12,0,Y
sys_getNMEAOverWiFiSettings,00019a70,12,0,Y
sys_setNMEAOverWiFiSettings,00019a7c,12,0,Y
sys_setDisplayState,00019a88,12,0,Y
sys_rebootSystem,00019a94,12,0,Y
sys_shutdownSystem,00019aa0,12,0,Y
sys_sendSafeShutdownAcknowledgement,00019aac,12,0,Y
sys_restoreFactoryDefaults,00019ab8,12,0,Y
sys_createBackupConfigFile,00019ac4,12,0,Y
sys_restoreBackupConfigFile,00019ad0,12,0,Y
sys_getWatchdogInterval,00019adc,12,0,Y
sys_setWatchdogInterval,00019ae8,12,0,Y
sys_getWebuiURL,00019af4,12,0,Y
sys_setWebuiURL,00019b00,12,0,Y
sys_getRadioEnableConfiguration,00019b0c,12,0,Y
sys_getNetworkTime,00019b18,12,0,Y
gmtime,00019b24,12,1,Y
asctime,00019b30,12,1,Y
strcpy,00019b3c,12,2,Y
sys_getNetworkTimeZoneAndDst,00019b48,12,0,Y
sys_watchdogApplicationRegister,00019b54,12,0,Y
sys_watchdogApplicationKeepAlive,00019b60,12,0,Y
sys_setCurrentUSBTetheringOperation,00019b6c,12,0,Y
sys_getLANSettings,00019b78,12,0,Y
snprintf,00019b84,12,3,Y
sys_setLANSettings,00019b90,12,0,Y
sys_getDMZSettings,00019b9c,12,0,Y
sys_setDMZSettings,00019ba8,12,0,Y
sys_getLanMTU,00019bb4,12,0,Y
sys_setLanMTU,00019bc0,12,0,Y
sys_getDHCPReservedAddrList,00019bcc,12,0,Y
sys_setDHCPReservedAddrList,00019bd8,12,0,Y
sys_getCurrentEthernetMACAddress,00019be4,12,0,Y
emd_get_error_string,00019bf0,12,0,Y
sys_getManualDNSSettings,00019bfc,12,0,Y
sys_setManualDNSSettings,00019c08,12,0,Y
sys_getGatewaysettings,00019c14,12,0,Y
sys_setGatewaysettings,00019c20,12,0,Y
sys_getIPPassthroughSettings,00019c2c,12,0,Y
sys_setIPPassthroughSettings,00019c38,12,0,Y
sys_getCurrentDNS,00019c44,12,0,Y
sys_getCurrentIPv6DNS,00019c50,12,0,Y
sys_getConnectedDeviceList,00019c5c,12,0,Y
sys_getMacFromIP,00019c68,12,0,Y
sys_setDeviceType,00019c74,12,0,Y
sys_setDeviceReservedIp,00019c80,12,0,Y
sys_setDeviceName,00019c8c,12,0,Y
sys_getDeviceType,00019c98,12,0,Y
sys_getDeviceName,00019ca4,12,0,Y
sys_getDeviceReservedIp,00019cb0,12,0,Y
sys_getAllDevicesList,00019cbc,12,0,Y
sys_getMacFilterList,00019cc8,12,0,Y
sys_setMacFilterList,00019cd4,12,0,Y
sys_getPortForwardingApplicationList,00019ce0,12,0,Y
sys_setPortForwardingApplicationList,00019cec,12,0,Y
sys_getPortFilteringApplicationList,00019cf8,12,0,Y
sys_setPortFilteringApplicationList,00019d04,12,0,Y
sys_addWhiteListDevice,00019d10,12,0,Y
sys_blockDevice,00019d1c,12,0,Y
sys_deleteWhiteListDevice,00019d28,12,0,Y
sys_deleteKnownDevice,00019d34,12,0,Y
sys_unblockDevice,00019d40,12,0,Y
sys_resolveHostName,00019d4c,12,0,Y
sys_getSessionLogStats,00019d58,12,0,Y
sys_getMacSessionLogStats,00019d64,12,0,Y
sys_getConnectedDeviceUsageForUpload,00019d70,12,0,Y
sys_prepareConnectedDeviceUsageUpload,00019d7c,12,0,Y
sys_completeConnectedDeviceUsageUpload,00019d88,12,0,Y
sys_disableConnectedDeviceUsageUploadPermanently,00019d94,12,0,Y
sys_getMaxWiFiClientsAllowed,00019da0,12,0,Y
sys_getWiFiPrimaryProfile,00019dac,12,0,Y
sys_setWiFiPrimaryProfile,00019db8,12,0,Y
sys_getWiFiGuestProfile,00019dc4,12,0,Y
sys_setWiFiGuestProfile,00019dd0,12,0,Y
sys_getWiFiPrimaryProfileEnabled,00019ddc,12,0,Y
sys_setWiFiPrimaryProfileEnabled,00019de8,12,0,Y
sys_getWiFiGuestProfileEnabled,00019df4,12,0,Y
sys_getWiFiActiveProfileType,00019e00,12,0,Y
sys_setWiFiActiveProfileType,00019e0c,12,0,Y
sys_setWiFiGuestProfileEnabled,00019e18,12,0,Y
sys_applyWiFiProfiles,00019e24,12,0,Y
sys_startPrimaryWiFiWpsSession,00019e30,12,0,Y
sys_startGuestWiFiWpsSession,00019e3c,12,0,Y
sys_stopPrimaryWiFiWpsSession,00019e48,12,0,Y
sys_stopGuestWiFiWpsSession,00019e54,12,0,Y
sys_enableWifiWhileTethered,00019e60,12,0,Y
sys_getEnableWifiWhileTethered,00019e6c,12,0,Y
sys_getWiFiMaxClients,00019e78,12,0,Y
sys_setWiFiMaxClients,00019e84,12,0,Y
sys_getSubscriberInfo,00019e90,12,0,Y
sys_getWiFiSettings,00019e9c,12,0,Y
sys_getWiFiChlist24,00019ea8,12,0,Y
sys_getWiFiChlist5,00019eb4,12,0,Y
sys_setWiFiSettings,00019ec0,12,0,Y
sys_getHardwareInfo,00019ecc,12,0,Y
sys_getSystemVersion,00019ed8,12,0,Y
sys_getCellular5GServiceStats,00019ee4,12,0,Y
sys_getCellularNon5GServiceStats,00019ef0,12,0,Y
