name,entry,size,num_params,has_body
_DT_INIT,00011830,12,0,Y
__libc_start_main,00011850,12,0,Y
abort,0001185c,12,0,Y
__cxa_finalize,00011874,12,0,Y
open,00011880,12,2,Y
write,0001188c,12,3,Y
strlen,00011898,12,1,Y
close,000118a4,12,1,Y
clock_gettime,000118b0,12,2,Y
watchdog_application_send_keep_alive,000118bc,12,0,Y
fork,000118c8,12,0,Y
exit,000118d4,12,1,Y
umask,000118e0,12,1,Y
setsid,000118ec,12,0,Y
chdir,000118f8,12,1,Y
dup2,00011904,12,2,Y
MsgBusGet,00011910,12,0,Y
sleep,0001191c,12,1,Y
mifi_dbg_get_level_name,00011928,12,0,Y
mifi_dbg_log,00011934,12,0,Y
mifi_dbg_syslog,00011940,12,0,Y
memset,0001194c,12,3,Y
settings_get_features,00011958,12,0,Y
sprintf,00011964,12,2,Y
popen,00011970,12,2,Y
pclose,0001197c,12,1,Y
fopen,00011988,12,2,Y
fseek,00011994,12,3,Y
__isoc99_fscanf,000119a0,12,0,Y
fclose,000119ac,12,1,Y
fprintf,000119b8,12,2,Y
fread,000119c4,12,4,Y
fflush,000119d0,12,1,Y
ftell,000119dc,12,1,Y
fwrite,000119e8,12,4,Y
strncpy,000119f4,12,3,Y
unlink,00011a00,12,1,Y
sync,00011a0c,12,0,Y
access,00011a18,12,2,Y
nv_system,00011a24,12,0,Y
strcmp,00011a30,12,2,Y
MsgBusSetInt32,00011a3c,12,0,Y
memcpy,00011a48,12,3,Y
msgq_send_sync,00011a54,12,0,Y
wifi_get_error_string,00011a60,12,0,Y
system,00011a6c,12,1,Y
xmldata_initialize,00011a78,12,0,Y
xmldata_getint32,00011a84,12,0,Y
xmldata_getstring,00011a90,12,0,Y
parse_channels_from_list,00011a9c,12,0,Y
xmldata_getcount,00011aa8,12,0,Y
xmldata_shutdown,00011ab4,12,0,Y
file_write_version_string,00011ac0,12,0,Y
mkdir,00011acc,12,2,Y
wifi_get_wlan_settings,00011ad8,12,0,Y
wifi_get_ap_settings,00011ae4,12,0,Y
wifi_get_ap_profile_count,00011af0,12,0,Y
