TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_13:56:22,0,0,75516138,0,0,0,0,0,0,0,0,0,0,81810,0,5837047,0,0,0,0,0,0,44371,0
06/29/2022_13:59:36,0,0,75516308,0,0,0,0,0,0,0,0,0,0,81812,0,5838267,0,0,0,0,0,0,44373,0
06/29/2022_14:15:44,0,0,75516478,0,0,0,0,0,0,0,0,0,0,81814,0,5839487,0,0,0,0,0,0,44375,0
06/29/2022_14:25:25,0,0,75516648,0,0,0,0,0,0,0,0,0,0,81816,0,5839696,0,0,0,0,0,0,44377,0
06/29/2022_14:31:53,0,0,75516818,0,0,0,0,0,0,0,0,0,0,81818,0,5840916,0,0,0,0,0,0,44379,0
06/29/2022_14:44:47,0,0,75516988,0,0,0,0,0,0,0,0,0,0,81820,0,5842136,0,0,0,0,0,0,44381,0
06/29/2022_14:54:28,0,0,75517158,0,0,0,0,0,0,0,0,0,0,81822,0,5842345,0,0,0,0,0,0,44383,0
06/29/2022_15:00:55,0,0,75517328,0,0,0,0,0,0,0,0,0,0,81824,0,5843565,0,0,0,0,0,0,44385,0
06/29/2022_15:13:50,0,0,75517498,0,0,0,0,0,0,0,0,0,0,81826,0,5844785,0,0,0,0,0,0,44387,0
06/29/2022_15:20:17,0,0,75517668,0,0,0,0,0,0,0,0,0,0,81828,0,5844994,0,0,0,0,0,0,44389,0
06/29/2022_15:29:58,0,0,75517838,0,0,0,0,0,0,0,0,0,0,81830,0,5846216,0,0,0,0,0,0,44391,0
06/29/2022_15:46:06,0,0,75518008,0,0,0,0,0,0,0,0,0,0,81832,0,5847436,0,0,0,0,0,0,44393,0
06/29/2022_15:49:20,0,0,75518178,0,0,0,0,0,0,0,0,0,0,81834,0,5847645,0,0,0,0,0,0,44395,0
06/29/2022_15:52:34,0,0,75518322,0,0,0,0,0,0,0,0,0,0,81835,0,5847645,0,0,0,0,0,0,44395,0
06/29/2022_15:59:01,0,0,75518492,0,0,0,0,0,0,0,0,0,0,81837,0,5848865,0,0,0,0,0,0,44397,0
06/29/2022_16:15:09,0,0,75518662,0,0,0,0,0,0,0,0,0,0,81839,0,5850085,0,0,0,0,0,0,44399,0
06/29/2022_16:18:23,0,0,75518832,0,0,0,0,0,0,0,0,0,0,81841,0,5850294,0,0,0,0,0,0,44401,0
06/29/2022_16:31:18,0,0,75519002,0,0,0,0,0,0,0,0,0,0,81843,0,5851515,0,0,0,0,0,0,44403,0
06/29/2022_16:44:12,0,0,75519342,0,0,0,0,0,0,0,0,0,0,81847,0,5852944,0,0,0,0,0,0,44407,0
06/29/2022_17:00:20,0,0,75519512,0,0,0,0,0,0,0,0,0,0,81849,0,5854164,0,0,0,0,0,0,44409,0
06/29/2022_17:13:15,0,0,75519682,0,0,0,0,0,0,0,0,0,0,81851,0,5854373,0,0,0,0,0,0,44411,0
06/29/2022_17:16:29,0,0,75519852,0,0,0,0,0,0,0,0,0,0,81853,0,5855593,0,0,0,0,0,0,44413,0
06/29/2022_17:29:23,0,0,75520022,0,0,0,0,0,0,0,0,0,0,81855,0,5856813,0,0,0,0,0,0,44415,0
06/29/2022_17:42:18,0,0,75520192,0,0,0,0,0,0,0,0,0,0,81857,0,5857022,0,0,0,0,0,0,44417,0
06/29/2022_17:45:31,0,0,75520362,0,0,0,0,0,0,0,0,0,0,81859,0,5858242,0,0,0,0,0,0,44419,0
06/29/2022_18:01:39,0,0,75520532,0,0,0,0,0,0,0,0,0,0,81861,0,5859462,0,0,0,0,0,0,44421,0
06/29/2022_18:08:07,0,0,75520702,0,0,0,0,0,0,0,0,0,0,81863,0,5859671,0,0,0,0,0,0,44423,0
06/29/2022_18:14:34,0,0,75520872,0,0,0,0,0,0,0,0,0,0,81865,0,5860891,0,0,0,0,0,0,44425,0
06/29/2022_18:30:42,0,0,75520970,0,0,0,0,0,0,0,0,0,0,81866,0,5862113,0,0,0,0,0,0,44427,0
06/29/2022_18:37:09,0,0,75521140,0,0,0,0,0,0,0,0,0,0,81868,0,5862322,0,0,0,0,0,0,44429,0
06/29/2022_18:46:50,0,0,75521310,0,0,0,0,0,0,0,0,0,0,81870,0,5863544,0,0,0,0,0,0,44431,0
06/29/2022_18:59:44,0,0,75521480,0,0,0,0,0,0,0,0,0,0,81872,0,5864764,0,0,0,0,0,0,44433,0
06/29/2022_19:06:12,0,0,75521650,0,0,0,0,0,0,0,0,0,0,81874,0,5864973,0,0,0,0,0,0,44435,0
06/29/2022_19:15:53,0,0,75521820,0,0,0,0,0,0,0,0,0,0,81876,0,5866195,0,0,0,0,0,0,44437,0
06/29/2022_19:28:47,0,0,75521990,0,0,0,0,0,0,0,0,0,0,81878,0,5867415,0,0,0,0,0,0,44439,0
06/29/2022_19:32:01,0,0,75522160,0,0,0,0,0,0,0,0,0,0,81880,0,5867624,0,0,0,0,0,0,44441,0
06/29/2022_19:44:56,0,0,75522330,0,0,0,0,0,0,0,0,0,0,81882,0,5868844,0,0,0,0,0,0,44443,0
06/29/2022_20:01:04,0,0,75522670,0,0,0,0,0,0,0,0,0,0,81886,0,5870273,0,0,0,0,0,0,44447,0
06/29/2022_20:13:58,0,0,75522840,0,0,0,0,0,0,0,0,0,0,81888,0,5871493,0,0,0,0,0,0,44449,0
06/29/2022_20:30:07,0,0,75523180,0,0,0,0,0,0,0,0,0,0,81892,0,5872922,0,0,0,0,0,0,44453,0
06/29/2022_20:46:15,0,0,75523278,0,0,0,0,0,0,0,0,0,0,81893,0,5874142,0,0,0,0,0,0,44455,0
06/29/2022_20:55:56,0,0,75523376,0,0,0,0,0,0,0,0,0,0,81894,0,5874351,0,0,0,0,0,0,44457,0
06/29/2022_20:59:10,0,0,75523546,0,0,0,0,0,0,0,0,0,0,81896,0,5875572,0,0,0,0,0,0,44459,0
06/29/2022_21:15:18,0,0,75523716,0,0,0,0,0,0,0,0,0,0,81898,0,5876792,0,0,0,0,0,0,44461,0
06/29/2022_21:24:59,0,0,75523886,0,0,0,0,0,0,0,0,0,0,81900,0,5877001,0,0,0,0,0,0,44463,0
06/29/2022_21:31:26,0,0,75524056,0,0,0,0,0,0,0,0,0,0,81902,0,5878221,0,0,0,0,0,0,44465,0
06/29/2022_21:44:21,0,0,75524226,0,0,0,0,0,0,0,0,0,0,81904,0,5879443,0,0,0,0,0,0,44467,0
06/29/2022_21:54:02,0,0,75524494,0,0,0,0,0,0,0,0,0,0,81907,0,5879736,0,0,0,0,0,0,44470,0
06/29/2022_21:57:15,0,0,75524638,0,0,0,0,0,0,0,0,0,0,81908,0,5879736,0,0,0,0,0,0,44470,0
06/29/2022_22:00:29,0,0,75524808,0,0,0,0,0,0,0,0,0,0,81910,0,5880956,0,0,0,0,0,0,44472,0
06/29/2022_22:16:37,0,0,75524978,0,0,0,0,0,0,0,0,0,0,81912,0,5882177,0,0,0,0,0,0,44474,0
06/29/2022_22:19:51,0,0,75525148,0,0,0,0,0,0,0,0,0,0,81914,0,5882386,0,0,0,0,0,0,44476,0
06/29/2022_22:29:32,0,0,75525402,0,0,0,0,0,0,0,0,0,0,81917,0,5884754,0,0,0,0,0,0,44479,0
06/29/2022_22:45:40,0,0,75525572,0,0,0,0,0,0,0,0,0,0,81919,0,5885974,0,0,0,0,0,0,44481,0
06/29/2022_22:48:53,0,0,75525742,0,0,0,0,0,0,0,0,0,0,81921,0,5886183,0,0,0,0,0,0,44483,0
06/29/2022_23:01:48,0,0,75525912,0,0,0,0,0,0,0,0,0,0,81923,0,5887403,0,0,0,0,0,0,44485,0
06/29/2022_23:14:43,0,0,75526082,0,0,0,0,0,0,0,0,0,0,81925,0,5888623,0,0,0,0,0,0,44487,0
06/29/2022_23:17:56,0,0,75526180,0,0,0,0,0,0,0,0,0,0,81926,0,5888832,0,0,0,0,0,0,44489,0
06/29/2022_23:30:51,0,0,75526350,0,0,0,0,0,0,0,0,0,0,81928,0,5890052,0,0,0,0,0,0,44491,0
06/29/2022_23:43:46,0,0,75526690,0,0,0,0,0,0,0,0,0,0,81932,0,5891481,0,0,0,0,0,0,44495,0
06/29/2022_23:59:54,0,0,75526860,0,0,0,0,0,0,0,0,0,0,81934,0,5892701,0,0,0,0,0,0,44497,0
06/30/2022_00:12:48,0,0,75527030,0,0,0,0,0,0,0,0,0,0,81936,0,5892910,0,0,0,0,0,0,44499,0
06/30/2022_00:16:02,0,0,75527200,0,0,0,0,0,0,0,0,0,0,81938,0,5894130,0,0,0,0,0,0,44501,0
06/30/2022_00:28:56,0,0,75527370,0,0,0,0,0,0,0,0,0,0,81940,0,5895350,0,0,0,0,0,0,44503,0
06/30/2022_00:41:51,0,0,75527540,0,0,0,0,0,0,0,0,0,0,81942,0,5895559,0,0,0,0,0,0,44505,0
06/30/2022_00:45:05,0,0,75527710,0,0,0,0,0,0,0,0,0,0,81944,0,5896779,0,0,0,0,0,0,44507,0
06/30/2022_01:01:13,0,0,75527880,0,0,0,0,0,0,0,0,0,0,81946,0,5897999,0,0,0,0,0,0,44509,0
06/30/2022_01:07:40,0,0,75528050,0,0,0,0,0,0,0,0,0,0,81948,0,5898208,0,0,0,0,0,0,44511,0
06/30/2022_01:14:07,0,0,75528220,0,0,0,0,0,0,0,0,0,0,81950,0,5899428,0,0,0,0,0,0,44513,0
06/30/2022_01:30:15,0,0,75528390,0,0,0,0,0,0,0,0,0,0,81952,0,5900648,0,0,0,0,0,0,44515,0
06/30/2022_01:36:43,0,0,75528560,0,0,0,0,0,0,0,0,0,0,81954,0,5900857,0,0,0,0,0,0,44517,0
06/30/2022_01:46:23,0,0,75528730,0,0,0,0,0,0,0,0,0,0,81956,0,5902077,0,0,0,0,0,0,44519,0
06/30/2022_01:59:18,0,0,75528900,0,0,0,0,0,0,0,0,0,0,81958,0,5903297,0,0,0,0,0,0,44521,0
06/30/2022_02:05:45,0,0,75528998,0,0,0,0,0,0,0,0,0,0,81959,0,5903506,0,0,0,0,0,0,44523,0
06/30/2022_02:15:26,0,0,75529168,0,0,0,0,0,0,0,0,0,0,81961,0,5904727,0,0,0,0,0,0,44525,0
06/30/2022_02:31:34,0,0,75529508,0,0,0,0,0,0,0,0,0,0,81965,0,5906156,0,0,0,0,0,0,44529,0
06/30/2022_02:44:29,0,0,75529678,0,0,0,0,0,0,0,0,0,0,81967,0,5907376,0,0,0,0,0,0,44531,0
06/30/2022_03:00:37,0,0,75530018,0,0,0,0,0,0,0,0,0,0,81971,0,5908805,0,0,0,0,0,0,44535,0
06/30/2022_03:16:45,0,0,75530116,0,0,0,0,0,0,0,0,0,0,81972,0,5910025,0,0,0,0,0,0,44537,0
06/30/2022_03:29:40,0,0,75530456,0,0,0,0,0,0,0,0,0,0,81976,0,5911454,0,0,0,0,0,0,44541,0
06/30/2022_03:45:48,0,0,75530626,0,0,0,0,0,0,0,0,0,0,81978,0,5912674,0,0,0,0,0,0,44543,0
06/30/2022_03:55:29,0,0,75530796,0,0,0,0,0,0,0,0,0,0,81980,0,5912883,0,0,0,0,0,0,44545,0
06/30/2022_03:58:42,0,0,75530940,0,0,0,0,0,0,0,0,0,0,81981,0,5912883,0,0,0,0,0,0,44545,0
06/30/2022_04:01:56,0,0,75531110,0,0,0,0,0,0,0,0,0,0,81983,0,5914101,0,0,0,0,0,0,44547,0
06/30/2022_04:14:51,0,0,75531280,0,0,0,0,0,0,0,0,0,0,81985,0,5915321,0,0,0,0,0,0,44549,0
06/30/2022_04:24:32,0,0,75531450,0,0,0,0,0,0,0,0,0,0,81987,0,5915530,0,0,0,0,0,0,44551,0
06/30/2022_04:30:59,0,0,75531620,0,0,0,0,0,0,0,0,0,0,81989,0,5916750,0,0,0,0,0,0,44553,0
06/30/2022_04:43:53,0,0,75531888,0,0,0,0,0,0,0,0,0,0,81992,0,5918054,0,0,0,0,0,0,44556,0
06/30/2022_04:53:34,0,0,75532058,0,0,0,0,0,0,0,0,0,0,81994,0,5918263,0,0,0,0,0,0,44558,0
06/30/2022_05:00:01,0,0,75532228,0,0,0,0,0,0,0,0,0,0,81996,0,5919483,0,0,0,0,0,0,44560,0
06/30/2022_05:16:09,0,0,75532398,0,0,0,0,0,0,0,0,0,0,81998,0,5920703,0,0,0,0,0,0,44562,0
06/30/2022_05:22:37,0,0,75532568,0,0,0,0,0,0,0,0,0,0,82000,0,5920912,0,0,0,0,0,0,44564,0
06/30/2022_05:29:04,0,0,75532738,0,0,0,0,0,0,0,0,0,0,82002,0,5922132,0,0,0,0,0,0,44566,0
06/30/2022_05:45:12,0,0,75532908,0,0,0,0,0,0,0,0,0,0,82004,0,5923352,0,0,0,0,0,0,44568,0
06/30/2022_05:48:26,0,0,75533176,0,0,0,0,0,0,0,0,0,0,82007,0,5923645,0,0,0,0,0,0,44571,0
06/30/2022_06:01:20,0,0,75533346,0,0,0,0,0,0,0,0,0,0,82009,0,5924865,0,0,0,0,0,0,44573,0
06/30/2022_06:14:15,0,0,75533516,0,0,0,0,0,0,0,0,0,0,82011,0,5926085,0,0,0,0,0,0,44575,0
06/30/2022_06:17:29,0,0,75533614,0,0,0,0,0,0,0,0,0,0,82012,0,5926294,0,0,0,0,0,0,44577,0
06/30/2022_06:30:23,0,0,75533784,0,0,0,0,0,0,0,0,0,0,82014,0,5927515,0,0,0,0,0,0,44579,0
06/30/2022_06:46:31,0,0,75534124,0,0,0,0,0,0,0,0,0,0,82018,0,5928946,0,0,0,0,0,0,44583,0
06/30/2022_06:59:26,0,0,75534294,0,0,0,0,0,0,0,0,0,0,82020,0,5930166,0,0,0,0,0,0,44585,0
06/30/2022_07:12:21,0,0,75534464,0,0,0,0,0,0,0,0,0,0,82022,0,5930375,0,0,0,0,0,0,44587,0
