PID   PPID  USER     VSZ  RSS  COMMAND
 1875     1 root      63m 9844 deviceagentd
 1264     1 root     188m 8372 modem2d
 1459     1 root      52m 6636 dmdbd
 1950     1 root      36m 6516 webuid
 2185  2176 lighttpd  20m 5976 restapi.fcgi
  778     1 root      28m 5784 settingsd
 1928     1 root      37m 5620 cloud_engined
  777     1 root      74m 5488 dsmd
  563     1 mifi     277m 5060 netmgrd
 1852     1 root      18m 4764 nua_timer_watch
 2181  2176 lighttpd  26m 4696 sysser.fcgi
 1936     1 root      45m 4568 nuad
 1177     1 root      59m 4500 powersaved
 1195     1 root      36m 4120 factory_resetd
 1243     1 root      44m 3864 duad
 1597     1 root      36m 3824 ledd
  531     1 root      65m 3700 ipacm
 1105     1 root      34m 3312 ansd
 2431  1147 root     9004 3288 hostapd
 2925  1147 root     9008 3280 hostapd
 1046     1 root      35m 3088 usbd
 1340     1 root      65m 3080 gpsd
 3686     1 root     5860 2988 dhcpd
 1028     1 root      33m 2976 router2d
  950     1 root      23m 2884 usb_serial
 1335     1 root      50m 2884 ccm2d
  344     1 root      14m 2836 nvtl_dnsd
 1328     1 root      59m 2728 sim_mgrd
 1418     1 root      57m 2444 smsd
  663     1 root      39m 2396 qti
  521     1 root      41m 2368 ipacm_perf
 1147     1 root      49m 2328 wifid
 2176     1 lighttpd 5812 2300 lighttpd
 2244     1 root      55m 2260 qmuxbridge
 1227     1 root      24m 2172 fotad
 1861     1 root      24m 2140 emd
 1033     1 root      41m 2000 wan_mgrd
 1563     1 root      31m 1900 adbd
 1517     1 root      32m 1800 vpnd
  781     1 root      32m 1700 mifi_healthd
 1387     1 root      24m 1680 inseego_secured
  535     1 root      14m 1668 ipacmdiag
  960     1 root     8004 1628 mifi_watchdogd
  549     1 root      22m 1532 port_bridge
 1571     1 root      23m 1420 diag_read
  768     1 root     8016 1388 msgbusd
 1040     1 root     9356 1292 devuid
  570     1 1000      28m 1168 tftp_server
 1978     1 mifi     2564 1164 avahi-daemon
  730     1 root     3252 1092 syslogd_monitor
  268     1 root     2276  936 udevd
  315     1 root     2152  780 syslogd
  910     1 root     2868  772 nvtl_mem_diag.s
  283   268 root     2276  736 udevd
18923 18918 root     2868  652 ps
  284   268 root     2276  644 udevd
18918 18917 root     2868  640 exe
 2274     1 root     2868  616 getty
  756     1 root     1724  596 mifi_debugd
    1     0 root     1476  572 init
18917   960 root     2868  556 sh
18924 18918 root     2868  520 sort
32339     1 root     1648  516 radvd
 2411     1 root     2868  484 crond
 1979  1978 mifi     2432  428 avahi-daemon
18846   910 root     2736  408 sleep
18899   730 root     2736  408 sleep
32341 32339 root     1648  336 radvd
  677     1 root     2280  328 rngd
  524     1 root     1316  300 init_mss
  659     1 root     1456  228 qrtr-ns
    2     0 root        0    0 kthreadd
    3     2 root        0    0 rcu_gp
    5     2 root        0    0 kworker/0:0H
    7     2 root        0    0 mm_percpu_wq
    8     2 root        0    0 ksoftirqd/0
    9     2 root        0    0 rcu_preempt
   10     2 root        0    0 rcu_sched
   11     2 root        0    0 rcu_bh
   12     2 root        0    0 kdevtmpfs
   13     2 root        0    0 netns
   14     2 root        0    0 kworker/0:1
   15     2 root        0    0 msm_watchdog
   16     2 root        0    0 kworker/u3:0
   17     2 root        0    0 kworker/u2:1
   18     2 root        0    0 ipa_usb_wq
   19     2 root        0    0 qmp_aop
   20     2 root        0    0 oom_reaper
   21     2 root        0    0 writeback
   22     2 root        0    0 kcompactd0
   23     2 root        0    0 crypto
   24     2 root        0    0 kblockd
   25     2 root        0    0 irq/42-arm-smmu
   26     2 root        0    0 irq/35-tsens-up
   27     2 root        0    0 irq/36-tsens-cr
   28     2 root        0    0 system
   29     2 root        0    0 ipa_power_mgmt
   30     2 root        0    0 transport_power
   31     2 root        0    0 ipa_pm_activate
   32     2 root        0    0 ipa_eth
   33     2 root        0    0 devfreq_wq
   34     2 root        0    0 cfg80211
   35     2 root        0    0 watchdogd
   36     2 root        0    0 kauditd
   37     2 root        0    0 kswapd0
   76     2 root        0    0 irq/32-smp2p
   77     2 root        0    0 k_hsuart
   78     2 root        0    0 msm_serial_hs_0
   79     2 root        0    0 msm_serial_hs_0
   80     2 root        0    0 hwrng
   82     2 root        0    0 diag_real_time_
   83     2 root        0    0 diag_wq
   85     2 root        0    0 DIAG_USB_diag
   86     2 root        0    0 diag_cntl_wq
   87     2 root        0    0 diag_dci_wq
   88     2 root        0    0 MODEM_CNTL
   89     2 root        0    0 MODEM_DATA
   90     2 root        0    0 MODEM_CMD
   91     2 root        0    0 MODEM_DCI
   92     2 root        0    0 MODEM_DCI_CMD
   93     2 root        0    0 LPASS_CNTL
   94     2 root        0    0 LPASS_DATA
   95     2 root        0    0 LPASS_CMD
   96     2 root        0    0 LPASS_DCI
   97     2 root        0    0 LPASS_DCI_CMD
   98     2 root        0    0 WCNSS_CNTL
   99     2 root        0    0 WCNSS_DATA
  100     2 root        0    0 WCNSS_CMD
  101     2 root        0    0 WCNSS_DCI
  102     2 root        0    0 WCNSS_DCI_CMD
  103     2 root        0    0 SENSORS_CNTL
  104     2 root        0    0 SENSORS_DATA
  105     2 root        0    0 SENSORS_CMD
  106     2 root        0    0 SENSORS_DCI
  107     2 root        0    0 SENSORS_DCI_CMD
  108     2 root        0    0 DIAG_CTRL
  109     2 root        0    0 DIAG_DATA
  110     2 root        0    0 DIAG_CMD
  111     2 root        0    0 DIAG_DCI_DATA
  112     2 root        0    0 DIAG_DCI_CMD
  113     2 root        0    0 CDSP_CNTL
  114     2 root        0    0 CDSP_DATA
  115     2 root        0    0 CDSP_CMD
  116     2 root        0    0 CDSP_DCI
  117     2 root        0    0 CDSP_DCI_CMD
  118     2 root        0    0 NPU_CNTL
  119     2 root        0    0 NPU_DATA
  120     2 root        0    0 NPU_CMD
  121     2 root        0    0 NPU_DCI
  122     2 root        0    0 NPU_DCI_CMD
  123     2 root        0    0 DIAG_RPMSG_DIAG
  124     2 root        0    0 DIAG_RPMSG_DIAG
