MemTotal:         788156 kB
MemFree:          574256 kB
MemAvailable:     578892 kB
Buffers:               0 kB
Cached:            19244 kB
SwapCached:            0 kB
Active:            59808 kB
Inactive:          12848 kB
Active(anon):      53780 kB
Inactive(anon):      108 kB
Active(file):       6028 kB
Inactive(file):    12740 kB
Unevictable:         360 kB
Mlocked:               0 kB
HighTotal:        257536 kB
HighFree:         148540 kB
LowTotal:         530620 kB
LowFree:          425716 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               524 kB
Writeback:             0 kB
AnonPages:         53800 kB
Mapped:            16088 kB
Shmem:               116 kB
KReclaimable:       7164 kB
Slab:              62436 kB
SReclaimable:       7164 kB
SUnreclaim:        55272 kB
KernelStack:        3704 kB
PageTables:         2600 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      394076 kB
Committed_AS:    1389680 kB
VmallocTotal:     245760 kB
VmallocUsed:       10292 kB
VmallocChunk:          0 kB
CmaTotal:          40960 kB
CmaFree:               0 kB
