Mem: 227612K used, 571952K free, 108K shrd, 0K buff, 22956K cached
CPU:  0.0% usr  8.3% sys  0.0% nic 83.3% idle  0.0% io  0.0% irq  8.3% sirq
Load average: 0.08 0.04 0.01 1/425 493
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  493   943 root     R     2868  0.3   0  8.3 top -b -n 4 -d 3
  584     1 mifi     S     277m 35.2   0  0.0 /usr/bin/netmgrd
 1314     1 root     S     162m 20.6   0  0.0 /opt/nvtl/bin/modem2d
 1686     1 root     S    77056  9.5   0  0.0 /opt/nvtl/bin/deviceagentd
  838     1 root     S    74016  9.2   0  0.0 /opt/nvtl/bin/dsmd
  534     1 root     S    67676  8.4   0  0.0 ipacm
 1257     1 root     S    61288  7.6   0  0.0 /opt/nvtl/bin/powersaved
 1333     1 root     S    59256  7.3   0  0.0 /opt/nvtl/bin/sim_mgrd
 1384     1 root     S    59248  7.3   0  0.0 /opt/nvtl/bin/gpsd
 1413     1 root     S    58708  7.3   0  0.0 /opt/nvtl/bin/smsd
 1911     1 root     S    56824  7.0   0  0.0 qmuxbridge
 1445     1 root     S    53816  6.6   0  0.0 /opt/nvtl/bin/dmdbd
 1345     1 root     S    50868  6.3   0  0.0 /opt/nvtl/bin/ccm2d
 1237     1 root     S    50412  6.2   0  0.0 /opt/nvtl/bin/wifid
 1763     1 root     S    46000  5.7   0  0.0 /opt/nvtl/bin/nuad
 1315     1 root     S    45516  5.6   0  0.0 duad
  523     1 root     S    42572  5.2   0  0.0 ipacm_perf
  695     1 root     S    40672  5.0   0  0.0 qti
 1748     1 root     S    38392  4.7   0  0.0 /opt/nvtl/bin/cloud_engined
 1274     1 root     S    37492  4.6   0  0.0 /opt/nvtl/bin/factory_resetd
 1793     1 root     S    37220  4.6   0  0.0 /opt/nvtl/bin/webuid -c /opt/nvtl/data/branding/etc/webui/config.xml -m /opt/nvtl/etc/webui/menu_layout.json -r /etc/lighttpd/mod_rewrite.conf -p /etc/lighttpd/mod_proxy.conf -l en_US UTF-8 -l es_MX UTF-8 -l fr_FR UTF-8 -l fr_CA UTF-8 -l ar_AE UTF-8 -l de_DE UTF-8 -l it_IT UTF-8 -l ja_JP UTF-8
 1506     1 root     S    36576  4.5   0  0.0 /opt/nvtl/bin/ledd
 1185     1 root     S    35488  4.4   0  0.0 /opt/nvtl/bin/ansd
 1093     1 root     S    34288  4.2   0  0.0 /opt/nvtl/bin/router2d
 1094     1 root     S    34260  4.2   0  0.0 /opt/nvtl/bin/usbd
 1480     1 root     S    33528  4.1   0  0.0 /opt/nvtl/bin/vpnd
 1099     1 root     S    32900  4.0   0  0.0 /opt/nvtl/bin/wan_mgrd
  848     1 root     S    32788  4.0   0  0.0 /opt/nvtl/bin/mifi_healthd
 1355     1 root     S    31840  3.9   0  0.0 /sbin/adbd
  591     1 1000     S    29632  3.6   0  0.0 /sbin/tftp_server
  837     1 root     S    28948  3.6   0  0.0 /opt/nvtl/bin/settingsd
 1892  1891 lighttpd S    27152  3.3   0  0.0 /opt/nvtl/bin/sysser.fcgi
 1687     1 root     S    25068  3.1   0  0.0 /opt/nvtl/bin/emd
 1302     1 root     S    23808  2.9   0  0.0 /opt/nvtl/bin/fotad
 1507     1 root     S    23576  2.9   0  0.0 /opt/nvtl/bin/diag_read diag_read
  572     1 root     S    23344  2.9   0  0.0 /usr/bin/port_bridge at_mdm0 at_usb0
 1893  1891 lighttpd S    20292  2.5   0  0.0 /opt/nvtl/bin/restapi.fcgi
 1666     1 root     S    18820  2.3   0  0.0 /opt/nvtl/bin/nua_timer_watchdogd
  558     1 root     S    15208  1.8   0  0.0 ipacmdiag
 1106     1 root     S     9368  1.1   0  0.0 /opt/nvtl/bin/devuid
 1941  1237 root     S     9040  1.1   0  0.0 /opt/nvtl/bin/hostapd /tmp/wifi/hostapd/wlan0_hostapd.conf -f /tmp/wifi/hostapd/wlan0_hostapd.log
 1960  1237 root     S     9028  1.1   0  0.0 /opt/nvtl/bin/hostapd /tmp/wifi/hostapd/wlan1_hostapd.conf -f /tmp/wifi/hostapd/wlan1_hostapd.log
  799     1 root     S     8040  1.0   0  0.0 /opt/nvtl/bin/msgbusd
  986     1 root     S     8028  1.0   0  0.0 /opt/nvtl/bin/mifi_watchdogd
 2337     1 root     S     5860  0.7   0  0.0 dhcpd -f -cf /opt/nvtl/tmp/router2/dhcpd.conf -lf /opt/nvtl/tmp/router2/dhcpd.leases
