TIME,rmnet_data0_tx,rndis0_tx,wlan0_tx,wlan1_tx,br0_tx,br0_wlan0_tx,br0_wlan1_tx,rmnet_data0_rx,rndis0_rx,wlan0_rx,wlan1_rx,br0_rx,br0_wlan0_rx,br0_wlan1_rx,nf_count,modem_ipv4_tx,modem_ipv6_tx,ipv4_rx,ipv6_rx,ipv4_lc_tx,ipv6_lc_tx,ipv4_lc_rx,ipv6_lc_rx,ipv4_pkt_tx,ipv6_pkt_tx,ipv4_pkt_rx,ipv6_pkt_rx,ipv4_pkt_tx_err,ipv6_pkt_tx_err,ipv4_pkt_rx_err,ipv6_pkt_rx_err,ipv4_pkt_tx_ofl,ipv6_pkt_tx_ofl,ipv4_pkt_rx_ofl,ipv6_pkt_rx_ofl
06/29/2022_13:56:22,5837047,0,5899983,10969975,11657308,5899983,10969975,75516138,0,294939,4852264,5147203,294939,4852264,12,209403785,209403785,2101764308,2101764308,0,0,0,0,1093859,1093859,2102406,2102406,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_13:59:36,5838267,0,5900927,10970919,11658252,5900927,10970919,75516308,0,294939,4852264,5147203,294939,4852264,13,209405005,209405005,2101764478,2101764478,0,0,0,0,1093861,1093861,2102408,2102408,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:02:49,5838267,0,5902225,10972217,11659550,5902225,10972217,75516308,0,294939,4852264,5147203,294939,4852264,14,209405005,209405005,2101764478,2101764478,0,0,0,0,1093861,1093861,2102408,2102408,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:06:03,5838267,0,5903405,10973397,11660730,5903405,10973397,75516308,0,294939,4852264,5147203,294939,4852264,14,209405005,209405005,2101764478,2101764478,0,0,0,0,1093861,1093861,2102408,2102408,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:09:17,5838267,0,5904231,10974223,11661556,5904231,10974223,75516308,0,294939,4852264,5147203,294939,4852264,12,209405005,209405005,2101764478,2101764478,0,0,0,0,1093861,1093861,2102408,2102408,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:12:30,5838267,0,5905529,10975521,11662854,5905529,10975521,75516308,0,294939,4852264,5147203,294939,4852264,13,209405005,209405005,2101764478,2101764478,0,0,0,0,1093861,1093861,2102408,2102408,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:15:44,5839487,0,5906355,10976347,11663680,5906355,10976347,75516478,0,294939,4852264,5147203,294939,4852264,14,209406225,209406225,2101764648,2101764648,0,0,0,0,1093863,1093863,2102410,2102410,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:18:58,5839487,0,5907535,10977527,11664860,5907535,10977527,75516478,0,294939,4852264,5147203,294939,4852264,13,209406225,209406225,2101764648,2101764648,0,0,0,0,1093863,1093863,2102410,2102410,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:22:11,5839487,0,5908479,10978471,11665804,5908479,10978471,75516478,0,294939,4852264,5147203,294939,4852264,12,209406225,209406225,2101764648,2101764648,0,0,0,0,1093863,1093863,2102410,2102410,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:25:25,5839696,0,5909777,10979769,11667102,5909777,10979769,75516648,0,294939,4852264,5147203,294939,4852264,13,209406434,209406434,2101764818,2101764818,0,0,0,0,1093865,1093865,2102412,2102412,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
06/29/2022_14:28:39,5839696,0,5910603,10980595,11667928,5910603,10980595,75516648,0,294939,4852264,5147203,294939,4852264,15,209406434,209406434,2101764818,2101764818,0,0,0,0,1093865,1093865,2102412,2102412,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295
