MemTotal= 799564
TIME,MemFree,MemAvailable,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,CmaTotal,CmaFree
06/29/2022_13:56:21,572236,580692,22684,70720,15260,64576,100,6144,15160,1272,0,0,64596,18488,108,56772,7104,49668,3440,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_13:59:35,572180,580684,22756,70732,15300,64580,100,6152,15200,1296,0,0,64600,18488,108,56772,7104,49668,3440,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:02:48,572072,580612,22812,70728,15340,64580,100,6148,15240,1316,0,0,64600,18488,108,56772,7104,49668,3432,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:06:02,572108,580700,22884,70732,15388,64580,100,6152,15288,1336,0,0,64600,18488,108,56768,7100,49668,3416,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:09:16,571860,580484,22920,70728,15424,64580,100,6148,15324,1340,0,0,64600,18488,108,56772,7100,49672,3416,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:12:29,571852,580536,22996,70732,15484,64584,100,6148,15384,1356,0,0,64604,18488,108,56768,7100,49668,3416,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:15:43,571776,580520,23072,70736,15540,64584,100,6152,15440,1372,0,0,64604,18488,108,56772,7100,49672,3416,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:18:56,571640,580436,23140,70736,15592,64584,100,6152,15492,1388,0,0,64604,18488,108,56768,7100,49668,3408,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:22:10,572624,580792,22156,70732,14968,64584,100,6148,14868,1032,0,0,64604,18488,108,56772,7100,49672,3424,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:25:24,572644,580880,22244,70736,15032,64584,100,6152,14932,1052,0,0,64604,18488,108,56776,7104,49672,3424,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:28:37,572672,580936,22288,70736,15060,64584,100,6152,14960,1068,0,0,64604,18488,108,56768,7100,49668,3408,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:31:51,572436,580740,22376,70732,15104,64584,100,6148,15004,1116,0,0,64604,18488,108,56768,7100,49668,3424,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:35:05,572544,580868,22432,70732,15124,64584,100,6148,15024,1152,0,0,64604,18488,108,56768,7100,49668,3416,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:38:18,572376,580740,22484,70736,15160,64584,100,6152,15060,1164,0,0,64604,18488,108,56772,7100,49672,3408,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:41:32,572392,580804,22548,70732,15212,64584,100,6148,15112,1180,0,0,64604,18488,108,56772,7100,49672,3408,2580,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:44:46,572168,580616,22608,70732,15248,64584,100,6148,15148,1204,0,0,64604,18488,108,56768,7100,49668,3432,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:47:59,572184,580672,22680,70732,15288,64584,100,6148,15188,1236,0,0,64604,18488,108,56768,7100,49668,3424,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:51:13,572060,580592,22744,70736,15328,64584,100,6152,15228,1256,0,0,64604,18488,108,56768,7100,49668,3424,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:54:27,572116,580692,22820,70732,15376,64584,100,6148,15276,1288,0,0,64604,18488,108,56768,7100,49668,3416,2584,399780,1456644,245760,9808,0,40960,0
06/29/2022_14:57:40,571788,580404,22876,70876,15416,64728,100,6148,15316,1304,0,0,64748,18500,108,56768,7100,49668,3432,2612,399780,1457292,245760,9808,0,40960,0
06/29/2022_15:00:54,571892,580584,22972,70740,15488,64588,100,6152,15388,1324,0,0,64608,18488,108,56736,7100,49636,3432,2580,399780,1456644,245760,9808,0,40960,0
06/29/2022_15:04:07,571892,580608,23020,70736,15516,64588,100,6148,15416,1348,0,0,64608,18488,108,56736,7100,49636,3416,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_15:07:21,571844,580580,23060,70736,15536,64588,100,6148,15436,1368,0,0,64608,18488,108,56736,7100,49636,3424,2588,399780,1456644,245760,9808,0,40960,0
06/29/2022_15:10:35,571764,580568,23148,70740,15600,64588,100,6152,15500,1388,0,0,64608,18488,108,56736,7100,49636,3416,2580,399780,1456644,245760,9808,0,40960,0
06/29/2022_15:13:48,572728,580912,22180,70744,14976,64588,100,6156,14876,1040,0,0,64608,18488,108,56772,7100,49672,3424,2580,399780,1456644,245760,9808,0,40960,0
