TIME,FREE_MEM,PID,RSS,OOM_SCORE,OOM_SCORE_ADJ,OOM_ADJ,CMD,CLIENT_COUNT,USB(RNDIS)
06/29/2022_13:56:20,559,262,1044,0,-1000,-17,udevd,0,0
06/29/2022_13:56:20,559,287,872,0,-1000,-17,udevd,0,0
06/29/2022_13:56:20,559,288,776,0,-1000,-17,udevd,0,0
06/29/2022_13:56:20,559,318,776,0,0,0,syslogd,0,0
06/29/2022_13:56:20,559,523,2368,3,0,0,ipacm_perf,0,0
06/29/2022_13:56:20,559,527,300,0,0,0,init_mss,0,0
06/29/2022_13:56:20,559,534,3624,4,0,0,ipacm,0,0
06/29/2022_13:56:20,559,558,1668,2,0,0,ipacmdiag,0,0
06/29/2022_13:56:20,559,572,1532,1,0,0,port_bridge,0,0
06/29/2022_13:56:20,559,584,4868,6,0,0,netmgrd,0,0
06/29/2022_13:56:20,559,591,1168,1,0,0,tftp_server,0,0
06/29/2022_13:56:20,559,680,228,0,0,0,qrtr-ns,0,0
06/29/2022_13:56:20,559,695,2396,3,0,0,qti,0,0
06/29/2022_13:56:20,559,711,328,0,0,0,rngd,0,0
06/29/2022_13:56:20,559,765,1012,1,0,0,syslogd_monitor,0,0
06/29/2022_13:56:20,559,783,596,0,0,0,mifi_debugd,0,0
06/29/2022_13:56:20,559,799,1384,1,0,0,msgbusd,0,0
06/29/2022_13:56:20,559,837,5536,6,0,0,settingsd,0,0
06/29/2022_13:56:20,559,838,3212,4,0,0,dsmd,0,0
06/29/2022_13:56:20,559,848,1680,2,0,0,mifi_healthd,0,0
06/29/2022_13:56:20,559,943,796,1,0,0,nvtl_mem_diag.s,0,0
06/29/2022_13:56:20,559,986,1624,2,0,0,mifi_watchdogd,0,0
06/29/2022_13:56:20,559,1093,2908,3,0,0,router2d,0,0
06/29/2022_13:56:20,559,1094,2708,3,0,0,usbd,0,0
06/29/2022_13:56:20,559,1099,1684,2,0,0,wan_mgrd,0,0
06/29/2022_13:56:20,559,1106,1292,1,0,0,devuid,0,0
06/29/2022_13:56:20,559,1185,3276,4,0,0,ansd,0,0
06/29/2022_13:56:20,559,1237,2316,2,0,0,wifid,0,0
06/29/2022_13:56:20,559,1257,4464,5,0,0,powersaved,0,0
06/29/2022_13:56:20,559,1274,4012,5,0,0,factory_resetd,0,0
06/29/2022_13:56:20,559,1302,3060,3,0,0,fotad,0,0
06/29/2022_13:56:20,559,1314,5920,7,0,0,modem2d,0,0
06/29/2022_13:56:20,559,1315,3680,4,0,0,duad,0,0
06/29/2022_13:56:20,559,1333,2504,3,0,0,sim_mgrd,0,0
06/29/2022_13:56:20,559,1345,2296,2,0,0,ccm2d,0,0
06/29/2022_13:56:20,559,1355,1900,2,0,0,adbd,0,0
06/29/2022_13:56:20,559,1384,2980,3,0,0,gpsd,0,0
06/29/2022_13:56:20,559,1413,2444,3,0,0,smsd,0,0
06/29/2022_13:56:20,559,1445,6628,8,0,0,dmdbd,0,0
06/29/2022_13:56:20,559,1480,1784,2,0,0,vpnd,0,0
06/29/2022_13:56:20,559,1506,3252,4,0,0,ledd,0,0
06/29/2022_13:56:20,559,1507,1412,1,0,0,diag_read,0,0
06/29/2022_13:56:20,559,1666,4700,5,0,0,nua_timer_watch,0,0
06/29/2022_13:56:20,559,1686,13m,17,0,0,deviceagentd,0,0
06/29/2022_13:56:20,559,1687,2120,2,0,0,emd,0,0
06/29/2022_13:56:20,559,1748,5524,6,0,0,cloud_engined,0,0
06/29/2022_13:56:20,559,1763,4772,6,0,0,nuad,0,0
06/29/2022_13:56:20,559,1793,6356,8,0,0,webuid,0,0
06/29/2022_13:56:20,559,1891,2296,2,0,0,lighttpd,0,0
06/29/2022_13:56:20,559,1892,4576,5,0,0,sysser.fcgi,0,0
06/29/2022_13:56:20,559,1893,5736,7,0,0,restapi.fcgi,0,0
06/29/2022_13:56:20,559,1911,2260,2,0,0,qmuxbridge,0,0
06/29/2022_13:56:20,559,1912,616,0,0,0,getty,0,0
06/29/2022_13:56:20,559,1941,3288,4,0,0,hostapd,0,0
06/29/2022_13:56:20,559,1960,3276,4,0,0,hostapd,0,0
06/29/2022_13:56:20,559,2337,2988,3,0,0,dhcpd,0,0
06/29/2022_13:56:20,559,3537,516,0,0,0,radvd,0,0
06/29/2022_13:56:20,559,3540,328,0,0,0,radvd,0,0
06/29/2022_13:56:20,559,3560,1848,2,0,0,dhcpd6,0,0
06/29/2022_13:56:20,559,3609,792,1,0,0,dnsmasq,0,0
06/29/2022_13:56:20,559,12643,408,0,0,0,sleep,0,0
06/29/2022_13:56:20,559,12655,620,0,0,0,ps,0,0
06/29/2022_13:56:20,559,12656,568,0,0,0,awk,0,0
06/29/2022_13:59:33,559,838,3216,4,0,0,dsmd,0,0
06/29/2022_13:59:33,559,13470,408,0,0,0,sleep,0,0
06/29/2022_13:59:33,559,13495,620,0,0,0,ps,0,0
06/29/2022_13:59:33,559,13496,568,0,0,0,awk,0,0
06/29/2022_14:02:47,559,14329,408,0,0,0,sleep,0,0
06/29/2022_14:02:47,559,14360,620,0,0,0,ps,0,0
06/29/2022_14:02:47,559,14361,568,0,0,0,awk,0,0
06/29/2022_14:06:00,559,15201,408,0,0,0,sleep,0,0
06/29/2022_14:06:00,559,15222,620,0,0,0,ps,0,0
06/29/2022_14:06:00,559,15223,568,0,0,0,awk,0,0
06/29/2022_14:09:14,559,16069,408,0,0,0,sleep,0,0
06/29/2022_14:09:14,559,16081,620,0,0,0,ps,0,0
06/29/2022_14:09:14,559,16082,568,0,0,0,awk,0,0
06/29/2022_14:12:28,559,765,1016,1,0,0,syslogd_monitor,0,0
06/29/2022_14:12:28,559,16923,408,0,0,0,sleep,0,0
06/29/2022_14:12:28,559,16948,620,0,0,0,ps,0,0
06/29/2022_14:12:28,559,16949,568,0,0,0,awk,0,0
06/29/2022_14:15:41,559,17777,408,0,0,0,sleep,0,0
