TIME,collisions,multicast,rx_bytes,rx_compressed,rx_crc_errors,rx_dropped,rx_errors,rx_fifo_errors,rx_frame_errors,rx_length_errors,rx_missed_errors,rx_nohandler,rx_over_errors,rx_packets,tx_aborted_errors,tx_bytes,tx_carrier_errors,tx_compressed,tx_dropped,tx_errors,tx_fifo_errors,tx_heartbeat_errors,tx_packets,tx_window_errors
06/29/2022_13:56:23,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10969975,0,0,564,0,0,0,71071,0
06/29/2022_13:59:37,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10970919,0,0,564,0,0,0,71079,0
06/29/2022_14:02:50,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10972217,0,0,564,0,0,0,71090,0
06/29/2022_14:06:04,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10973397,0,0,564,0,0,0,71100,0
06/29/2022_14:09:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10974223,0,0,564,0,0,0,71107,0
06/29/2022_14:12:31,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10975521,0,0,564,0,0,0,71118,0
06/29/2022_14:15:45,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10976347,0,0,564,0,0,0,71125,0
06/29/2022_14:18:59,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10977527,0,0,564,0,0,0,71135,0
06/29/2022_14:22:12,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10978471,0,0,564,0,0,0,71143,0
06/29/2022_14:25:26,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10979769,0,0,564,0,0,0,71154,0
06/29/2022_14:28:39,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10980595,0,0,564,0,0,0,71161,0
06/29/2022_14:31:53,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10981775,0,0,564,0,0,0,71171,0
06/29/2022_14:35:07,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10983073,0,0,564,0,0,0,71182,0
06/29/2022_14:38:20,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10983899,0,0,564,0,0,0,71189,0
06/29/2022_14:41:34,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10985079,0,0,564,0,0,0,71199,0
06/29/2022_14:44:48,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10986141,0,0,564,0,0,0,71208,0
06/29/2022_14:48:01,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10987321,0,0,564,0,0,0,71218,0
06/29/2022_14:51:15,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10988265,0,0,564,0,0,0,71226,0
06/29/2022_14:54:29,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10989445,0,0,564,0,0,0,71236,0
06/29/2022_14:57:42,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10990743,0,0,564,0,0,0,71247,0
06/29/2022_15:00:56,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10991451,0,0,564,0,0,0,71253,0
06/29/2022_15:04:10,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10992631,0,0,564,0,0,0,71263,0
06/29/2022_15:07:23,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10993575,0,0,564,0,0,0,71271,0
06/29/2022_15:10:37,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10994637,0,0,564,0,0,0,71280,0
06/29/2022_15:13:51,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10995581,0,0,564,0,0,0,71288,0
06/29/2022_15:17:04,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10996761,0,0,564,0,0,0,71298,0
06/29/2022_15:20:18,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10997587,0,0,564,0,0,0,71305,0
06/29/2022_15:23:31,0,0,4852264,0,0,0,0,0,0,0,0,0,0,43721,0,10998767,0,0,564,0,0,0,71315,0
