PID   PPID  USER     VSZ  RSS  COMMAND
 2009     1 root      36m 6588 webuid
 1483     1 root      52m 6476 dmdbd
 2256  2249 lighttpd  20m 5976 restapi.fcgi
  842     1 root      28m 5744 settingsd
 1896     1 root      18m 4708 nua_timer_watch
 2255  2249 lighttpd  26m 4676 sysser.fcgi
 1309     1 root     177m 4572 modem2d
 1208     1 root      60m 4484 powersaved
  586     1 mifi     276m 4256 netmgrd
 1231     1 root      37m 4164 factory_resetd
 1987     1 root      36m 3796 nuad
 1277     1 root      44m 3512 duad
 1914     1 root      20m 3308 deviceagentd
 1134     1 root      34m 3300 ansd
 1659     1 root      35m 3228 ledd
  556     1 root      58m 3216 ipacm
 1066     1 root      35m 3008 usbd
 1406     1 root      57m 2992 gpsd
 2571     1 root     5860 2896 dhcpd
 2368  1188 root     8872 2864 hostapd
 2016     1 root      14m 2844 nvtl_dnsd
 2545  1188 root     8872 2844 hostapd
  838     1 root      72m 2836 dsmd
 1464     1 root      57m 2436 smsd
 1188     1 root      49m 2324 wifid
 2249     1 lighttpd 5904 2320 lighttpd
  691     1 root      39m 2312 qti
 1388     1 root      49m 2288 ccm2d
  533     1 root      41m 2248 ipacm_perf
 1975     1 root      27m 2244 cloud_engined
 1267     1 root      24m 2176 fotad
 2331     1 root      55m 2176 qmuxbridge
 1894     1 root      24m 2132 emd
 1374     1 root      51m 2084 sim_mgrd
 1606     1 root      34m 1976 vpnd
 1049     1 root      41m 1932 wan_mgrd
 1598     1 root      31m 1896 adbd
  849     1 root      32m 1696 mifi_healthd
  560     1 root      14m 1668 ipacmdiag
  976     1 root     8004 1628 mifi_watchdogd
  574     1 root      22m 1532 port_bridge
 1640     1 root      23m 1412 diag_read
  808     1 root     8016 1360 msgbusd
 1056     1 root     9356 1292 devuid
  563     1 1000     3388 1220 qseecomd
  595     1 1000      37m 1216 tftp_server
 2584     1 mifi     2556 1208 avahi-daemon
  300     1 root     2384 1004 udevd
  319   300 root     2384  848 udevd
  352     1 root     2152  780 syslogd
  938     1 root     2868  772 nvtl_mem_diag.s
  320   300 root     2384  752 udevd
 2757  2751 root     2868  652 ps
  760     1 root     2868  640 syslogd_monitor
 2751  2750 root     2868  640 exe
 2372     1 root     2868  616 getty
  779     1 root     1724  580 mifi_debugd
    1     0 root     1476  572 init
 2585  2584 mifi     2432  560 avahi-daemon
 2750   976 root     2868  556 sh
 2758  2751 root     2868  528 sort
  568   563 1000     3388  508 qseecomd
 2719   938 root     2736  408 sleep
 2733   760 root     2736  408 sleep
  709     1 root     2280  328 rngd
  536     1 root     1316  300 init_mss
  682     1 root     1456  228 qrtr-ns
    2     0 root        0    0 kthreadd
    3     2 root        0    0 rcu_gp
    4     2 root        0    0 kworker/0:0
    5     2 root        0    0 kworker/0:0H
    6     2 root        0    0 kworker/u2:0
    7     2 root        0    0 mm_percpu_wq
    8     2 root        0    0 ksoftirqd/0
    9     2 root        0    0 rcu_preempt
