TIME,rmnet_data0_tx,rndis0_tx,wlan0_tx,wlan1_tx,br0_tx,br0_wlan0_tx,br0_wlan1_tx,modem_ipv4_tx,modem_ipv6_tx,rmnet_data0_rx,rndis0_rx,wlan0_rx,wlan1_rx,br0_rx,br0_wlan0_rx,br0_wlan1_rx,modem_ipv4_rx,modem_ipv6_rx,nf_count
06/29/2022_13:56:22,5837047,0,5899983,10969975,11657308,5899983,10969975,209403785,209403785,75516138,0,294939,4852264,5147203,294939,4852264,2101764308,2101764308,12
06/29/2022_13:59:35,5838267,0,5900927,10970919,11658252,5900927,10970919,209405005,209405005,75516308,0,294939,4852264,5147203,294939,4852264,2101764478,2101764478,12
06/29/2022_14:02:49,5838267,0,5902225,10972217,11659550,5902225,10972217,209405005,209405005,75516308,0,294939,4852264,5147203,294939,4852264,2101764478,2101764478,14
06/29/2022_14:06:03,5838267,0,5903405,10973397,11660730,5903405,10973397,209405005,209405005,75516308,0,294939,4852264,5147203,294939,4852264,2101764478,2101764478,14
06/29/2022_14:09:17,5838267,0,5904231,10974223,11661556,5904231,10974223,209405005,209405005,75516308,0,294939,4852264,5147203,294939,4852264,2101764478,2101764478,12
06/29/2022_14:12:30,5838267,0,5905529,10975521,11662854,5905529,10975521,209405005,209405005,75516308,0,294939,4852264,5147203,294939,4852264,2101764478,2101764478,13
06/29/2022_14:15:44,5839487,0,5906355,10976347,11663680,5906355,10976347,209406225,209406225,75516478,0,294939,4852264,5147203,294939,4852264,2101764648,2101764648,14
06/29/2022_14:18:57,5839487,0,5907535,10977527,11664860,5907535,10977527,209406225,209406225,75516478,0,294939,4852264,5147203,294939,4852264,2101764648,2101764648,13
06/29/2022_14:22:11,5839487,0,5908479,10978471,11665804,5908479,10978471,209406225,209406225,75516478,0,294939,4852264,5147203,294939,4852264,2101764648,2101764648,12
06/29/2022_14:25:25,5839696,0,5909777,10979769,11667102,5909777,10979769,209406434,209406434,75516648,0,294939,4852264,5147203,294939,4852264,2101764818,2101764818,13
06/29/2022_14:28:38,5839696,0,5910603,10980595,11667928,5910603,10980595,209406434,209406434,75516648,0,294939,4852264,5147203,294939,4852264,2101764818,2101764818,15
06/29/2022_14:31:52,5840916,0,5911783,10981775,11669108,5911783,10981775,209407654,209407654,75516818,0,294939,4852264,5147203,294939,4852264,2101764988,2101764988,13
06/29/2022_14:35:06,5840916,0,5912963,10982955,11670288,5912963,10982955,209407654,209407654,75516818,0,294939,4852264,5147203,294939,4852264,2101764988,2101764988,14
06/29/2022_14:38:19,5840916,0,5913907,10983899,11671232,5913907,10983899,209407654,209407654,75516818,0,294939,4852264,5147203,294939,4852264,2101764988,2101764988,14
06/29/2022_14:41:33,5840916,0,5915087,10985079,11672412,5915087,10985079,209407654,209407654,75516818,0,294939,4852264,5147203,294939,4852264,2101764988,2101764988,12
06/29/2022_14:44:47,5842136,0,5916031,10986023,11673356,5916031,10986023,209408874,209408874,75516988,0,294939,4852264,5147203,294939,4852264,2101765158,2101765158,13
06/29/2022_14:48:00,5842136,0,5917329,10987321,11674654,5917329,10987321,209408874,209408874,75516988,0,294939,4852264,5147203,294939,4852264,2101765158,2101765158,14
06/29/2022_14:51:14,5842136,0,5918273,10988265,11675598,5918273,10988265,209408874,209408874,75516988,0,294939,4852264,5147203,294939,4852264,2101765158,2101765158,12
