TIME,/tmp,/run,/var/log,/var/lock,/opt/nvtl/tmp
06/29/2022_13:56:21,896,192,1892,0,304
06/29/2022_13:59:35,896,192,1960,0,304
06/29/2022_14:02:48,896,192,2016,0,304
06/29/2022_14:06:02,896,192,2076,0,304
06/29/2022_14:09:16,896,192,2136,0,304
06/29/2022_14:12:29,896,192,2196,0,304
06/29/2022_14:15:43,896,192,2276,0,304
06/29/2022_14:18:57,896,192,2336,0,304
06/29/2022_14:22:10,896,192,1368,0,304
06/29/2022_14:25:24,896,192,1436,0,304
06/29/2022_14:28:38,896,192,1500,0,304
06/29/2022_14:31:51,896,192,1580,0,304
06/29/2022_14:35:05,896,192,1636,0,304
06/29/2022_14:38:19,896,192,1696,0,304
06/29/2022_14:41:32,896,192,1752,0,304
06/29/2022_14:44:46,896,192,1820,0,304
06/29/2022_14:48:00,896,192,1884,0,304
06/29/2022_14:51:13,896,192,1944,0,304
06/29/2022_14:54:27,896,192,2024,0,304
06/29/2022_14:57:40,896,192,2080,0,304
06/29/2022_15:00:54,896,192,2164,0,304
06/29/2022_15:04:08,896,192,2220,0,304
06/29/2022_15:07:21,896,192,2276,0,304
06/29/2022_15:10:35,896,192,2348,0,304
06/29/2022_15:13:49,896,192,1384,0,304
06/29/2022_15:17:02,896,192,1452,0,304
06/29/2022_15:20:16,896,192,1528,0,304
06/29/2022_15:23:30,896,192,1588,0,304
06/29/2022_15:26:43,896,192,1644,0,304
06/29/2022_15:29:57,896,192,1716,0,304
06/29/2022_15:33:10,896,192,1776,0,304
06/29/2022_15:36:24,896,192,1832,0,304
06/29/2022_15:39:38,896,192,1888,0,304
06/29/2022_15:42:51,896,192,1952,0,304
06/29/2022_15:46:05,896,192,2032,0,304
06/29/2022_15:49:19,896,192,2108,0,304
06/29/2022_15:52:32,896,192,2184,0,304
06/29/2022_15:55:46,896,192,2240,0,304
06/29/2022_15:59:00,896,192,2308,0,304
06/29/2022_16:02:13,896,192,2376,0,304
06/29/2022_16:05:27,896,192,1412,0,304
06/29/2022_16:08:40,896,192,1472,0,304
06/29/2022_16:11:54,896,192,1532,0,304
06/29/2022_16:15:08,896,192,1612,0,304
06/29/2022_16:18:22,896,192,1696,0,304
06/29/2022_16:21:35,896,192,1752,0,304
06/29/2022_16:24:49,896,192,1816,0,304
06/29/2022_16:28:03,896,192,1892,0,304
06/29/2022_16:31:16,896,192,1976,0,304
06/29/2022_16:34:30,896,192,2036,0,304
