MemTotal:         788156 kB
MemFree:          569716 kB
MemAvailable:     575996 kB
Buffers:               0 kB
Cached:            21288 kB
SwapCached:            0 kB
Active:            62616 kB
Inactive:          14628 kB
Active(anon):      56756 kB
Inactive(anon):      108 kB
Active(file):       5860 kB
Inactive(file):    14520 kB
Unevictable:         792 kB
Mlocked:               0 kB
HighTotal:        257536 kB
HighFree:         144416 kB
LowTotal:         530620 kB
LowFree:          425300 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               964 kB
Writeback:             0 kB
AnonPages:         56776 kB
Mapped:            17160 kB
Shmem:               116 kB
KReclaimable:       7228 kB
Slab:              62580 kB
SReclaimable:       7228 kB
SUnreclaim:        55352 kB
KernelStack:        3816 kB
PageTables:         2644 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      394076 kB
Committed_AS:    1461628 kB
VmallocTotal:     245760 kB
VmallocUsed:       10292 kB
VmallocChunk:          0 kB
CmaTotal:          40960 kB
CmaFree:               0 kB
