================================================================================
FUNCTION ANALYSIS: modem2_cli
================================================================================

Total functions: 681
Interesting functions: 391

================================================================================
INTERESTING FUNCTIONS (Unlock-related)
================================================================================
0000b464 | modem2_get_error_string
0000b470 | modem2_api_is_running
0000b47c | modem2_get_info
0000b488 | modem2_enable_power_save_mode
0000b494 | modem2_get_current_state
0000b4a0 | modem2_get_signal_stats
0000b4ac | modem2_get_voice_signal_stats
0000b4b8 | modem2_get_service_info
0000b4d0 | modem2_validate_spc_code
0000b4dc | modem2_get_bsr_timers
0000b4e8 | modem2_set_bsr_timers
0000b4f4 | modem2_get_diag_info
0000b500 | modem2_get_refurbish_info
0000b524 | modem2_get_activation_date
0000b530 | modem2_get_ddtm_state
0000b53c | modem2_set_ddtm_state
0000b548 | modem2_get_cai_rev
0000b554 | modem2_set_cai_rev
0000b560 | modem2_read_modem_file
0000b590 | modem2_write_modem_file
0000b5b4 | modem2_delete_modem_file
0000b5c0 | modem2_get_lbs_idle_mode_query_enabled
0000b5cc | modem2_set_lbs_idle_mode_query_enabled
0000b5d8 | modem2_get_operator_info
0000b5e4 | modem2_get_network_time
0000b5f0 | modem2_get_time_info
0000b5fc | modem2_carrier_unlock_status
0000b608 | modem2_carrier_unlock
0000b614 | modem2_get_supported_tech_modes
0000b620 | modem2_get_active_tech_modes
0000b62c | modem2_get_enabled_tech_modes
0000b644 | modem2_set_enabled_tech_modes
0000b650 | modem2_validate_home_network
0000b65c | modem2_get_mns_info
0000b668 | modem2_start_network_operator_scan
0000b674 | modem2_get_network_operator_list
0000b680 | modem2_clear_network_operator_list
0000b68c | modem2_validate_manual_network_selection
0000b6a4 | modem2_select_manual_network
0000b6b0 | modem2_roaming_get_enabled
0000b6bc | modem2_roaming_set_enabled
0000b6c8 | modem2_roaming_get_eri
0000b6d4 | modem2_get_tech_profile
0000b6ec | modem2_get_pri_tech_profile
0000b6f8 | modem2_get_custom_tech_profile
0000b710 | modem2_set_tech_profile
0000b71c | modem2_set_pri_tech_profile
0000b728 | modem2_set_custom_tech_profile
0000b734 | modem2_get_active_tech_profile
0000b740 | modem2_set_active_tech_profile
0000b74c | modem2_sim_enable_pin
0000b758 | modem2_sim_unlock_pin
0000b764 | modem2_sim_unlock_puk
0000b770 | modem2_sim_change_pin
0000b77c | modem2_sim_get_status
0000b788 | modem2_sim_get_pin_info
0000b794 | modem2_sim_get_carrier
0000b7ac | modem2_sim_get_gid
0000b7b8 | modem2_get_imsi
0000b7c4 | modem2_sim_get_iccid
0000b7d0 | modem2_sim_get_mnc_length
0000b7dc | modem2_get_mip_settings
0000b7e8 | modem2_set_mip_settings
0000b7f4 | modem2_get_mip_profile
0000b80c | modem2_set_mip_profile
0000b818 | modem2_is_radio_enabled
0000b824 | modem2_set_radio_enabled
0000b830 | modem2_get_lifetime_counters
0000b848 | modem2_update_lifetime_counters
0000b854 | modem2_get_band_class_enabled
0000b860 | modem2_set_band_class_enabled
0000b86c | modem2_get_active_band
0000b878 | modem2_get_ehrpd_enabled
0000b884 | modem2_set_ehrpd_enabled
0000b890 | modem2_get_ehrpd_state
0000b89c | modem2_set_ehrpd_state
0000b8a8 | modem2_set_mdn_and_min
0000b8b4 | modem2_get_lte_band_enabled
0000b8c0 | modem2_set_lte_band_enabled
0000b8cc | modem2_get_lte_band_priority
0000b8d8 | modem2_set_lte_band_priority
0000b8e4 | modem2_check_lte_ca_status
0000b908 | modem2_get_volte_enabled
0000b914 | modem2_set_volte_enabled
0000b920 | modem2_get_ca_enabled
